ACIW,ACI Worldwide Inc,20110914,Deals of the day -- mergers and acquisitions , (Adds ESB  Tower Energy  Hertz Global  Erste Group Bank AG  ThyssenKrupp),topStory
DFVL,iPath US Treasury 5-year Bull ETN,20110914,Lehman loses bid to recoup $500 million from Barclays ,NEW YORK A bankruptcy judge has denied Lehman Brothers Holdings Inc's  attempt to recover from Barclays Plc  $500 million it alleges was supposed to go toward employee bonuses.,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20110914,Lehman loses bid to recoup $500 mln from Barclays , NEW YORK  Sept 14 A bankruptcy judge has denied Lehman Brothers Holdings Inc's  attempt to recover from Barclays Plc  $500 million it alleges was supposed to go toward employee bonuses.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110914,3 years on  Lehman on path to exit bankruptcy ,NEW YORK Three years after its collapse  Lehman Brothers  is still stuck in bankruptcy court -- but three years is not as long as it sounds  says the failed investment bank's lead bankruptcy lawyer.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110914,3 years on  Lehman on path to exit bankruptcy ,   * Attorney Harvey Miller says parties struck 'right chord',normal
DFVL,iPath US Treasury 5-year Bull ETN,20110914,French downgrade "very small " well capitalised: Noyer ,PARIS Bank of France Governor Christian Noyer played down Moody's downgrade of Credit Agricole and Societe Generale on Wednesday  saying it was "very small" and the banks had enough capital to cover any losses.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110914,Deals of the day -- mergers and acquisitions , (Adds ESB  Tower Energy  Hertz Global  Erste Group Bank AG  ThyssenKrupp),normal
DFVL,iPath US Treasury 5-year Bull ETN,20110914,Lehman goes after former broker bonuses; Wins third case , NEW YORK  Sept 14 Lehman Brothers Holdings Inc.  is now three-for-three in its effort to claw back bonuses that were paid in advance to brokers before the Lehman collapse.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110914,TEXT-Fitch:UK bank reform is major step change for UK banks , (The following statement was released by the rating agency),normal
DFVL,iPath US Treasury 5-year Bull ETN,20110914,Russian private banks see crisis as opportunity ,MOSCOW Global market volatility that has wiped $200 billion off the value of Russian stocks creates an opportunity for private sector banks to boost margins as dominant state lenders are forced to raise lending rates  the head of a major foreign bank told Reuters.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110914,RPT-UPDATE 1-French downgrade "very small"  banks well capitalised-Noyer , * Downgrade puts French banks' ratings in line with peers,normal
FLAT,iPath US Treasury Flattener ETN,20110914,Lehman loses bid to recoup $500 million from Barclays ,NEW YORK A bankruptcy judge has denied Lehman Brothers Holdings Inc's  attempt to recover from Barclays Plc  $500 million it alleges was supposed to go toward employee bonuses.,topStory
FLAT,iPath US Treasury Flattener ETN,20110914,Lehman loses bid to recoup $500 mln from Barclays , NEW YORK  Sept 14 A bankruptcy judge has denied Lehman Brothers Holdings Inc's  attempt to recover from Barclays Plc  $500 million it alleges was supposed to go toward employee bonuses.,normal
FLAT,iPath US Treasury Flattener ETN,20110914,3 years on  Lehman on path to exit bankruptcy ,NEW YORK Three years after its collapse  Lehman Brothers  is still stuck in bankruptcy court -- but three years is not as long as it sounds  says the failed investment bank's lead bankruptcy lawyer.,normal
FLAT,iPath US Treasury Flattener ETN,20110914,3 years on  Lehman on path to exit bankruptcy ,   * Attorney Harvey Miller says parties struck 'right chord',normal
FLAT,iPath US Treasury Flattener ETN,20110914,French downgrade "very small " well capitalised: Noyer ,PARIS Bank of France Governor Christian Noyer played down Moody's downgrade of Credit Agricole and Societe Generale on Wednesday  saying it was "very small" and the banks had enough capital to cover any losses.,normal
FLAT,iPath US Treasury Flattener ETN,20110914,Deals of the day -- mergers and acquisitions , (Adds ESB  Tower Energy  Hertz Global  Erste Group Bank AG  ThyssenKrupp),normal
FLAT,iPath US Treasury Flattener ETN,20110914,Lehman goes after former broker bonuses; Wins third case , NEW YORK  Sept 14 Lehman Brothers Holdings Inc.  is now three-for-three in its effort to claw back bonuses that were paid in advance to brokers before the Lehman collapse.,normal
FLAT,iPath US Treasury Flattener ETN,20110914,TEXT-Fitch:UK bank reform is major step change for UK banks , (The following statement was released by the rating agency),normal
FLAT,iPath US Treasury Flattener ETN,20110914,Russian private banks see crisis as opportunity ,MOSCOW Global market volatility that has wiped $200 billion off the value of Russian stocks creates an opportunity for private sector banks to boost margins as dominant state lenders are forced to raise lending rates  the head of a major foreign bank told Reuters.,normal
FLAT,iPath US Treasury Flattener ETN,20110914,RPT-UPDATE 1-French downgrade "very small"  banks well capitalised-Noyer , * Downgrade puts French banks' ratings in line with peers,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110914,Lehman loses bid to recoup $500 million from Barclays ,NEW YORK A bankruptcy judge has denied Lehman Brothers Holdings Inc's  attempt to recover from Barclays Plc  $500 million it alleges was supposed to go toward employee bonuses.,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20110914,Lehman loses bid to recoup $500 mln from Barclays , NEW YORK  Sept 14 A bankruptcy judge has denied Lehman Brothers Holdings Inc's  attempt to recover from Barclays Plc  $500 million it alleges was supposed to go toward employee bonuses.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110914,3 years on  Lehman on path to exit bankruptcy ,NEW YORK Three years after its collapse  Lehman Brothers  is still stuck in bankruptcy court -- but three years is not as long as it sounds  says the failed investment bank's lead bankruptcy lawyer.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110914,3 years on  Lehman on path to exit bankruptcy ,   * Attorney Harvey Miller says parties struck 'right chord',normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110914,French downgrade "very small " well capitalised: Noyer ,PARIS Bank of France Governor Christian Noyer played down Moody's downgrade of Credit Agricole and Societe Generale on Wednesday  saying it was "very small" and the banks had enough capital to cover any losses.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110914,Deals of the day -- mergers and acquisitions , (Adds ESB  Tower Energy  Hertz Global  Erste Group Bank AG  ThyssenKrupp),normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110914,Lehman goes after former broker bonuses; Wins third case , NEW YORK  Sept 14 Lehman Brothers Holdings Inc.  is now three-for-three in its effort to claw back bonuses that were paid in advance to brokers before the Lehman collapse.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110914,TEXT-Fitch:UK bank reform is major step change for UK banks , (The following statement was released by the rating agency),normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110914,Russian private banks see crisis as opportunity ,MOSCOW Global market volatility that has wiped $200 billion off the value of Russian stocks creates an opportunity for private sector banks to boost margins as dominant state lenders are forced to raise lending rates  the head of a major foreign bank told Reuters.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110914,RPT-UPDATE 1-French downgrade "very small"  banks well capitalised-Noyer , * Downgrade puts French banks' ratings in line with peers,normal
STPP,iPath US Treasury Steepener ETN,20110914,Lehman loses bid to recoup $500 million from Barclays ,NEW YORK A bankruptcy judge has denied Lehman Brothers Holdings Inc's  attempt to recover from Barclays Plc  $500 million it alleges was supposed to go toward employee bonuses.,topStory
STPP,iPath US Treasury Steepener ETN,20110914,Lehman loses bid to recoup $500 mln from Barclays , NEW YORK  Sept 14 A bankruptcy judge has denied Lehman Brothers Holdings Inc's  attempt to recover from Barclays Plc  $500 million it alleges was supposed to go toward employee bonuses.,normal
STPP,iPath US Treasury Steepener ETN,20110914,3 years on  Lehman on path to exit bankruptcy ,NEW YORK Three years after its collapse  Lehman Brothers  is still stuck in bankruptcy court -- but three years is not as long as it sounds  says the failed investment bank's lead bankruptcy lawyer.,normal
STPP,iPath US Treasury Steepener ETN,20110914,3 years on  Lehman on path to exit bankruptcy ,   * Attorney Harvey Miller says parties struck 'right chord',normal
STPP,iPath US Treasury Steepener ETN,20110914,French downgrade "very small " well capitalised: Noyer ,PARIS Bank of France Governor Christian Noyer played down Moody's downgrade of Credit Agricole and Societe Generale on Wednesday  saying it was "very small" and the banks had enough capital to cover any losses.,normal
STPP,iPath US Treasury Steepener ETN,20110914,Deals of the day -- mergers and acquisitions , (Adds ESB  Tower Energy  Hertz Global  Erste Group Bank AG  ThyssenKrupp),normal
STPP,iPath US Treasury Steepener ETN,20110914,Lehman goes after former broker bonuses; Wins third case , NEW YORK  Sept 14 Lehman Brothers Holdings Inc.  is now three-for-three in its effort to claw back bonuses that were paid in advance to brokers before the Lehman collapse.,normal
STPP,iPath US Treasury Steepener ETN,20110914,TEXT-Fitch:UK bank reform is major step change for UK banks , (The following statement was released by the rating agency),normal
STPP,iPath US Treasury Steepener ETN,20110914,Russian private banks see crisis as opportunity ,MOSCOW Global market volatility that has wiped $200 billion off the value of Russian stocks creates an opportunity for private sector banks to boost margins as dominant state lenders are forced to raise lending rates  the head of a major foreign bank told Reuters.,normal
STPP,iPath US Treasury Steepener ETN,20110914,RPT-UPDATE 1-French downgrade "very small"  banks well capitalised-Noyer , * Downgrade puts French banks' ratings in line with peers,normal
JASO,JA Solar Holdings Co Ltd,20110914,Macro environment killing solar demand: Jefferies ,Lower-than-anticipated demand and pricing  coupled with funding concerns  will weigh on U.S.-listed solar companies  Jefferies said  lowering its earnings outlook and cutting its rating on at least three stocks.,topStory
JAKK,JAKKS Pacific Inc,20110914,US SMALL/MIDCAPS-Semiconductor stocks rally , NEW YORK  Sept 14 Small and midcap technology stocks led a broad market rally on Wednesday as optimism grew that the euro zone would find a way out of its current troubles and investors re-embraced risk.,topStory
JAKK,JAKKS Pacific Inc,20110914,Deals of the day -- mergers and acquisitions , (Adds ESB  Tower Energy  Hertz Global  Erste Group Bank AG  ThyssenKrupp),normal
JAKK,JAKKS Pacific Inc,20110914,Oaktree Capital seen sealing Jakks Pacific deal ,Toymaker Jakks Pacific  said it will need time to respond to Oaktree Capital Management's $670 million buyout offer  though most analysts believe a deal will be reached at a higher price than the current offer.,normal
JAKK,JAKKS Pacific Inc,20110914,UPDATE 2-Oaktree Capital seen sealing Jakks Pacific deal , * Says board will consider bid with financial  legal advisers   (Rewrites throughout  adds analysts comments  updates share movement),normal
JAKK,JAKKS Pacific Inc,20110914,UPDATE 2-Oaktree offers $670 mln for Jakks  says may go hostile , * Willing to raise offer price  it says   (Recasts  adds details on deal  company background),normal
JAKK,JAKKS Pacific Inc,20110914,CORRECTED-UPDATE 1-Oaktree offers $670 mln for Jakks , * $20/share offer at 25 pct premium to Jakks last close,normal
LSCC,Lattice Semiconductor Corporation,20110914,UPDATE 1-Lattice Semiconductor cuts Q3 rev outlook , Sept 14 Chipmaker Lattice Semiconductor Corp  slashed its third- quarter revenue outlook  hurt by a recent weakening of demand in its communications business.,topStory
LINC,Lincoln Educational Services Corporation,20110914,UPDATE 1-Key US education department official to leave , Sept 14 James Kvaal  a key U.S. Department of Education official responsible for propagating rules against the for-profit education industry  is leaving to join president Barack Obama's 2012 re-election campaign.,topStory
MAT,Mattel Inc,20110914,Toys R Us holiday mantra: In exclusives we trust ,NEW YORK From squishy garbage-themed collectibles "The Trash Pack" to remote-controlled flying fish "Air Swimmers " Toys R Us  is carrying a larger assortment of exclusive toys to win holiday shoppers from the likes of Amazon.com  and Wal-Mart Stores .,topStory
MAT,Mattel Inc,20110914,Toys R Us holiday mantra: In exclusives we trust , * To spend more on TV advertising  offer more online deals,normal
MAT,Mattel Inc,20110914,UPDATE 2-Oaktree offers $670 mln for Jakks  says may go hostile , * Willing to raise offer price  it says   (Recasts  adds details on deal  company background),normal
MSFT,Microsoft Corporation,20110914,UPDATE 3-Third Point appeals to Yahoo founder Yang for change , * Yahoo declines to comment  (Adds Loeb comments from conference  source comments),topStory
MSFT,Microsoft Corporation,20110914,S.Korea-Market Factors to watch Sept 15 , SEOUL  Sept 15 Following is a list of events in South Korea as well as news stories and press reports which may influence financial markets. (Reuters News welcomes your feedback and for any queries  please contact the Seoul newsroom at +822 3704 5640 or via email at kr.rtrs@gmail.com)     	 WHAT IS HAPPENING IN KOREA (Times local  GMT +9 hrs) 	 >0900 President of Colombia meets President Lee	 >1100 Revised  Aug foreign trade data,normal
MSFT,Microsoft Corporation,20110914,Third Point appeals to Yahoo founder Yang for change ,Yahoo Inc shareholder Daniel Loeb appealed to the company's co-founder Jerry Yang to fire Chairman Roy Bostock and several other directors to revive the Internet media company after years of poor performance.,normal
MSFT,Microsoft Corporation,20110914,Google bid for Motorola rose in negotiation: filing ,Google Inc raised its offer for Motorola Mobility Holdings Inc by 33 percent to $12.5 billion over two weeks of negotiations between the two companies  according to a regulatory filing on Tuesday.,normal
MSFT,Microsoft Corporation,20110914,Developers get early taste of Windows 8 ,ANAHEIM  California Microsoft Corp handed out 5 000 sleek Samsung tablet computers running a test version of Windows 8 at its annual developer conference on Tuesday  hoping to stoke excitement over its new operating system. | Video ,normal
MSFT,Microsoft Corporation,20110914,Sony to start PS Vita global rollout in Japan on December 17 ,TOKYO Sony Corp will launch its new PlayStation Vita handheld games device on December 17 in Japan  kicking off a global rollout  and insisted it will not reduce the price in the face of discounting by rival Nintendo. | Video ,normal
MSFT,Microsoft Corporation,20110914,PRESS DIGEST - Wall Street Journal - Sept 14 , Sept 14 The following were the top stories in The Wall Street Journal on Wednesday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
MSFT,Microsoft Corporation,20110914,UPDATE 1-Sony to start PS Vita global rollout in Japan on Dec. 17 , * Sony to launch 26 software titles on Dec. 17   (Adds details  background),normal
MSFT,Microsoft Corporation,20110914,Sony says to launch new handheld on Dec 17 in Japan , TOKYO  Sept 14 Sony Corp will launch its new PlayStation Vita handheld games device on Dec. 17 in Japan  and will not discount the price  the head of its Japanese games unit said on Wednesday.,normal
MSFT,Microsoft Corporation,20110914,PRESS DIGEST - Financial Times - Sept 14 , Bob Diamond  Barclays' chief executive  has given a surprisingly warm welcome to the Vickers Commission report in the first public response from a UK bank chief executive to the proposed industry revamp. http://www.ft.com/cms/s/0/3a26592c-de3b-11e0-9fb7-00144feabdc0.html#axzz1XmY8mJKm,normal
NDAQ,Nasdaq Inc,20110914,Volatility a warning on "flash crash" flashbacks ,NEW YORK Recent market volatility has rekindled some investor fears from last year's U.S. "flash crash " though regulators should be careful not to overreach as they respond with new rules  exchanges and brokerages say.,topStory
NDAQ,Nasdaq Inc,20110914,Nasdaq CEO says D.Boerse-NYSE deal could be unfair ,NEW YORK Deutsche Boerse AG's  acquisition of NYSE Euronext  could be unfair because it would create a "silo" in which a single exchange would dominate all stages of the trading and clearing process  said the head of rival Nasdaq OMX Group. ,normal
NWSA,News Corporation,20110914,Few sure winners seen at the Emmy Awards ,LOS ANGELES If there are any sure bets at this year's Primetime Emmy Awards on Sunday  they are "Modern Family" again being crowned TV's best comedy series and Kate Winslet winning for her role in "Mildred Pierce". | Video ,topStory
NWSA,News Corporation,20110914,UK to look at media ownership after hacking scandal ,CAMBRIDGE  England Britain  embarrassed earlier this year by its apparent inability to block Rupert Murdoch from expanding his empire  is to examine new ways to measure the influence of media owners and whether limits should be set.,normal
NWSA,News Corporation,20110914,UK to look at media ownership after hacking scandal , CAMBRIDGE  England  Sept 14 Britain  embarrassed earlier this year by its apparent inability to block Rupert Murdoch from expanding his empire  is to examine new ways to measure the influence of media owners and whether limits should be set.,normal
NWSA,News Corporation,20110914,Few sure winners seen at the Emmy Awards , LOS ANGELES  Sept 14 If there are any sure bets at this year's Primetime Emmy Awards on Sunday  they are "Modern Family" again being crowned TV's best comedy series and Kate Winslet winning for her role in "Mildred Pierce".,normal
NWSA,News Corporation,20110914,JK Rowling among UK hacking inquiry "core" figures ,LONDON "Harry Potter" author J.K. Rowling and actor Hugh Grant will be among more than 50 "core participants" at a public inquiry into press standards set up after the phone-hacking scandal that has engulfed Rupert Murdoch's British newspaper arm.,normal
NWSA,News Corporation,20110914,JK Rowling among UK hacking inquiry "core" figures , LONDON  Sept 14 "Harry Potter" author J.K. Rowling and actor Hugh Grant will be among more than 50 "core participants" at a public inquiry into press standards set up after the phone-hacking scandal that has engulfed Rupert Murdoch's British newspaper arm.,normal
NWSA,News Corporation,20110914,UPDATE 3-Australian government to hold media inquiry , * Australia sets up media inquiry after British hacking scandal,normal
NWSA,News Corporation,20110914,Australia government to hold media inquiry , CANBERRA  Sept 14 Australia plans to hold an inquiry into media regulation in the wake of Britain's phone hacking scandal  but it will not consider the dominant position of Rupert Murdoch's News Corp in the local newspaper industry.,normal
NWSA,News Corporation,20110914,PRESS DIGEST - Financial Times - Sept 14 , Bob Diamond  Barclays' chief executive  has given a surprisingly warm welcome to the Vickers Commission report in the first public response from a UK bank chief executive to the proposed industry revamp. http://www.ft.com/cms/s/0/3a26592c-de3b-11e0-9fb7-00144feabdc0.html#axzz1XmY8mJKm,normal
NVDA,NVIDIA Corporation,20110914,Push for action in euro zone fuels gains ,NEW YORK Stocks rose 1 percent in a third day of gains on Wednesday after European leaders displayed new urgency in efforts to contain the euro zone debt crisis. | Video ,topStory
NVDA,NVIDIA Corporation,20110914,US STOCKS-Push for action in euro zone fuels gains , * Hedge funds return to buying euro  stocks --strategist,normal
NVDA,NVIDIA Corporation,20110914,US STOCKS-Push for action in euro zone fuels gains , * Hedge funds return to buying euro  stocks -- strategist,normal
NVDA,NVIDIA Corporation,20110914,US STOCKS-Techs lift Wall St but euro zone fears weigh , * Business inventories signal caution  retail sales flat,normal
ORLY,O&#39;Reilly Automotive Inc,20110914,New Issue-O'Reilly Automotive sells $300 mln in notes ,  Sept 14 O'Reilly Automotive Inc.  on Wednesday sold $300 million of senior notes  said IFR  a Thomson Reuters service.,topStory
SEED,Origin Agritech Limited,20110914,UPDATE 2-Origin Agritech profit plunges; shares fall , * Q3 EPS $0.09 vs est $0.75   (Adds industry background  details on outlook  share movement),topStory
PTNR,Partner Communications Company Ltd,20110914,UPDATE 1-Partner Comms brings back co-founder as CEO , * Analyst: Romano inheriting company at difficult time   (Adds company quote  share reaction  analyst quote  background),topStory
PTNR,Partner Communications Company Ltd,20110914,Romano to replace Gelbard as CEO of Partner Comm , TEL AVIV  Sept 14 Partner Communications    Israel's second-largest	 mobile phone operator  said its board approved the appointment of Haim Romano as chief executive officer  replacing Yacov Gelbard  who had asked to step down.,normal
COOL,PolarityTE Inc,20110914,Zumba Fitness  new game launches boost Majesco outlook ,Video game publisher Majesco Entertainment Co  raised its full-year outlook for the third time as it bets on the upcoming launch of the sequel to its popular Zumba Fitness title and the digital version of party game "Twister.",topStory
RBCN,Rubicon Technology Inc,20110914,US SMALL/MIDCAPS-Semiconductor stocks rally , NEW YORK  Sept 14 Small and midcap technology stocks led a broad market rally on Wednesday as optimism grew that the euro zone would find a way out of its current troubles and investors re-embraced risk.,topStory
SHPG,Shire plc,20110914,Derma sees partner for new drug in first half 2012 ,NEW YORK Derma Sciences Inc expects to find a deep-pocketed partner for its treatment for diabetes-induced foot ulcers in the first half of 2012  even before it enrolls patients for late-stage trials.,topStory
SIRI,Sirius XM Holdings Inc,20110914,Sirius XM raises prices  shares gain ,After years of being prevented by the government from raising prices  Sirius XM Radio Inc said will increase the cost of its most popular radio package by about $1.50  which sent the satellite radio provider's shares up more than 7 percent on Wednesday.,topStory
SIRI,Sirius XM Holdings Inc,20110914,UPDATE 2-Sirius XM raises prices  shares gain , * Shares rise 7 pct  (Adds background on price increases  byline  updates share movement),normal
STRA,Strayer Education Inc,20110914,UPDATE 1-Key US education department official to leave , Sept 14 James Kvaal  a key U.S. Department of Education official responsible for propagating rules against the for-profit education industry  is leaving to join president Barack Obama's 2012 re-election campaign.,topStory
TTWO,Take-Two Interactive Software Inc,20110914,Zumba Fitness  new game launches boost Majesco outlook ,Video game publisher Majesco Entertainment Co  raised its full-year outlook for the third time as it bets on the upcoming launch of the sequel to its popular Zumba Fitness title and the digital version of party game "Twister.",topStory
AMTD,TD Ameritrade Holding Corporation,20110914,Volatility a warning on "flash crash" flashbacks ,NEW YORK Recent market volatility has rekindled some investor fears from last year's U.S. "flash crash " though regulators should be careful not to overreach as they respond with new rules  exchanges and brokerages say.,topStory
VRML,Vermillion Inc,20110914,Vermillion's ovarian cancer test shows promise  shares leap ,Vermillion Inc said its cancer test was found to improve sensitivity in ovarian cancer patients  when used in combination with imaging.,topStory
VRTX,Vertex Pharmaceuticals Incorporated,20110914,Merck aims at hepatitis  c. difficile drugs ,NEW YORK The head of infectious diseases at Merck & Co said the company's future all-oral treatments for hepatitis C and its experimental drug for infections with clostridium difficile bacteria could transform treatment and reap big sales.,topStory
VRTX,Vertex Pharmaceuticals Incorporated,20110914,Merck puts faith in hepatitis  c. difficile drugs , NEW YORK  Sept 14 The head of infectious diseases at Merck & Co  said the company's future all-oral treatments for hepatitis C and its experimental drug for infections with clostridium difficile bacteria could transform treatment and reap big sales.,normal
VOD,Vodafone Group Plc,20110914,Verizon says storms  strike cost it up to $250 million ,NEW YORK Verizon Communications  faces a bill of up to $250 million due to its labor strike and recent storms  which will also slow down customer additions for the next few months.,topStory
VOD,Vodafone Group Plc,20110914,UPDATE 1-Verizon says storms  strike cost it up to $250 mln , NEW YORK  Sept 14 Verizon Communications  faces a bill of up to $250 million due to its labor strike and recent storms  which will also slow down customer additions for the next few months.,normal
XLNX,Xilinx Inc,20110914,UPDATE 1-Lattice Semiconductor cuts Q3 rev outlook , Sept 14 Chipmaker Lattice Semiconductor Corp  slashed its third- quarter revenue outlook  hurt by a recent weakening of demand in its communications business.,topStory
MMM,3M Company,20110914,BUY OR SELL-U.S. industrial shares show profit pessimism , Sept 14 U.S. industrial stocks are flashing yellow  having lost a fifth of their value in the last two months in what some describe as a warning that another recession is looming.,topStory
AA,Alcoa Corporation,20110914,UPDATE 1-Glitch halts Guinea's CBG bauxite exports-sources , CONAKRY  Sept 14 Guinea's CBG has halted bauxite exports after a conveyor belt at the port of Conakry was damaged  sources at the company told Reuters on Wednesday.,topStory
AA,Alcoa Corporation,20110914,Glitch halts Guinea's CBG bauxite exports -sources , CONAKRY  Sept 14 Guinea's CBG has halted bauxite exports after a conveyor belt at the port of Conakry was damaged  sources at the company told Reuters on Wednesday.,normal
AA,Alcoa Corporation,20110914,UPDATE 1-Alcoa  China Power Investment nearing JV pact , * Companies sign letter of intent for China manufacturing,normal
AGN,Allergan plc,20110914,Banking on Botox no concern for Allergan CEO ,NEW YORK Allergan Inc  is not worried about over-reliance on sales of its flagship Botox drug  the company's chief said  citing extensive safety data and supply reserves of the injectable medicine.,topStory
AIG,American International Group Inc,20110914,SEC says no probes hurt by destroyed records ,WASHINGTON A past practice of destroying certain pre-investigative materials has not harmed any current or future investigations by the Securities and Exchange Commission  the U.S. agency's enforcement chief said on Wednesday.,topStory
AIG,American International Group Inc,20110914,UPDATE 2-U.S. SEC says no probes hurt by destroyed records , * Khuzami says some files based on public data  (Adds background  comments from Senator Grassley),normal
AIG,American International Group Inc,20110914,Big Republican donors wait on Perry-Romney duel ,WASHINGTON Big Republican donors are still undecided on Rick Perry or Mitt Romney as their party's best chance to defeat President Barack Obama in the November 2012 presidential election.,normal
AIG,American International Group Inc,20110914,Big Republican donors wait on Perry-Romney duel , * Big Republican donors still won't commit to a candidate,normal
AEUA,Anadarko Petroleum Corporation,20110914,U.S. blames BP for Gulf spill ,WASHINGTON/HOUSTON The United States heaped the lion's share of blame for the country's biggest ever offshore oil spill on BP on Wednesday as the government issued its final assessment of last year's Gulf disaster.,topStory
AEUA,Anadarko Petroleum Corporation,20110914,UPDATE 5-US blames BP for Gulf spill  but enough to go around , * Other probes have blamed accident on series of mistakes,normal
AEUA,Anadarko Petroleum Corporation,20110914,UPDATE 1-Release of key BP oil spill probe expected soon , * Other probes have blamed accident on series of mistakes,normal
APC,Anadarko Petroleum Corporation,20110914,U.S. blames BP for Gulf spill ,WASHINGTON/HOUSTON The United States heaped the lion's share of blame for the country's biggest ever offshore oil spill on BP on Wednesday as the government issued its final assessment of last year's Gulf disaster.,topStory
APC,Anadarko Petroleum Corporation,20110914,UPDATE 5-US blames BP for Gulf spill  but enough to go around , * Other probes have blamed accident on series of mistakes,normal
APC,Anadarko Petroleum Corporation,20110914,UPDATE 1-Release of key BP oil spill probe expected soon , * Other probes have blamed accident on series of mistakes,normal
APA,Apache Corporation,20110914,U.S. Cash Crude - Grades little changed as Brent spread widens , * EIA data shows large 6.7 mln bbl crude draw last week,topStory
AGO,Assured Guaranty Ltd,20110914,BRIEF-Moody's ups Walsall Hospital Co. plc underlying rating to Baa1 , * Moody's upgrades Walsall Hospital Co. plc underlying rating to Baa1 from Baa2 ; positive outlook,topStory
BBVA,Banco Bilbao Viscaya Argentaria SA,20110914,Spain lottery IPO remains on track-source ,  MADRID  Sept 14 Spain's Initial Public Offering of state lottery owner LAE is on track  a source close to the deal said on Wednesday following a report the government was considering delaying the sale.,topStory
BBVA,Banco Bilbao Viscaya Argentaria SA,20110914,Spain mulls delaying state lottery IPO - paper ,  MADRID  Sept 14 Spain is considering delaying the sale of state lottery owner LAE amid tepid international investor appetite at the price expected by the government  newspaper El Mundo reported  citing investment bank sources.,normal
SAN,Banco Santander SA,20110914,TEXT-Fitch affirms Banco Santander at 'AA'; outlook stable , (The following statement was released by the rating agency),topStory
SAN,Banco Santander SA,20110914,DealTalk: KBC has incentive to sell assets soon ,BRUSSELS/LONDON Belgium's KBC  has a tough task selling over 2 billion euros ($2.7 billion) of assets in the current bear market  but could be spurred on by the prospect of repaying state aid at a discount this year.,normal
SAN,Banco Santander SA,20110914,Spain lottery IPO remains on track-source ,  MADRID  Sept 14 Spain's Initial Public Offering of state lottery owner LAE is on track  a source close to the deal said on Wednesday following a report the government was considering delaying the sale.,normal
SAN,Banco Santander SA,20110914,Spain mulls delaying state lottery IPO - paper ,  MADRID  Sept 14 Spain is considering delaying the sale of state lottery owner LAE amid tepid international investor appetite at the price expected by the government  newspaper El Mundo reported  citing investment bank sources.,normal
BAC,Bank of America Corporation,20110914,SEC says no probes hurt by destroyed records ,WASHINGTON A past practice of destroying certain pre-investigative materials has not harmed any current or future investigations by the Securities and Exchange Commission  the U.S. agency's enforcement chief said on Wednesday.,topStory
BAC,Bank of America Corporation,20110914,UPDATE 2-U.S. SEC says no probes hurt by destroyed records , * Khuzami says some files based on public data  (Adds background  comments from Senator Grassley),normal
BAC,Bank of America Corporation,20110914,Pension fund wants Blankfein out as Goldman chair ,A pension fund representing U.S. government employees has filed a shareholder proposal to strip Goldman Sachs Group Inc Chief Executive Lloyd Blankfein of his other post as chairman.,normal
BAC,Bank of America Corporation,20110914,UPDATE 2-Pension fund wants Blankfein out as Goldman chair , * Believes balance of power will be good for shareholders,normal
BAC,Bank of America Corporation,20110914,Bank of America to pay fired whistleblower $930 000 ,WASHINGTON Bank of America Corp must reinstate a Countrywide whistle-blower fired shortly after the two companies merged in 2008 and pay the employee $930 000  the Labor Department said on Wednesday.,normal
BAC,Bank of America Corporation,20110914,Bank of America-ML top US equity strategist leaves , NEW YORK  Sept 14 Bank of America-Merrill Lynch's chief U.S. equity strategist  David Bianco  has left the firm  as part of a merger of its strategy teams  a firm spokeswoman said on Wednesday.,normal
BAC,Bank of America Corporation,20110914,UPDATE 2-Bank of America to pay fired whistleblower $930 000 , * Says "management style" was reason for dismissal  (Adds Bank of America saying it will appeal),normal
BAC,Bank of America Corporation,20110914,CIT will soon take deposits by Internet: CEO ,CIT Group Inc  will begin taking bank deposits over the Internet within the "next month or two " Chief Executive John Thain said on Wednesday.,normal
BAC,Bank of America Corporation,20110914,UPDATE 2-CIT will soon take deposits by Internet -- CEO , * Internet deposits a step to replace high-cost funding (Adds detail on latest debt repayment  closing share price),normal
BAC,Bank of America Corporation,20110914,CORRECTED - Pension fund wants Blankfein out as Goldman chair , (Adds that Goldman did not admit or deny wrongdoing in paragraph 12  fixes typo and corrects year that Ken Lewis retired to 2010 in paragraph 17),normal
BMO,Bank Of Montreal,20110914,UPDATE 1-Bank of Montreal says has no plans to up dividend , * Takes cautious approach with Basel III standards looming,topStory
