ACTG,Acacia Research Corporation,20110711,UPDATE 1-Acacia Research unit acquires 3G  4G patent rights , July 11 Acacia Research Corp   which acquires and licenses patent rights to various technologies  said its unit has acquired rights to certain patents for 3G and 4G wireless technology.,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20110711,UAE's Majid Al Futtaim Holding to raise $1 bln loan - sources , DUBAI  July 11 Mall developer Majid Al Futtaim (MAF) Holding has picked banks to arrange a $1 billion loan in three and five year facilities  two sources familiar with the matter said on Monday.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110711,Barclays Wealth hires JPMorgan's Olsen , NEW YORK  July 11 Barclays Wealth  has hired Hans Olsen away from JPMorgan's high-end wealth management division  naming him head of the British bank's Americas investment strategy.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110711,Barclays names Vajpayee as head of equities in India , MUMBAI  July 11 Barclays Capital  the investment banking unit of Barclays Bank Plc   said on Monday it had appointed Bhavtosh Vajpayee as the head of equities for its Indian operations.,normal
STPP,iPath US Treasury Steepener ETN,20110711,UPDATE 3-US oil reserve bids were double amount offered , * U.S. sold all 30.6 mln barrels of oil initially awarded,topStory
STPP,iPath US Treasury Steepener ETN,20110711,UPDATE 1-Asset managers under pressure  study finds , * High profit margins reduce merger pressures  (Adds comment from industry expert  details  recasts first sentence),normal
STPP,iPath US Treasury Steepener ETN,20110711,Asset managers to face rising competition: study ,BOSTON Investors' increasingly aggressive hunt for the best returns will force the global asset management industry to up the ante and become more competitive  according to research released on Monday.,normal
STPP,iPath US Treasury Steepener ETN,20110711,MOVES-RBS Capital Markets  Barclays Capital  HSBC Holdings , July 11 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
STPP,iPath US Treasury Steepener ETN,20110711,Asset managers to face rising competition -study , BOSTON  July 11 Investors' increasingly aggressive hunt for the best returns will force the global asset management industry to up the ante and become more competitive  according to research released on Monday.,normal
STPP,iPath US Treasury Steepener ETN,20110711,UPDATE 2-Deutsche Bank co-CEO plan seen paving way for Jain , * Investors seek clear lines of accountability -analysts,normal
STPP,iPath US Treasury Steepener ETN,20110711,UPDATE 2-UAE's Majid Al Futtaim to raise $1 bln loan - sources , * Loan structured in three and five-year facility - sources,normal
STPP,iPath US Treasury Steepener ETN,20110711,UAE's Majid Al Futtaim Holding to raise $1 bln loan - sources , DUBAI  July 11 Mall developer Majid Al Futtaim (MAF) Holding has picked banks to arrange a $1 billion loan in three and five year facilities  two sources familiar with the matter said on Monday.,normal
STPP,iPath US Treasury Steepener ETN,20110711,Barclays Wealth hires JPMorgan's Olsen , NEW YORK  July 11 Barclays Wealth  has hired Hans Olsen away from JPMorgan's high-end wealth management division  naming him head of the British bank's Americas investment strategy.,normal
STPP,iPath US Treasury Steepener ETN,20110711,Barclays names Vajpayee as head of equities in India , MUMBAI  July 11 Barclays Capital  the investment banking unit of Barclays Bank Plc   said on Monday it had appointed Bhavtosh Vajpayee as the head of equities for its Indian operations.,normal
JBLU,JetBlue Airways Corporation,20110711,FBI probes how stun gun ended up on JetBlue plane , NEW YORK  July 11 U.S. law enforcement officials were investigating how a stun gun that resembled a cell phone wound up aboard a JetBlue Airways  plane at Newark airport.,topStory
LBTYA,Liberty Global plc,20110711,RPT-UPDATE 1-Australia's Austar says in $2 bln takeover deal with Foxtel , * Austar board recommend minority shareholders take A$1.52/share offer,topStory
LBTYA,Liberty Global plc,20110711,Australia's Austar says in $2 billion takeover deal with Foxtel ,SYDNEY Australia's biggest pay-tv firm  Foxtel  has clinched a $2 billion-plus takeover bid for rival Austar  in a deal aimed at reviving subscriber growth and taking on competition from free-to-air television stations.,normal
LBTYA,Liberty Global plc,20110711,UPDATE 1-Australia's Austar says in $2 bln takeover deal with Foxtel , * Austar board recommend minority shareholders take A$1.52/share offer,normal
LBTYA,Liberty Global plc,20110711,Australia's Austar says in definitive takeover deal with Foxtel ,SYDNEY  Jul Australia's biggest pay-tv firm  Foxtel  has clinched a $2 billion takeover bid for rival Austar  in a deal aimed at reviving subscriber growth and taking on competition from free-to-air television stations.,normal
LBTYA,Liberty Global plc,20110711,Australia's Austar says in definitive takeover deal with Foxtel , SYDNEY  Jul 11 Australia's biggest pay-tv firm  Foxtel  has clinched a $2 billion takeover bid for rival Austar  in a deal aimed at reviving subscriber growth and taking on competition from free-to-air television stations.,normal
MU,Micron Technology Inc,20110711,Elpida to raise $990 million for new chips ,TOKYO Elpida Memory Inc plans to raise nearly 80 billion yen ($992 million) through new shares and convertible bonds as it shifts production away from DRAM memory to more profitable smartphone chips.,topStory
MSFT,Microsoft Corporation,20110711,Courts OK Nortel patent sale to Apple/RIM group ,WILMINGTON  Delaware Apple Inc  Microsoft Corp  Research in Motion Ltd and three other leading tech companies received court approval on Monday to buy wireless patents from bankrupt Nortel Networks Corp for $4.5 billion.,topStory
MSFT,Microsoft Corporation,20110711,UPDATE 3-Courts OK Nortel patent sale to Apple/RIM group , * Money goes to paying off Nortel debts  (Adds background on antitrust concerns in paragraph 16),normal
MSFT,Microsoft Corporation,20110711,Bondholders take backseat to shareholders ,NEW YORK  July 8 (IFR) - The increase in shareholder-friendly activity among investment-grade bond issuers has bondholders concerned that their interest might not be at heart in the boardrooms of their portfolio companies.,normal
NFLX,Netflix Inc,20110711,ATM maker NCR to buy Radiant for $1.2 billion ,BANGALORE ATM maker NCR Corp  is to buy Radiant Systems Inc   which makes cash registers and other point-of-sale devices  for about $1.2 billion in cash to expand into the hospitality and specialty retail industries.,topStory
NWSA,News Corporation,20110711,Brown a hacking target as Murdoch delays BSkyB bid ,LONDON Allegations that former prime British minister Gordon Brown was a target of illegal data gathering by Rupert Murdoch's newspapers have piled pressure on the media baron as he tries to prevent investors pulling out of his News Corp empire. | Video ,topStory
NWSA,News Corporation,20110711,WRAPUP 1 - Brown a hacking target as Murdoch delays BSkyB bid , * News Corp shares down 7 percent; BSkyB down 4.6 percent,normal
NWSA,News Corporation,20110711,Major News Corp investor: stock "still undervalued" ,NEW YORK The UK telephone hacking scandal that closed the News of the World newspaper and put News Corp's  deal to buy the rest of broadcaster BSkyB  in doubt will have little impact on cash flows at Rupert Murdoch's media empire  a major shareholder said on Monday.,normal
NWSA,News Corporation,20110711,UPDATE 2-Major News Corp investor: stock 'still undervalued' , NEW YORK  July 11 The UK telephone hacking scandal that closed the News of the World newspaper and put News Corp's  deal to buy the rest of broadcaster BSkyB  in doubt will have little impact on cash flows at Rupert Murdoch's media empire  a major shareholder said on Monday.,normal
NWSA,News Corporation,20110711,RPT-UPDATE 1-Australia's Austar says in $2 bln takeover deal with Foxtel , * Austar board recommend minority shareholders take A$1.52/share offer,normal
NWSA,News Corporation,20110711,News Corp may be at risk for U.S. probe over bribery ,WASHINGTON/NEW YORK Rupert Murdoch's News Corp could face probes by U.S. authorities for possibly violating bribery laws  compounding the media mogul's problems after a phone-hacking scandal in Britain.,normal
NWSA,News Corporation,20110711,UPDATE 1-News Corp may be at risk for US probe over bribery , * British probe into News Corp expected to take the lead  (Adds source on no contact from U.S.  News Corp no comment),normal
NWSA,News Corporation,20110711,News Corp may be at risk for US probe over bribery , * British probe into News Corp expected to take the lead,normal
NWSA,News Corporation,20110711,CORRECTED-WRAPUP 8-Murdoch delays BSkyB bid; Brown a hacking target , (Makes clear News Corp share fell 7 percent last week  not Friday),normal
NWSA,News Corporation,20110711,Ex-UK PM Brown may have been phone hacking victim ,LONDON Police have said that former British Prime Minister Gordon Brown may have been a victim of phone hacking by an investigator working for British newspapers  his spokeswoman said on Monday.,normal
SCHL,Scholastic Corporation,20110711,Fans  stars  Hollywood say farewell to Harry Potter ,LONDON Thousands of fans braved rain and battled security restrictions in London's Trafalgar Square on Thursday to say farewell to the boy wizard Harry Potter at the world premiere of the final movie in the record-breaking series. | Video ,topStory
SBUX,Starbucks Corporation,20110711,Starbucks reorganizes for international growth ,LOS ANGELES/SAN FRANCISCO Starbucks Corp  unveiled a reorganization on Monday that Chief Executive Howard Schultz hopes will help the coffee chain reach its goal of one day getting half of its revenue from abroad.,topStory
SBUX,Starbucks Corporation,20110711,UPDATE 2-Starbucks reorganizes for international growth , * Shares unchanged after hours  (Adds background  byline  changes dateline  previous SAN FRANCISCO),normal
SBUX,Starbucks Corporation,20110711,Starbucks wins dismissal of worker tips lawsuit ,NEW YORK Starbucks Corp on Monday won dismissal of a lawsuit by former assistant store managers in New York who accused the world's largest coffee chain of cheating them out of customer tips.,normal
SBUX,Starbucks Corporation,20110711,Starbucks wins dismissal of worker tips lawsuit , * Assistant store managers have no right to share in tips,normal
SBUX,Starbucks Corporation,20110711,JPMorgan hires former HP executive to admin post , * To oversee real estate  procurement  general services,normal
SBUX,Starbucks Corporation,20110711,UPDATE 3-Dunkin' Brands IPO values co as much as $2.3 bln , * Key stockholders Bain Capital  Caryle  THL not selling shares in IPO,normal
TROW,T Rowe Price Group Inc,20110711,UPDATE 1-Asset managers under pressure  study finds , * High profit margins reduce merger pressures  (Adds comment from industry expert  details  recasts first sentence),topStory
TROW,T Rowe Price Group Inc,20110711,Asset managers to face rising competition: study ,BOSTON Investors' increasingly aggressive hunt for the best returns will force the global asset management industry to up the ante and become more competitive  according to research released on Monday.,normal
TROW,T Rowe Price Group Inc,20110711,Asset managers to face rising competition -study , BOSTON  July 11 Investors' increasingly aggressive hunt for the best returns will force the global asset management industry to up the ante and become more competitive  according to research released on Monday.,normal
VOD,Vodafone Group Plc,20110711,Spaniards win right to switch mobile firms faster , MADRID  July 11 Spanish mobile operators will have one day  instead of four at present  to implement requests for customers switching company while keeping their phone number  under a change to the law designed to boost competition.,topStory
YNDX,Yandex NV,20110711,Dunkin' Brands IPO values company at as much as $2.3 billion ,BANGALORE Dunkin' Brands Group Inc  known for its Dunkin' Donuts and Baskin Robbins ice cream  has set a price range for its public offering  valuing the company at as much as $2.3 billion  at a time when IPOs have had mixed reception from investors.,topStory
YNDX,Yandex NV,20110711,UPDATE 3-Dunkin' Brands IPO values co as much as $2.3 bln , * Key stockholders Bain Capital  Caryle  THL not selling shares in IPO,normal
YRCW,YRC Worldwide Inc,20110711,YRC has loan refinancing commitments; shares soar ,NEW YORK U.S. trucker YRC Worldwide Inc  said it received commitments for a loan refinancing and remains on track to close its restructuring this month  sending its shares up more than 20 percent in premarket trading.,topStory
YRCW,YRC Worldwide Inc,20110711,UPDATE 1-YRC has loan refinancing commitments; shares soar , NEW YORK  July 11 U.S. trucker YRC Worldwide Inc  said it received commitments for a loan refinancing and remains on track to close its restructuring this month  sending its shares up more than 20 percent in premarket trading.,normal
ZIOP,ZIOPHARM Oncology Inc,20110711,MOVES-RBS Capital Markets  Barclays Capital  HSBC Holdings , July 11 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
ABT,Abbott Laboratories,20110711,Doctors overuse heart treatment  despite guidelines ,NEW YORK (Reuters Health) - The controversial use of stents days after a heart attack has continued unabated in the United States  even after a landmark study and new guidelines said the pricey therapy does not help patients.,topStory
ABT,Abbott Laboratories,20110711,Doctors overuse heart treatment  despite guidelines , NEW YORK  July 11 (Reuters Health) - The controversial use of stents days after a heart attack has continued unabated in the United States  even after a landmark study and new guidelines said the pricey therapy does not help patients.,normal
AET,Aetna Inc,20110711,UPDATE 3-US offers states new insurance exchanges timetable , * Would give states sliding deadlines to set up exchanges,topStory
AET,Aetna Inc,20110711,US gives states flexibility in insurance exchanges , WASHINGTON  July 11 The Obama administration on Monday revealed a proposed framework for health insurance exchanges that gives states great flexibility in how they can set up these open marketplaces designed to increase competition.,normal
AET,Aetna Inc,20110711,US gives states flexibility in insurance exchanges , WASHINGTON  July 11 The Obama administration on Monday revealed a proposed framework for health insurance exchanges that gives states great flexibility in how they can set up these open marketplaces designed to increase competition.,normal
AA,Alcoa Corporation,20110711,Alcoa Q2 profit jumps on metal  alumina prices ,NEW YORK Alcoa Inc  America's biggest aluminum producer  posted a big jump in second-quarter profit on Monday  matching Wall Street estimates  partly due to soaring prices for the metal and alumina  its raw material. | Video ,topStory
AA,Alcoa Corporation,20110711,UPDATE 4-Alcoa Q2 profit jumps on metal  alumina prices , * Stock down slightly after hours  (Adds CEO comments  production data  byline),normal
AA,Alcoa Corporation,20110711,Wall Street records worst day in a month  VIX jumps ,NEW YORK Stocks suffered their worst day in nearly a month on Monday as concern about the stalemate in U.S. budget talks and growing debt problems in the euro zone prompted investors to hedge against further losses. | Video ,normal
AA,Alcoa Corporation,20110711,Instant view: Alcoa Q2 profit jumps on aluminum prices ,NEW YORK Alcoa Inc  the largest U.S. aluminum producer  posted a big jump in second-quarter profit partly due to soaring prices for aluminum and its raw material alumina.,normal
AA,Alcoa Corporation,20110711,US STOCKS-Wall St records worst day in a month  VIX jumps , * Dow off 1.2 pct  S&P down 1.8 pct  Nasdaq off 2 pct * For up-to-the-minute market news see [STXNEWS/US]  (Updates with volume  advancers and decliners),normal
AA,Alcoa Corporation,20110711,CORRECTED-BRIEF-Alcoa Q2 results , (Fixes Thomson Reuters I/B/E/S figures in the last bullet point),normal
AA,Alcoa Corporation,20110711,US STOCKS-Wall St posts worst day in a month  VIX jumps , * Dow off 1.2 pct  S&P down 1.8 pct  Nasdaq off 2 pct * For up-to-the-minute market news see [STXNEWS/US]  (Updates to close),normal
AA,Alcoa Corporation,20110711,CORRECTED - UPDATE 1-Alcoa Q2 profit jumps on metal prices , (Corrects to show revenue is $6.6 billion  not $6.66 billion in third paragraph),normal
AA,Alcoa Corporation,20110711,US STOCKS-Wall St on track for worst day in a month , * Dow off 1.4 pct  S&P down 1.9 pct  Nasdaq off 2.2 pct * For up-to-the-minute market news see [STXNEWS/US]  (Updates to late afternoon trading; changes byline),normal
AA,Alcoa Corporation,20110711,REFILE-US STOCKS-Wall St drops over 1 pct on global debt worries , (Fixes typo in paragraph 5 to read "BNY ConvergEx Group"),normal
AB,AllianceBernstein Holding LP,20110711,UPDATE 1-Asset managers under pressure  study finds , * High profit margins reduce merger pressures  (Adds comment from industry expert  details  recasts first sentence),topStory
AB,AllianceBernstein Holding LP,20110711,Asset managers to face rising competition: study ,BOSTON Investors' increasingly aggressive hunt for the best returns will force the global asset management industry to up the ante and become more competitive  according to research released on Monday.,normal
AB,AllianceBernstein Holding LP,20110711,Asset managers to face rising competition -study , BOSTON  July 11 Investors' increasingly aggressive hunt for the best returns will force the global asset management industry to up the ante and become more competitive  according to research released on Monday.,normal
MO,Altria Group,20110711,Bondholders take backseat to shareholders ,NEW YORK  July 8 (IFR) - The increase in shareholder-friendly activity among investment-grade bond issuers has bondholders concerned that their interest might not be at heart in the boardrooms of their portfolio companies.,topStory
ACH,Aluminum Corporation of China Limited,20110711,China says to close 2 mln T smelting capacity in 2011 , HONG KONG  July 11 China has ordered local governments to phase out a total 2.0431 million tonnes of aluminium  copper  lead and zinc smelting capacity in 2011 as part of a multi-year plan to crack down on energy-intensive and polluting industries.,topStory
AIG,American International Group Inc,20110711,AIG may replace banks in next share offer ,PHILADELPHIA American International Group plans to replace one or more Wall Street banks in its next sale of shares from the U.S. government  The Wall Street Journal reported on Sunday.,topStory
AIG,American International Group Inc,20110711,Greenberg's Starr buys into Chinese insurer Dazhong , SHANGHAI  July 11 Starr International Company Inc  an insurance holding company run by former AIG  chief Maurice Greenberg has formed a strategic partnership with a Chinese insurer backed by the city government of Shanghai  the companies said on Monday.,normal
AIG,American International Group Inc,20110711,AIG may replace banks in next share offer - WSJ , PHILADELPHIA  July 10 American International Group plans to replace one or more Wall Street banks in its next sale of shares from the U.S. government  The Wall Street Journal reported on Sunday.,normal
AMID,American Midstream Partners LP,20110711,UPDATE 1-American Midstream sees IPO at $19-$21/share , * Plans to list on NYSE under "AMID" symbol   (Follows alerts),topStory
AU,AngloGold Ashanti Limited,20110711,Polyus CEO: Kazakhgold takeover on track - FT , LONDON  July 11 Polyus Gold   Russia's top gold miner  is on track to complete its reverse takeover of UK-listed Kazakhgold  as it looks to merge with top foreign peers  the Financial Times on Monday quoted Polyus's chief executive as saying.,topStory
AIZ,Assurant Inc,20110711,S&P cuts six catastrophe bonds  more may come , NEW YORK  July 11 Standard & Poor's downgraded six catastrophe bonds on Monday and took a total of 10 bonds off of negative credit watch  the latest fallout from changes that catastrophe modeling company RMS made to its models earlier this year.,topStory
T,AT&T Inc,20110711,RIM annual meeting likely to exacerbate investor ire ,TORONTO Research In Motion investors desperate for news about how the BlackBerry maker will reverse its sagging fortunes will likely leave Tuesday's annual meeting with their frustrations even more inflamed.,topStory
T,AT&T Inc,20110711,CORRECTED - PREVIEW-RIM annual meeting likely to exacerbate investor ire , (Corrects day of AGM in paragraph 1 to Tuesday from Wednesday),normal
T,AT&T Inc,20110711,Telco managers admit being out of touch with customers: study ,FRANKFURT Telecom network operators acknowledged they are out of touch with customers' wants and are struggling to keep up with user expectations  a survey of industry executives found.,normal
T,AT&T Inc,20110711,Telco managers admit being out of touch with customers -study , * Majority of managers surveyed say companies out of sync,normal
BSBR,Banco Santander Brasil SA,20110711,STXNEWS LATAM-Brazil bank steps could hit Banco do Brasil-Fator , Plans by Brazil's central bank to tighten controls on speculation in the currency market could hurt Banco do Brasil   Brazil's largest lender  Banco Fator said on Monday. Policymakers imposed reserve requirements of 60 percent of the value of local banks' short positions in excess of the smaller of two figures: $1 billion or on a lender's reference capital  in order to prevent the real  from rising beyond a 12-year-high. [ID:nN1E7671ZX],topStory
SAN,Banco Santander SA,20110711,Santander could list Argentine bank July - paper , MADRID  July 11 Spanish bank Santander  could list between 15 and 25 percent of its Argentine subsidiary this month  its head of Latin America said in an interview with Spanish daily El Mundo published on Monday.,topStory
BAC,Bank of America Corporation,20110711,Wall Street records worst day in a month  VIX jumps ,NEW YORK Stocks suffered their worst day in nearly a month on Monday as concern about the stalemate in U.S. budget talks and growing debt problems in the euro zone prompted investors to hedge against further losses. | Video ,topStory
BAC,Bank of America Corporation,20110711,US STOCKS-Wall St records worst day in a month  VIX jumps , * Dow off 1.2 pct  S&P down 1.8 pct  Nasdaq off 2 pct * For up-to-the-minute market news see [STXNEWS/US]  (Updates with volume  advancers and decliners),normal
BAC,Bank of America Corporation,20110711,US STOCKS-Wall St posts worst day in a month  VIX jumps , * Dow off 1.2 pct  S&P down 1.8 pct  Nasdaq off 2 pct * For up-to-the-minute market news see [STXNEWS/US]  (Updates to close),normal
BAC,Bank of America Corporation,20110711,US STOCKS-Wall St on track for worst day in a month , * Dow off 1.4 pct  S&P down 1.9 pct  Nasdaq off 2.2 pct * For up-to-the-minute market news see [STXNEWS/US]  (Updates to late afternoon trading; changes byline),normal
BAC,Bank of America Corporation,20110711,Exclusive: France's Photonis  QioptiQ for sale ,NEW YORK/LONDON Two French optical component makers that make military night vision and medical imaging equipment will go on the auction block  several people familiar with the situation said on Monday.,normal
BAC,Bank of America Corporation,20110711,Exclusive: France's Photonis  QioptiQ for sale ,NEW YORK/LONDON Two French optical component makers that make military night vision and medical imaging equipment will be sold  several people familiar with the situation said on Monday.,normal
BAC,Bank of America Corporation,20110711,REFILE-US STOCKS-Wall St drops over 1 pct on global debt worries , (Fixes typo in paragraph 5 to read "BNY ConvergEx Group"),normal
BAC,Bank of America Corporation,20110711,US STOCKS-Wall Street drops more than 1 pct on global debt fears , * Indexes off: Dow 1.2 pct  S&P 1.7 pct  Nasdaq 1.9 pct,normal
BAC,Bank of America Corporation,20110711,AIG may replace banks in next share offer ,PHILADELPHIA American International Group plans to replace one or more Wall Street banks in its next sale of shares from the U.S. government  The Wall Street Journal reported on Sunday.,normal
BAC,Bank of America Corporation,20110711,US STOCKS-Wall Street skids on global financial fears , * Cost of insuring Italian debt at record  euro ETFs fall,normal
BMO,Bank Of Montreal,20110711,RPT-BAY STREET-Maple's embrace seen tough for TMX to elude ,* Bay St bank "guard dogs" make white knight bid unlikely,topStory
BCS,Barclays PLC,20110711,UPDATE 3-US oil reserve bids were double amount offered , * U.S. sold all 30.6 mln barrels of oil initially awarded,topStory
BCS,Barclays PLC,20110711,UPDATE 1-Asset managers under pressure  study finds , * High profit margins reduce merger pressures  (Adds comment from industry expert  details  recasts first sentence),normal
BCS,Barclays PLC,20110711,Asset managers to face rising competition: study ,BOSTON Investors' increasingly aggressive hunt for the best returns will force the global asset management industry to up the ante and become more competitive  according to research released on Monday.,normal
BCS,Barclays PLC,20110711,MOVES-RBS Capital Markets  Barclays Capital  HSBC Holdings , July 11 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
BCS,Barclays PLC,20110711,Asset managers to face rising competition -study , BOSTON  July 11 Investors' increasingly aggressive hunt for the best returns will force the global asset management industry to up the ante and become more competitive  according to research released on Monday.,normal
BCS,Barclays PLC,20110711,UPDATE 2-Deutsche Bank co-CEO plan seen paving way for Jain , * Investors seek clear lines of accountability -analysts,normal
BCS,Barclays PLC,20110711,UPDATE 2-UAE's Majid Al Futtaim to raise $1 bln loan - sources , * Loan structured in three and five-year facility - sources,normal
BCS,Barclays PLC,20110711,ADR Report-European bank shares fall as contagion fears mount , NEW YORK  July 11 European bank shares trading in the United States fell sharply on Monday after heightened concerns that Italy would be the next country hit by the European debt crisis prompted an emergency meeting of top European officials.,normal
BCS,Barclays PLC,20110711,UAE's Majid Al Futtaim Holding to raise $1 bln loan - sources , DUBAI  July 11 Mall developer Majid Al Futtaim (MAF) Holding has picked banks to arrange a $1 billion loan in three and five year facilities  two sources familiar with the matter said on Monday.,normal
BCS,Barclays PLC,20110711,Barclays Wealth hires JPMorgan's Olsen , NEW YORK  July 11 Barclays Wealth  has hired Hans Olsen away from JPMorgan's high-end wealth management division  naming him head of the British bank's Americas investment strategy.,normal
BKS,Barnes & Noble Inc,20110711,Target to sell new electronic reader ,SAN FRANCISCO Target Corp will soon start selling a new electronic reader that competes with Amazon.com Inc's Kindle and Barnes & Noble's Nook.,topStory
BKS,Barnes & Noble Inc,20110711,Target to sell new electronic reader ,   * Device to be fully integrated with Google eBooks platform,normal
BBY,Best Buy Co Inc,20110711,Bondholders take backseat to shareholders ,NEW YORK  July 8 (IFR) - The increase in shareholder-friendly activity among investment-grade bond issuers has bondholders concerned that their interest might not be at heart in the boardrooms of their portfolio companies.,topStory
BHP,BHP Billiton Limited,20110711,PRESS DIGEST-Australian Business News - July 12 , Compiled for Reuters by Media Monitors. Reuters has not verified these stories and does not vouch for their accuracy.,topStory
BHP,BHP Billiton Limited,20110711,UPDATE 6-Chile Codelco strike raises risk of wider strife , * Walkout raises risk of more labor trouble in Chile  (Adds analyst and union leader comments),normal
BHP,BHP Billiton Limited,20110711,TAKE-A-LOOK-Chile mining struggles with labor disputes  weather , Workers at state-owned Codelco held their first national strike in nearly two decades on Monday  blocking access roads and challenging the Chilean government in a growing feud over the future of the world's top copper miner.,normal
BHP,BHP Billiton Limited,20110711,TIMELINE-Main disruptions at Chilean copper mines this year , July 11 Codelco union workers held a one-day strike on Monday to protest the ongoing restructuring of the Chilean state copper miner. [ID:nN1E76A011],normal
BHP,BHP Billiton Limited,20110711,TIMELINE-Chile's major mining strikes in last 20 yrs , July 11 Union workers at the world's top copper miner  Chile's Codelco   began a day-long  company-wide strike on Monday to protest changes to the state-run giant.,normal
BHP,BHP Billiton Limited,20110711,Australia carbon tax hits miners  airlines ,SYDNEY Coal miners  steel firms and airlines were sold off on Monday a day after Australia's unpopular government introduced a carbon tax scheme  while power suppliers warned the tax could risk A$4-6 billion in assets if banks tightened financing.,normal
BHP,BHP Billiton Limited,20110711,Jiangxi Copper forms trading unit with Chinese  HK firms , * Jiangxi wants to expand domestic and international trade,normal
BHP,BHP Billiton Limited,20110711,WRAPUP 3-Bid for Australian coal miner boosts carbon tax , * Bid for coal miner  a boost for government's carbon tax,normal
BHP,BHP Billiton Limited,20110711,WRAPUP 2-Australia carbon tax hits miners  airlines , * Power suppliers warn tax risks A$4-6 billion in assets,normal
BHP,BHP Billiton Limited,20110711,TIMELINE-Chile's major mining strikes in past 20 years , July 11 Union workers at the world's top copper miner  Chile's Codelco [CODEL.UL]  prepared for a company-wide strike on Monday to protest changes to the state-run giant.,normal
BBL,BHP Billiton plc,20110711,PRESS DIGEST-Australian Business News - July 12 , Compiled for Reuters by Media Monitors. Reuters has not verified these stories and does not vouch for their accuracy.,topStory
BBL,BHP Billiton plc,20110711,UPDATE 6-Chile Codelco strike raises risk of wider strife , * Walkout raises risk of more labor trouble in Chile  (Adds analyst and union leader comments),normal
BBL,BHP Billiton plc,20110711,TAKE-A-LOOK-Chile mining struggles with labor disputes  weather , Workers at state-owned Codelco held their first national strike in nearly two decades on Monday  blocking access roads and challenging the Chilean government in a growing feud over the future of the world's top copper miner.,normal
BBL,BHP Billiton plc,20110711,TIMELINE-Main disruptions at Chilean copper mines this year , July 11 Codelco union workers held a one-day strike on Monday to protest the ongoing restructuring of the Chilean state copper miner. [ID:nN1E76A011],normal
BBL,BHP Billiton plc,20110711,TIMELINE-Chile's major mining strikes in last 20 yrs , July 11 Union workers at the world's top copper miner  Chile's Codelco   began a day-long  company-wide strike on Monday to protest changes to the state-run giant.,normal
BBL,BHP Billiton plc,20110711,Australia carbon tax hits miners  airlines ,SYDNEY Coal miners  steel firms and airlines were sold off on Monday a day after Australia's unpopular government introduced a carbon tax scheme  while power suppliers warned the tax could risk A$4-6 billion in assets if banks tightened financing.,normal
BBL,BHP Billiton plc,20110711,Jiangxi Copper forms trading unit with Chinese  HK firms , * Jiangxi wants to expand domestic and international trade,normal
BBL,BHP Billiton plc,20110711,WRAPUP 3-Bid for Australian coal miner boosts carbon tax , * Bid for coal miner  a boost for government's carbon tax,normal
BBL,BHP Billiton plc,20110711,WRAPUP 2-Australia carbon tax hits miners  airlines , * Power suppliers warn tax risks A$4-6 billion in assets,normal
BBL,BHP Billiton plc,20110711,TIMELINE-Chile's major mining strikes in past 20 years , July 11 Union workers at the world's top copper miner  Chile's Codelco [CODEL.UL]  prepared for a company-wide strike on Monday to protest changes to the state-run giant.,normal
BKT,BlackRock Income Trust Inc (The),20110711,U.S. House Democrat questions BofA settlement , WASHINGTON  July 11 A U.S. House Democrat said on Monday he is concerned taxpayers may be partially on the hook as a result of Bank of America's $8.5 billion settlement with bondholders over soured residential mortgage-backed securities.,topStory
BLK,BlackRock Inc,20110711,UPDATE 1-Asset managers under pressure  study finds , * High profit margins reduce merger pressures  (Adds comment from industry expert  details  recasts first sentence),topStory
BLK,BlackRock Inc,20110711,Asset managers to face rising competition: study ,BOSTON Investors' increasingly aggressive hunt for the best returns will force the global asset management industry to up the ante and become more competitive  according to research released on Monday.,normal
BLK,BlackRock Inc,20110711,MOVES-RBS Capital Markets  Barclays Capital  HSBC Holdings , July 11 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
BLK,BlackRock Inc,20110711,Asset managers to face rising competition -study , BOSTON  July 11 Investors' increasingly aggressive hunt for the best returns will force the global asset management industry to up the ante and become more competitive  according to research released on Monday.,normal
BLK,BlackRock Inc,20110711,Judge's ruling extends Mosaic's Florida mine woes ,NEW YORK A federal judge has extended an order keeping Mosaic Co  from expanding a Florida phosphate mine  dealing yet another blow to the fertilizer producer and pushing its stock down 5.2 percent.,normal
BLK,BlackRock Inc,20110711,UPDATE 3-Judge's ruling extends Mosaic's Florida mine woes , * Shares down 5.2 percent in morning trading  (Adds mine tour  CF Industries; updates share price),normal
BLK,BlackRock Inc,20110711,Bondholders take backseat to shareholders ,NEW YORK  July 8 (IFR) - The increase in shareholder-friendly activity among investment-grade bond issuers has bondholders concerned that their interest might not be at heart in the boardrooms of their portfolio companies.,normal
BA,Boeing Company (The),20110711,UPDATE 1-Gol may increase Boeing orders after Webjet deal , * Gol CFO sees Webjet purchase to produce $63 mln savings,topStory
