ACHC,Acadia Healthcare Company Inc,20160105,Fitch Expects to Withdraw Priory's Ratings on Acadia Acquisition ,(The following statement was released by the rating agency) LONDON  January 05 (Fitch) Fitch Ratings expects to withdraw Priory Group No. 3  plc's (Priory) Issuer Default Rating (IDR) of 'B+' and the 'BB+'/'RR1' ratings  on its super senior revolving credit facility (RCF)  senior secured notes due  2018 and senior notes due 2019 upon the closing of the proposed acquisition of  Priory by Acadia Healthcare Company  Inc. (Acadia)  a US-based provider of  inpatient behavioural healthcare services. F,topStory
LMHA,Legg Mason Inc,20160105,Legg Mason in talks to buy Clarion Partners - Bloomberg ,Jan 4 Global asset manager Legg Mason Inc  is in talks to buy a majority stake in real estate investment manager Clarion Partners LLC in a deal valuing the company at about $850 million  Bloomberg reported.,normal
LMHB,Legg Mason Inc,20160105,Legg Mason in talks to buy Clarion Partners: Bloomberg ,Global asset manager Legg Mason Inc  is in talks to buy a majority stake in real estate investment manager Clarion Partners LLC in a deal valuing the company at about $850 million  Bloomberg reported.,topStory
LMHB,Legg Mason Inc,20160105,Legg Mason in talks to buy Clarion Partners - Bloomberg ,Jan 4 Global asset manager Legg Mason Inc  is in talks to buy a majority stake in real estate investment manager Clarion Partners LLC in a deal valuing the company at about $850 million  Bloomberg reported.,normal
LMT,Lockheed Martin Corporation,20160105,Lockheed  U.S. to argue stop-work bid on Army trucks on January 20 ,WASHINGTON The U.S. Court of Federal Claims will hear arguments on Jan. 20 in Lockheed Martin Corp's motion to halt Oshkosh Corp's  work on 17 000 armored Humvee truck replacements for the U.S. Army while Lockheed challenges the $6.75 billion contract.,topStory
LMT,Lockheed Martin Corporation,20160105,Lockheed  U.S. to argue stop-work bid on Army trucks on Jan. 20 ,WASHINGTON  Jan 5 The U.S. Court of Federal Claims will hear arguments on Jan. 20 in Lockheed Martin Corp's  motion to halt Oshkosh Corp's  work on 17 000 armored Humvee truck replacements for the U.S. Army while Lockheed challenges the $6.75 billion contract.,normal
MFC,Manulife Financial Corp,20160105,Canada's Manulife seeks to revive Singapore REIT IPO this year -exec ,SINGAPORE  Jan 5 Canada's Manulife Financial Corp is looking to revive a plan to list a real estate investment trust in Singapore this year after an initial public offering (IPO) was shelved last year due to poor market conditions.,topStory
MMC,Marsh & McLennan Companies Inc,20160105,MOVES-Guy Carpenter names Matthias Meyenhofer managing director ,Jan 5 Guy Carpenter & Co LLC  the risk and reinsurance unit of Marsh & Mclennan Co Inc  appointed Matthias Meyenhofer as managing director.,topStory
NOK,Nokia Corporation,20160105,BRIEF-Nokia holds about 80 pct of Alcatel  French authority confirms ,* says the French stock market authority today published the final results of the initial offer period of Nokia's public exchange offer for Alcatel-Lucent securities in France and in the United States,topStory
ORAN,Orange,20160105,Orange  Bouygues Telecom revive French merger plans ,PARIS Plans to cut the number of players in the French telecoms industry were firmly back on the table on Tuesday after Orange  revived talks with Bouygues Telecom to create a giant with more than half of the country's fixed-line and mobile markets. | Video ,topStory
ORAN,Orange,20160105,UPDATE 3-Orange  Bouygues Telecom revive French merger plans ,* Orange CEO says merger must not destroy jobs   (Adds comments by Orange's CEO  French official; closing share prices),normal
OSK,Oshkosh Corporation,20160105,Lockheed  U.S. to argue stop-work bid on Army trucks on January 20 ,WASHINGTON The U.S. Court of Federal Claims will hear arguments on Jan. 20 in Lockheed Martin Corp's motion to halt Oshkosh Corp's  work on 17 000 armored Humvee truck replacements for the U.S. Army while Lockheed challenges the $6.75 billion contract.,topStory
OSK,Oshkosh Corporation,20160105,Lockheed  U.S. to argue stop-work bid on Army trucks on Jan. 20 ,WASHINGTON  Jan 5 The U.S. Court of Federal Claims will hear arguments on Jan. 20 in Lockheed Martin Corp's  motion to halt Oshkosh Corp's  work on 17 000 armored Humvee truck replacements for the U.S. Army while Lockheed challenges the $6.75 billion contract.,normal
PMF,PIMCO Municipal Income Fund,20160105,UPDATE 2-Pimco Total Return posts December inflow on reinvestments ,NEW YORK  Jan 5 Pacific Investment Management Co's flagship fund posted an inflow of $1.3 billion in December on clients' reinvestments of capital gains  the Newport Beach  California-based firm said on Tuesday.,topStory
PMF,PIMCO Municipal Income Fund,20160105,Pimco Total Return Fund posts $1.3 bln inflow in December ,NEW YORK  Jan 5 Pacific Investment Management Co's flagship fund posted an inflow of $1.3 billion in December  according to the Newport Beach  California firm's website on Tuesday.,normal
SNY,Sanofi,20160105,Poor sales prompt Sanofi to pull plug on Mannkind inhaled insulin ,LONDON French drugmaker Sanofi is to stop selling an inhalable insulin developed by Mannkind  following disappointing sales of the product since its launch in February 2015.,topStory
SNY,Sanofi,20160105,UPDATE 2-Poor sales prompt Sanofi to pull plug on Mannkind inhaled insulin ,* Mannkind shares slump 40 percent   (Adds analysts' comment  further share price fall),normal
LUV,Southwest Airlines Company,20160105,UPDATE 1-U.S. airlines raise fares $3 in first sector-wide hike since June ,NEW YORK  Jan 5 The top U.S. airlines said Tuesday that they have raised fares in the first industry-wide hike since June  moves that may offset increasing labor costs but draw the ire of customers.,normal
LUV,Southwest Airlines Company,20160105,Major U.S. airlines up fares in sign of first sector-wide hike since June ,Jan 5 Three of the largest U.S. airlines have inched up fares in what could mark the first industry-wide hike since June.,normal
RGR,Sturm Ruger & Company Inc,20160105,Shares of gun makers soar as Obama tightens firearm rules ,Jan 5 Shares of gun manufacturers soared again on Tuesday after President Barack Obama unveiled gun control measures and Smith & Wesson Holding Corp released a more bullish financial outlook.,normal
SU,Suncor Energy  Inc,20160105,Deals of the day- Mergers and acquisitions ,Jan 5 The following bids  mergers  acquisitions and disposals were reported by 2115 GMT on Tuesday:,topStory
SU,Suncor Energy  Inc,20160105,Canadian Oil Sands investor urges shareholders reject Suncor bid ,CALGARY  Alberta A major Canadian Oil Sands Ltd investor sent an open letter to fellow shareholders on Tuesday urging them to reject a C$4.3 billion ($3.1 billion) hostile takeover bid by Suncor Energy Inc that expires this Friday.,normal
SU,Suncor Energy  Inc,20160105,Canadian Oil Sands investor urges shareholders reject Suncor bid ,CALGARY  Alberta  Jan 5 A major Canadian Oil Sands Ltd investor sent an open letter to fellow shareholders on Tuesday urging them to reject a C$4.3 billion ($3.1 billion) hostile takeover bid by Suncor Energy Inc  that expires this Friday.,normal
SU,Suncor Energy  Inc,20160105,BRIEF-Suncor sees indication that most COS shareholders support bid ,* Chief Executive says indication this week is that majority of Canadian Oil Sands shareholders are going to support Suncor offer  Source text for Eikon:  Further company coverage:    (Reporting By Nia Williams),normal
SU,Suncor Energy  Inc,20160105,BRIEF-Suncor says Syncrude output reduced at least 40 days from Dec. 8 ,* Says Syncrude oil sands project operational issues reported on Dec. 8 will result in at least 40 days of reduced production  Source text for Eikon:  Further company coverage:    (Reporting By Nia Williams),normal
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20160105,BRIEF-TSMC orders equipment for T$1.4 bln ,* Says orders equipment from Lam Research International Sarl for T$1.4 billion ($42.33 million),topStory
TTM,Tata Motors Ltd,20160105,India's top court upholds ban on sale of large diesel cars in Delhi ,MUMBAI India's top court on Tuesday upheld a temporary ban on the sale of large diesel cars in New Delhi to combat toxic smog in India's capital  but postponed hearing an industry appeal on an environmental tax that carmakers say will hit investment.,normal
TM,Toyota Motor Corp Ltd Ord,20160105,Toyota's new R&D company hires technical team ,Japanese automaker Toyota Motor Corp's research and development company  Toyota Research Institute (TRI)  said it hired a team of scientists and engineers to help drive research into artificial intelligence and robots.,topStory
TM,Toyota Motor Corp Ltd Ord,20160105,UPDATE 6-U.S. auto sales in 2015 set record after strong December ,DETROIT  Jan 5 Automakers on Tuesday set a new U.S. sales record for 2015 even as December sales fell short of expectations  and most forecasters said sales should rise to another record this year.,normal
TM,Toyota Motor Corp Ltd Ord,20160105,Toyota's new R&D company hires technical team ,Jan 5 Japanese automaker Toyota Motor Corp's  research and development company  Toyota Research Institute (TRI)  said it hired a team of scientists and engineers to help drive research into artificial intelligence and robots.,normal
TM,Toyota Motor Corp Ltd Ord,20160105,UPDATE 1-Automakers  not Silicon Valley  lead in driverless car patents - study ,LAS VEGAS  Jan 5 Automakers  not technology companies  are in the driver's seat in developing self-driving  "autonomous" cars  and Japan's Toyota Motor Corp is best positioned to lead the way  according to a new report on patents for the fast-evolving technology.,normal
TM,Toyota Motor Corp Ltd Ord,20160105,Automakers  not Silicon Valley  lead in driverless car patents - study ,Automakers  not technology companies  are in the driver's seat in developing self-driving  "autonomous" cars  and Japan's Toyota Motor Corp is best positioned to lead the way  according to a new report on patents for the fast-evolving technology.,normal
TM,Toyota Motor Corp Ltd Ord,20160105,Automakers  not Silicon Valley  lead in driverless car patents - study ,LAS VEGAS  Jan 5 Automakers  not technology companies  are in the driver's seat in developing self-driving  "autonomous" cars  and Japan's Toyota Motor Corp is best positioned to lead the way  according to a new report on patents for the fast-evolving technology.,normal
TM,Toyota Motor Corp Ltd Ord,20160105,Supreme Court upholds ban on sale of large diesel vehicles in Delhi ,MUMBAI The Supreme Court on Tuesday upheld a temporary ban on the sale of large diesel cars in New Delhi to combat toxic smog in India's capital  but postponed hearing an industry appeal on an environmental tax that carmakers say will hit investment.,normal
TM,Toyota Motor Corp Ltd Ord,20160105,India's top court upholds ban on sale of large diesel cars in Delhi ,MUMBAI India's top court on Tuesday upheld a temporary ban on the sale of large diesel cars in New Delhi to combat toxic smog in India's capital  but postponed hearing an industry appeal on an environmental tax that carmakers say will hit investment.,normal
TM,Toyota Motor Corp Ltd Ord,20160105,UPDATE 1-Toyota undershoots expectations with 2.7 pct China growth target in 2016 ,BEIJING  Jan 5 Toyota Motor Corp and its joint venture partners aim to sell 1.15 million vehicles in China this year  undershooting overall expectations for the world's largest auto market.,normal
TWTR,Twitter Inc,20160105,Twitter considering 10 000-character limit for tweets - report ,Twitter Inc  is building a new feature that will allow users to post tweets as long as 10 000 characters  well beyond its current 140-character limit  technology news website Re/code reported on Tuesday.,topStory
TWTR,Twitter Inc,20160105,Twitter considering 10 000-character limit for tweets -report ,Twitter Inc is building a new feature that will allow users to post tweets as long as 10 000 characters  well beyond its current 140-character limit  technology news website Re/code reported on Tuesday.,normal
TWTR,Twitter Inc,20160105,UPDATE 3-Twitter considering 10 000-character limit for tweets -report ,Jan 5 Twitter Inc is building a new feature that will allow users to post tweets as long as 10 000 characters  well beyond its current 140-character limit  technology news website Re/code reported on Tuesday.,normal
TWTR,Twitter Inc,20160105,CORRECTED-UPDATE 1-Twitter considering 10 000-character limit for tweets - Re/code ,Jan 5 Twitter Inc is building a new feature that will allow users to post tweets as long as 10 000 characters  Re/code reported on Tuesday.,normal
TWTR,Twitter Inc,20160105,GM invests $500 million in Lyft  sets out self-driving car partnership ,SAN FRANCISCO General Motors Inc  said on Monday it will invest $500 million in Lyft Inc and laid out plans to develop an on-demand network of self-driving cars with the ride-sharing service. | Video ,normal
UMC,United Microelectronics Corporation,20160105,BRIEF-UMC's Xiamen subsidiary orders machinery equipment from KLA-Tencor ,* Says subsidiary United Semiconductor (Xiamen) orders machinery equipment worth T$1 billion  ($30.17 million),topStory
VRX,Valeant Pharmaceuticals International Inc,20160105,Valeant plans to appoint new CEO as Pearson remains hospitalized: WSJ ,Valeant Pharmaceuticals International Inc   is planning to appoint a new CEO as Chief Executive Michael Pearson remains hospitalized  the Wall Street Journal said  citing people familiar with the matter.,topStory
VRX,Valeant Pharmaceuticals International Inc,20160105,Valeant planning to appoint a new CEO - CNBC  citing Dow Jones ,Jan 5 Valeant Pharmaceuticals International Inc   is planning to appoint a new CEO as Chief Executive Michael Pearson remains hospitalized  CNBC tweeted  citing Dow Jones.,normal
VRX,Valeant Pharmaceuticals International Inc,20160105,Ackman's Pershing Square ends 2015 with 20.5 pct drop ,BOSTON Billionaire investor William Ackman's Pershing Square Holdings hedge fund ended 2015 with a 20.5 percent loss after Valeant Pharmaceuticals   a top holding  was battered in the second half of the year.,normal
VRX,Valeant Pharmaceuticals International Inc,20160105,Ackman's Pershing Square Holdings ends 2015 down 20.5 pct ,BOSTON  Jan 5 Billionaire investor William Ackman's Pershing Square Holdings hedge fund ended 2015 with a 20.5 percent loss after Valeant Pharmaceuticals  a top holding  has battered in the second half of the year.,normal
VZ,Verizon Communications Inc,20160105,Exclusive: Verizon launches auction to sell data centers - sources ,Verizon Communications Inc  has started a process to sell its data center assets  hoping to fetch more than $2.5 billion  people familiar with the matter said on Tuesday  as the U.S. telecommunications conglomerate focuses on its core business.,topStory
VZA,Verizon Communications Inc,20160105,Exclusive: Verizon launches auction to sell data centers - sources ,Verizon Communications Inc  has started a process to sell its data center assets  hoping to fetch more than $2.5 billion  people familiar with the matter said on Tuesday  as the U.S. telecommunications conglomerate focuses on its core business.,topStory
WMT,Wal-Mart Stores Inc,20160105,Wal-Mart supplier recalls 90 000 lbs of potentially contaminated meat ,A supplier to Wal-Mart Stores Inc  the world's largest retailer  has recalled about 90 000 pounds of beef products that may be "contaminated with extraneous wood materials"  the U.S. Agriculture Department said in a release on its website.,topStory
WMT,Wal-Mart Stores Inc,20160105,Wal-Mart supplier recalls 90 000 lbs of potentially contaminated meat ,A supplier to Wal-Mart Stores Inc   the world's largest retailer  has recalled about 90 000 pounds of beef products that may be "contaminated with extraneous wood materials"  the U.S. Agriculture Department said in a release on its website.,normal
WMT,Wal-Mart Stores Inc,20160105,Wal-Mart supplier recalls 90 000 lbs of potentially contaminated meat ,Jan 5 A supplier to Wal-Mart Stores Inc  the world's largest retailer  has recalled about 90 000 pounds of beef products that may be "contaminated with extraneous wood materials"  the U.S. Agriculture Department said in a release on its website.,normal
YUM,Yum! Brands Inc,20160105,Yum Brands' Chairman David Novak to retire in May ,Yum Brands Inc   the owner of Pizza Hut and KFC restaurant chains  said executive chairman and former CEO David Novak plans to retire in May.,topStory
YUM,Yum! Brands Inc,20160105,UPDATE 1-Yum Brands' Chairman David Novak to retire in May ,Jan 5 Yum Brands Inc  the owner of Pizza Hut and KFC restaurant chains  said executive chairman and former CEO David Novak plans to retire in May.,normal
YUM,Yum! Brands Inc,20160105,CORRECTED-Yum Brands' Chairman David Novak to retire in May ,Jan 5 Yum Brands Inc  the owner of Pizza Hut and KFC restaurant chains  said executive chairman and former CEO David Novak plans to retire in May.,normal
