AMAG,AMAG Pharmaceuticals Inc,20151008,VW partner AMAG Leasing extends Swiss credit lines ,ZURICH  Oct 8 Swiss auto distributor and Volkswagen importer AMAG said its leasing arm had extended for five years a 2.5 billion Swiss franc ($2.6 billion) syndicated loan facility with 26 Swiss banks.,topStory
GEK,General Electric Capital Corporation,20151008,Poland's PZU confirms talks with GE on BPH Bank sale on hold ,WARSAW  Oct 8 Polish insurer PZU said on Thursday that its talks with U.S. General Electric (GE)  over the sale of GE's Polish unit Bank BPH were suspended  confirming an earlier Reuters report.,topStory
GEK,General Electric Capital Corporation,20151008,GE  Polish PZU suspend talks over Bank BPH sale -sources ,WARSAW  Oct 8 Polish insurer PZU and U.S. General Electric (GE) suspended talks over the sale of GE's Polish unit Bank BPH  four sources told Reuters on Thursday.,normal
GE,General Electric Company,20151008,Poland's PZU confirms talks with GE on BPH Bank sale on hold ,WARSAW  Oct 8 Polish insurer PZU said on Thursday that its talks with U.S. General Electric (GE)  over the sale of GE's Polish unit Bank BPH were suspended  confirming an earlier Reuters report.,topStory
GE,General Electric Company,20151008,GE  Polish PZU suspend talks over Bank BPH sale -sources ,WARSAW  Oct 8 Polish insurer PZU and U.S. General Electric (GE) suspended talks over the sale of GE's Polish unit Bank BPH  four sources told Reuters on Thursday.,normal
GEB,General Electric Company,20151008,Poland's PZU confirms talks with GE on BPH Bank sale on hold ,WARSAW  Oct 8 Polish insurer PZU said on Thursday that its talks with U.S. General Electric (GE)  over the sale of GE's Polish unit Bank BPH were suspended  confirming an earlier Reuters report.,topStory
GEB,General Electric Company,20151008,GE  Polish PZU suspend talks over Bank BPH sale -sources ,WARSAW  Oct 8 Polish insurer PZU and U.S. General Electric (GE) suspended talks over the sale of GE's Polish unit Bank BPH  four sources told Reuters on Thursday.,normal
GM,General Motors Company,20151008,GM to recall 31 685 SUVs in North America ,General Motors Co said it would recall 31 685 SUVs in North America to repair a manufacturing defect in the windshield wiper motor that may overheat.,topStory
GNW,Genworth Financial Inc,20151008,EU mergers and takeovers (Oct 8) ,BRUSSELS  Oct 8 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
GS,Goldman Sachs Group Inc (The),20151008,UPDATE 3-Goldman to release results on website  not BusinessWire - source ,Oct 8 Goldman Sachs Group Inc will release its third-quarter results next week through its website and Twitter  not through BusinessWire  as it seeks more control over the handling of sensitive information  a person familiar with the matter said.,topStory
GS,Goldman Sachs Group Inc (The),20151008,Oil rally to reverse  price to stay lower for longer: Goldman Sachs ,Goldman Sachs said on Thursday a current rally in oil prices would probably reverse as it had little fundamental support  and the bank reiterated its expectation that prices will likely remain "lower for longer.",normal
GS,Goldman Sachs Group Inc (The),20151008,Copper at risk of sliding below $4 000 - Goldman ,LONDON  Oct 8 Copper prices are at risk of tumbling below $4 000 a tonne after demand for the metal in top consumer China collapsed this year  according to an analyst from Goldman Sachs  a bank known for its bearish views.,normal
HTZ,Hertz Global Holdings Inc,20151008,Lyft says partnering with Hertz  Shell ,SAN FRANCISCO  Oct 8 Ride-hailing company Lyft has partnered with Hertz Global Holdings Inc to offer rental cars to its drivers  Oliver Hsiang  Lyft's Vice President of Partnerships  said at a media event on Thursday.,topStory
HSBC,HSBC Holdings plc,20151008,REFILE-UPDATE 1-HSBC slashes 10-year US  German yield call to near record lows ,LONDON  Oct 8 Yields on 10-year U.S. and German bonds will fall to within sight of their all-time lows next year  as challenging economic conditions force the Federal Reserve and European Central Bank to maintain looser policy for longer  HSBC said on Thursday.,topStory
HSEA,HSBC Holdings plc,20151008,REFILE-UPDATE 1-HSBC slashes 10-year US  German yield call to near record lows ,LONDON  Oct 8 Yields on 10-year U.S. and German bonds will fall to within sight of their all-time lows next year  as challenging economic conditions force the Federal Reserve and European Central Bank to maintain looser policy for longer  HSBC said on Thursday.,topStory
HSEB,HSBC Holdings plc,20151008,REFILE-UPDATE 1-HSBC slashes 10-year US  German yield call to near record lows ,LONDON  Oct 8 Yields on 10-year U.S. and German bonds will fall to within sight of their all-time lows next year  as challenging economic conditions force the Federal Reserve and European Central Bank to maintain looser policy for longer  HSBC said on Thursday.,topStory
LYG,Lloyds Banking Group Plc,20151008,Broker Hargreaves says 120 000 sign up to get Lloyds shares ,LONDON  Oct 8 More than 120 000 investors have registered an interest in buying shares in British bank Lloyds  with stockbroker Hargreaves Lansdown in the four days since the government put its remaining 2 billion pound ($3.1 billion) stake up for sale.,topStory
LMT,Lockheed Martin Corporation,20151008,ULA needs relief on Russian engines before GPS launch bid: CEO ,CAPE CANAVERAL  Fla./WASHINGTON United Launch Alliance  a joint venture of Lockheed Martin Corp  and Boeing Co   on Friday said it cannot bid in a U.S. Air Force competition to launch a GPS satellite unless it gets some relief from a ban on use of Russian rocket engines.,topStory
LMT,Lockheed Martin Corporation,20151008,SpaceX raps ULA bid to get U.S. waiver for Russian engines ,WASHINGTON Space Exploration Technologies  or SpaceX  has slammed a bid by United Launch Alliance  a joint venture of Lockheed Martin Corp and Boeing Co  to get a waiver from a U.S. ban on Russian rocket engines for military use.,normal
LMT,Lockheed Martin Corporation,20151008,CORRECTED-UPDATE 3-ULA needs relief on Russian engines before GPS launch bid -CEO ,CAPE CANAVERAL  Fla./WASHINGTON Oct 2 United Launch Alliance  a joint venture of Lockheed Martin Corp  and Boeing Co  on Friday said it cannot bid in a U.S. Air Force competition to launch a GPS satellite unless it gets some relief from a ban on use of Russian rocket engines.,normal
LMT,Lockheed Martin Corporation,20151008,SpaceX raps ULA bid to get U.S. waiver for Russian engines ,WASHINGTON  Oct 8 Space Exploration Technologies  or SpaceX  has slammed a bid by United Launch Alliance  a joint venture of Lockheed Martin Corp and Boeing Co  to get a waiver from a U.S. ban on Russian rocket engines for military use.,normal
MRK,Merck & Company Inc,20151008,REFILE-BRIEF-Bionomics announces extension of strategic collaboration with Merck & Co.  Inc ,(Corrects to add RIC in first bullet) Bionomics Ltd :  * Merck investment and pain partnership extended    * Merck &co.  inc. to make US$9 million investment in Bionomics  * Says extended its strategic collaboration with Merck & co.  inc.  Kenilworth NJ  * Says separately  Merck & co.  will also purchase 21.7 million ordinary shares at A$0.5938  a 29% premium to bionomics' closing price on 7 October 2015  * Says collaboration the discovery and development of drug candidates for the treatment of ,topStory
MON,Monsanto Company,20151008,Monsanto slashing 2 600 jobs  buying back shares as sales fall ,Monsanto Co  one of the world's largest seed and agrichemical companies  said on Wednesday that it was slashing 2 600 jobs and restructuring operations to cut costs in a slumping commodity market.,topStory
NOK,Nokia Corporation,20151008,BRIEF-Nokia redeems its convertible bonds due in 2017 ,* says has decided to exercise its option to redeem its EUR 750 million convertible bonds due in 2017 on November 26 at their principal amount outstanding plus accrued interest  Further company coverage:    (Helsinki Newsroom),topStory
PBR,Petroleo Brasileiro SA- Petrobras,20151008,Brazil lawmakers seek to oust speaker over Swiss accounts ,BRASILIA A group of Brazilian congressmen will seek the removal of lower house speaker Eduardo Cunha on ethical grounds after prosecutors confirmed the existence of undeclared bank accounts in his name in Switzerland  the leader of the leftist PSOL party said.,topStory
PPL,PPL Corporation,20151008,UPDATE 2-Talen Energy to sell three power plants for $1.51 bln ,* To divest 300-400 MW of generation before end of current qtr,normal
RBS,Royal Bank Scotland plc (The),20151008,MOVES-RBS appoints new finance executive ,LONDON  Oct 8 Royal Bank of Scotland has appointed Katie Murray to the new role of director of finance  reporting to Chief Financial Officer Ewen Stevenson.,topStory
SNY,Sanofi,20151008,BRIEF-Sanofi reports positive long-term data for Genzyme's Lemtrada clinical trials ,* Treatment effects maintained over five years in majority of patients with relapsing remitting Multiple Sclerosis who received Genzyme's Lemtrada (alemtuzumab) in clinical trials  Source text for Eikon:  See also:  Further company coverage:    (Gdynia Newsroom),topStory
SDRL,Seadrill Limited,20151008,Offshore rig driller Seadrill hopes to see market turn in 2017 ,OSLO  Oct 8 Offshore rig driller Seadrill  is facing another two years in the doldrums but hopes the international rig market could turn around in 2017.,topStory
SHAK,Shake Shack Inc,20151008,Shake Shack shares fall as early investors get chance to cash out ,Burger chain Shake Shack Inc's  shares fell as much as 11.3 percent on Thursday after the company said it would convert about 21 million of its Class B shares into Class A shares  allowing pre-IPO investors to cash out.,topStory
SHAK,Shake Shack Inc,20151008,Shake Shack shares fall as early investors get chance to cash out ,Oct 8 Burger chain Shake Shack Inc's  shares fell as much as 11.3 percent on Thursday after the company said it would convert about 21 million of its Class B shares into Class A shares  allowing pre-IPO investors to cash out.,normal
SM,SM Energy Company,20151008,SM Energy says bank line stays at $1.5B despite lower lending base ,HOUSTON  Oct 8 SM Energy Company said lending commitments from banks stayed steady at $1.5 billion after a semi-annual review of its reserves that reduced its borrowing base to $2 billion from $2.4 billion.,topStory
SNE,Sony Corp Ord,20151008,BRIEF-Melexis signs agreement with Sony to expand time-of-flight offering ,* Has signed an agreement with Sony to further expand time-of-flight offering for automobile safety and infotainment markets,topStory
SNE,Sony Corp Ord,20151008,Sony buys Belgian image sensor technology firm ,TOKYO Japan's Sony Corp said it bought Belgian image sensor technology company Softkinetic Systems for an undisclosed sum  stepping up investment in an area that has become one of its strongest amid weak sales of its TVs and smartphones.,normal
SNE,Sony Corp Ord,20151008,Sony buys Belgian image sensor technology firm ,TOKYO  Oct 8 Japan's Sony Corp said it bought Belgian image sensor technology company Softkinetic Systems for an undisclosed sum  stepping up investment in an area that has become one of its strongest amid weak sales of its TVs and smartphones.,normal
SNE,Sony Corp Ord,20151008,Sony proceeds with plan to sell music publishing unit: WSJ ,Sony Corp  is proceeding with a plan to sell its half of Sony/ATV Music Publishing  the world's largest music publisher  the Wall Street Journal reported.,normal
STO,Statoil ASA,20151008,Oil spills into North Sea at Statfjord field: Statoil ,OSLO Oil spilled into the North Sea during the loading of a tanker at Norway's Statfjord field on Thursday  operator Statoil said.,topStory
STO,Statoil ASA,20151008,UPDATE 2-Oil spills into North Sea at Statfjord field - Statoil ,* Statoil says has "flexibility" to export oil   (Adds volume of oil spill  quotes  detail),normal
STO,Statoil ASA,20151008,BRIEF-Zenitel awarded Statoil frame agreements for Johan Sverdrup ,* Announces frame agreement with Johan Sverdrup  one of the five largest oil fields on the Norwegian continental shelf,normal
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20151008,BRIEF-TSMC September sales T$64.51 bln  down 13.8 pct on year ,* Says September sales T$64.51 billion (August T$67.04 billion  September 2014 T$74.85 billion),topStory
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20151008,BRIEF-Taiwan's TSMC orders equipment for T$792 mln ,* Says orders equipment from SPTS Technologies Ltd for T$792 million ($24.33 million),normal
TGNA,TEGNA Inc,20151008,Gannett Co to buy Journal Media for $280 million ,Gannett Co Inc  publisher of USA Today  said on Wednesday it will buy Journal Media Group for $280 million.,topStory
TGNA,TEGNA Inc,20151008,Gannett Co to buy Journal Media for $280 million ,Gannett Co Inc  publisher of USA Today  said on Wednesday it will buy Journal Media Group for $280 million.,normal
TGNA,TEGNA Inc,20151008,UPDATE 1-Gannett Co to buy Journal Media for $280 million ,Oct 7 Gannett Co Inc  publisher of USA Today  said on Wednesday it will buy Journal Media Group  for $280 million.,normal
TI,Telecom Italia SPA,20151008,Telecom Italia to discuss strategic operations at Oct 16 board ,CAPRI  Italy  Oct 8 Telecom Italia  will discuss strategic operations at its next board meeting on October 16  the chairman of the company said on Thursday without elaborating further.,topStory
TEF,Telefonica SA,20151008,European shares flat amid uncertainty over earnings  economy ,MILAN  Oct 8 European shares were little changed on Thursday  with profit taking across several sectors offset by stronger auto stocks  while Deutsche Bank was volatile after rigorously cleaning up its balance sheet.,normal
TEF,Telefonica SA,20151008,European shares little changed; Deutsche Bank  autos up ,LONDON/MILAN  Oct 8 European shares were little changed on Thursday after days of gains  with profit taking across several sectors offset by stronger auto stocks  while Deutsche Bank was volatile after rigorously cleaning up its balance sheet.,normal
BX,The Blackstone Group LP,20151008,Blackstone to buy BioMed Realty in $8 billion deal ,Blackstone Group LP agreed to buy BioMed Realty Trust Inc  a supplier of office space to healthcare companies  in a deal valued at $8 billion  adding to the private equity firm's huge real estate portfolio.,topStory
BX,The Blackstone Group LP,20151008,UPDATE 2-Blackstone to buy BioMed Realty in $8 bln deal ,* Shares rise 8.6 pct  shy of offer price   (Adds background  share movement),normal
UAL,United Continental Holdings Inc,20151008,United Airlines raises profit margin forecast for third quarter ,United Continental Holdings Inc  on Thursday said it expects a higher pre-tax profit margin for the just-ended third quarter than it had previously forecast  thanks in part to extra revenue from a credit card agreement for frequent fliers.,topStory
UAL,United Continental Holdings Inc,20151008,UPDATE 1-United Airlines raises profit margin forecast for 3rd quarter ,Oct 8 United Continental Holdings Inc on Thursday said it expects a higher pre-tax profit margin for the just-ended third quarter than it had previously forecast  thanks in part to extra revenue from a credit card agreement for frequent fliers.,normal
UAL,United Continental Holdings Inc,20151008,United Airlines raises profit margin forecast for 3rd quarter ,Oct 8 United Continental Holdings Inc on Thursday said it expects a higher pre-tax profit margin for the just-ended third quarter than it had previously forecast.,normal
UAL,United Continental Holdings Inc,20151008,BRIEF-United to sell tickets for San Francisco-Xian flights Saturday ,Oct 8 * United Continental Holdings Inc  on Saturday will begin selling tickets for airline industry's first nonstop flights between San Francisco and Xian  China - Brian Znotins  United's vice president of network Further company coverage:    (Reporting By Jeffrey Dastin),normal
UMC,United Microelectronics Corporation,20151008,BRIEF-Taiwan's UMC posts September sales down 14.9 pct y/y ,* Says September sales at T$10.4 billion ($319.70 million)  down 14.9 percent y/y,topStory
VZ,Verizon Communications Inc,20151008,MEDIA-Verizon to raise price of grandfathered unlimited data plans by $20- the Verge ,-- Note: Reuters has not verified this story and does not vouch for its accuracy,topStory
VZA,Verizon Communications Inc,20151008,MEDIA-Verizon to raise price of grandfathered unlimited data plans by $20- the Verge ,-- Note: Reuters has not verified this story and does not vouch for its accuracy,topStory
YUM,Yum! Brands Inc,20151008,Fitch Solutions: Yum Brands CDS at Widest Levels in Six Years ,(The following statement was released by the rating agency) NEW YORK  October 08 (Fitch) Souring market sentiment on Yum Brands of late has  sent credit default sap (CDS) spreads to their widest level since 2009   according to Fitch Solutions in its latest CDS Case Study Snapshot. Five-year CDS on Yum Brands Inc. have widened out 20% over the past month to  price at the widest levels observed since 2009. The CDS Implied Rating for Yum  has been dropping steadily over the past year  from 'A' to ',topStory
