ALNY,Alnylam Pharmaceuticals Inc,20120925,Alnylam gets favorable ruling in patent suit against Tekmira ,Alnylam Pharmaceuticals Inc said a U.S. federal court has ruled that it could sue Canada's Tekmira Pharmaceuticals Corp for infringing patents on lipid nanoparticle technology exclusively licensed to Alnylam.,topStory
CCL,Carnival Corporation,20120925,Carnival results show cruise industry is recovering ,Carnival Corp & Plc on Tuesday reported stronger-than-expected quarterly earnings  helped by a revival in the cruise industry  which had suffered because of a deadly January accident involving one of its cruiseliners.,topStory
CAT,Caterpillar Inc,20120925,S.Korea-Market Factors to watch on Sept 26 ,SEOUL  Sept 26 Following is a list of events in South Korea as well as news stories and press reports that may influence financial markets.          TOP STORIES >Texas Instruments eyes shift away from wireless     >Hyundai revs up fuel-cell plan                      >Google starts Nexus 7 tablet content sales in Japan  >Caterpillar pares bullish 2015view on 'anemic' econ  >Nokia unveils two new mid-range cellphones          >S.Korea push back surplus target as econo,topStory
CAT,Caterpillar Inc,20120925,US STOCKS-Caterpillar  Apple drag Wall Street lower ,NEW YORK  Sept 25 The S&P 500 suffered its worst day since June on Tuesday  pulled lower by Caterpillar Inc  after it cut its profit outlook  the latest high-profile company to expect growth will fall short of expectations.,normal
CAT,Caterpillar Inc,20120925,US STOCKS SNAPSHOT-Caterpillar weighs as Wall St sells off late ,NEW YORK  Sept 25 U.S. stocks fell on Tuesday  pulled lower by declines in heavy equipment maker Caterpillar after it cut its profit outlook  the latest high-profile company to signal growth will fall short of expectations.,normal
CAT,Caterpillar Inc,20120925,US STOCKS-Wall St loses ground on lack of catalysts ,* Indexes off: Dow 0.14 pct  S&P 0.16 pct  Nasdaq both 0.22 pct,normal
CAT,Caterpillar Inc,20120925,US STOCKS-Wall St edges up on window dressing  Fed support ,* Indexes up: Dow 0.35 pct  S&P 0.35 pct  Nasdaq both 0.42 pct,normal
CAT,Caterpillar Inc,20120925,US STOCKS SNAPSHOT - Stocks edge up at open  Caterpillar lags ,NEW YORK  Sept 25 U.S. stocks rose at the open after comments from a Federal Reserve official suggested the central bank was not done taking action to stimulate the economy  but a pessimistic outlook from Caterpillar kept the advance in check.,normal
CAT,Caterpillar Inc,20120925,MARKET PULSE-Odyssey  Tesla  Google  Paychex  Forward Air  Caterpillar ,Sept 25 Some U.S. stocks to watch on Tuesday:                                                       ,normal
CAT,Caterpillar Inc,20120925,Caterpillar pares bullish 2015 view on "anemic" economy ,LAS VEGAS Caterpillar Inc  cut its 2015 earnings forecast on Monday  becoming the latest heavyweight in Corporate America to sound alarms on the sluggish global economic recovery. | Video ,normal
CAT,Caterpillar Inc,20120925,US STOCKS-Futures flat as Fed hopes offset Caterpillar ,* Futures: Dow up 23 pts  S&P up 1.3 pts  Nasdaq down 15 pts,normal
CAT,Caterpillar Inc,20120925,US STOCKS-Futures flat as Fed hopes offset Caterpillar ,* Futures: Dow up 5 pts  S&P up 0.4 pt  Nasdaq down 0.5 pt,normal
CTL,CenturyLink Inc,20120925,League facing fury over referees' "Hail Mary" call ,Fans  players and politicians vented their anger on Tuesday over a controversial refereeing decision that cost the Green Bay Packers a victory  but the National Football League (NFL) said the result of the game would stand.,topStory
CTL,CenturyLink Inc,20120925,League says no change to call that denied Packers a win ,Seattle Seahawks receiver Golden Tate should have been penalized on a game-ending play that denied the Green Bay Packers a win  the National Football League (NFL) said on Tuesday while adding they will not overturn the result of the game.,normal
CTL,CenturyLink Inc,20120925,Seahawks seal controversial win over Packers ,The Seattle Seahawks were awarded a controversial final-play touchdown to beat a shellshocked Green Bay Packers 14-12 on Monday as the NFL's replacement officials were again thrust into the spotlight over a contentious call.,normal
CVX,Chevron Corporation,20120925,U.S. business groups urge Ecuador trade benefits be cut ,* Ecuador's ambassador asks U.S. to maintain  extend trade benefits,topStory
CVX,Chevron Corporation,20120925,Chevron says Richmond repair time unknown ,RICHMOND  California Chevron Corp  needs a few more weeks to assess damage at its plant in Richmond  California  and does not yet know how long it will need to repair its crude unit after an early August fire damaged the state's second-biggest refinery  its general manager said on Monday.,normal
CVX,Chevron Corporation,20120925,Chevron says Richmond repair timing unknown ,RICHMOND  California Chevron Corp  needs a few more weeks to assess damage at its plant in Richmond  California  and does not yet know how long it will need to repair its crude unit after an early August fire damaged the state's second-biggest refinery  its general manager said on Monday.,normal
CBI,Chicago Bridge & Iron Company NV,20120925,UPDATE 1-Investor fund seeks probe of Shaw chairman on CB&I sale ,* Denali funds questions Shaw chairman's political ambition,topStory
CBI,Chicago Bridge & Iron Company NV,20120925,Denali Investors call for investigation of Shaw Group chairman ,A New York-based investment fund that owns shares in U.S. engineering company Shaw Group Inc   has demanded that a special committee be set up to investigate Shaw's chairman for potential conflicts of interest as he looks to sell the company to Chicago Bridge & Iron Co  for $3 billion.,normal
CBI,Chicago Bridge & Iron Company NV,20120925,Denali Investors call for investigation of Shaw Group chairman ,Sept 25 A New York-based investment fund that owns shares in U.S. engineering company Shaw Group Inc  has demanded that a special committee be set up to investigate Shaw's chairman for potential conflicts of interest as he looks to sell the company to Chicago Bridge & Iron Co for $3 billion.,normal
C,Citigroup Inc,20120925,Citi raises gold price forecasts for 2012-13 ,Sept 25 Citigroup raised its gold price forecasts for 2012 and 2013  saying ongoing global economic issues are causing gold to remain a favored asset for investors.,topStory
CLX,Clorox Company (The),20120925,TEXT-Fitch affirms Clorox's IDR at 'BBB+' ,Sept 25 - Fitch Ratings has affirmed The Clorox Company's (Clorox)  (NYSE: CLX) ratings as follows:  --Long-term Issuer Default Rating (IDR) at 'BBB+'; --Short-term IDR at 'F2' --Unsecured bank facility at 'BBB+'; --Senior unsecured Notes at 'BBB+'; --Commercial paper program at 'F2'.  Clorox's $1.1 billion revolving credit facility  $289 million in outstanding commercial paper and $3 billion in unsecured senior notes are affected by this action. The Rating Outlook is Stable.  Low Business Risk ,topStory
CEO,CNOOC Limited,20120925,UPDATE 1-China minister asks Canada be fair with state firms ,TORONTO  Sept 25 China's minister of commerce said on Tuesday that the country's state-owned companies act as corporations and obey local laws as he asked Canadian regulators to make a "fair and objective" analysis of their involvement in acquisitions.,topStory
CEO,CNOOC Limited,20120925,China commerce minister asks Canada be fair with state firms ,TORONTO China's minister of commerce said on Wednesday that the country's state-owned companies act as corporations and obey local laws as he asked Canadian regulators to make a "fair and objective" analysis of their involvement in acquisitions.,normal
COP,ConocoPhillips,20120925,UPDATE 3-Indian state firms bid $5 bln for Conoco Canada assets ,NEW DELHI  Sept 25 A trio of state-run Indian oil companies has bid $5 billion for stakes in Canadian oil sands holdings owned by ConocoPhillips  two sources said  as the world's No. 4 oil importer continues to search for supplies to power its near $2 trillion economy.,topStory
COP,ConocoPhillips,20120925,India's ONGC head denies bidding for assets of ConocoPhillips ,MUMBAI India's Oil and Natural Gas Corp (ONGC)  has not yet made a bid for stakes in Canadian oil sands assets owned by ConocoPhillips   the head of the state-run oil explorer said on Tuesday.,normal
COP,ConocoPhillips,20120925,India's ONGC head denies bidding for assets of ConocoPhillips ,MUMBAI  Sept 25 India's Oil and Natural Gas Corp (ONGC) has not yet made a bid for stakes in Canadian oil sands assets owned by ConocoPhillips  the head of the state-run oil explorer said on Tuesday.,normal
DB,Deutsche Bank AG,20120925,Deutsche Bank eyes cost headwinds in Q3 ,FRANKFURT Deutsche Bank AG  expects to see one-off costs in the third quarter linked to its job cuts  litigation expenses and the reduction of risk-weighted assets  Co-Chief Executive Anshu Jain told a financial conference.,topStory
DB,Deutsche Bank AG,20120925,UPDATE 1-Deutsche Bank eyes cost headwinds in Q3 ,FRANKFURT  Sept 25 Deutsche Bank AG  expects to see one-off costs in the third quarter linked to its job cuts  litigation expenses and the reduction of risk-weighted assets  Co-Chief Executive Anshu Jain told a financial conference.,normal
DB,Deutsche Bank AG,20120925,BRIEF-Deutsche Bank saw solid Q3 so far - Co-CEO Jain ,FRANKFURT  Sept 25 Deutsche Bank AG  Co-CEO Anshu Jain  in presentation to banking conference monitored over the Internet:  * says Deutsche Bank has seen a very solid performance in Q3 so far  especially in investment bank  * says revenue in Q3 in line but job cuts and litigation adding to costs,normal
DB,Deutsche Bank AG,20120925,New Issue-Elisa prices 300 mln euro 2019 bond ,September 25 (Reuters) -Following are terms and conditions,normal
DEO,Diageo plc,20120925,Diageo revives talks for stake in India's dominant spirits maker ,BANGALORE/LONDON Diageo Plc  is in talks to acquire a stake in Indian billionaire Vijay Mallya's United Spirits Ltd   reviving an on-again  off-again courtship that would ramp up its presence in the world's largest whisky market.,topStory
DEO,Diageo plc,20120925,UPDATE 2-Diageo revives talks for stake in India's dominant spirits maker ,* Diageo looking initially to buy 15 pct stake from Mallya- source,normal
DEO,Diageo plc,20120925,India's United Spirits says in talks with Diageo for stake sale ,Sept 25 United Spirits  controlled by Indian liquor baron Vijay Mallya  said on Tuesday it is in talks with Diageo Plc towards a possible sale of a stake in the company.,normal
DTE,DTE Energy Company,20120925,New Issue-DTE Energy sells $200 mln debentures ,Sept 25 DTE Energy Co on Tuesday sold $200 million of 2012 junior subordinated debentures  said IFR  a Thomson Reuters service.     The size of the deal was increased from an originally planned $150 million.     Bank of America Merrill Lynch  Citigroup  UBS  and Wells Fargo were the joint bookrunning managers for the sale.  BORROWER: DTE ENERGY CO   AMT $200 MLN    COUPON 5.25 PCT    MATURITY    12/1/2062 TYPE JR DEBS    ISS PRICE 25       FIRST PAY   12/1/2012  MOODY'S Baa3    YIELD,topStory
DTJ,DTE Energy Company,20120925,New Issue-DTE Energy sells $200 mln debentures ,Sept 25 DTE Energy Co on Tuesday sold $200 million of 2012 junior subordinated debentures  said IFR  a Thomson Reuters service.     The size of the deal was increased from an originally planned $150 million.     Bank of America Merrill Lynch  Citigroup  UBS  and Wells Fargo were the joint bookrunning managers for the sale.  BORROWER: DTE ENERGY CO   AMT $200 MLN    COUPON 5.25 PCT    MATURITY    12/1/2062 TYPE JR DEBS    ISS PRICE 25       FIRST PAY   12/1/2012  MOODY'S Baa3    YIELD,topStory
DTQ,DTE Energy Company,20120925,New Issue-DTE Energy sells $200 mln debentures ,Sept 25 DTE Energy Co on Tuesday sold $200 million of 2012 junior subordinated debentures  said IFR  a Thomson Reuters service.     The size of the deal was increased from an originally planned $150 million.     Bank of America Merrill Lynch  Citigroup  UBS  and Wells Fargo were the joint bookrunning managers for the sale.  BORROWER: DTE ENERGY CO   AMT $200 MLN    COUPON 5.25 PCT    MATURITY    12/1/2062 TYPE JR DEBS    ISS PRICE 25       FIRST PAY   12/1/2012  MOODY'S Baa3    YIELD,topStory
DTV,DTE Energy Company,20120925,New Issue-DTE Energy sells $200 mln debentures ,Sept 25 DTE Energy Co on Tuesday sold $200 million of 2012 junior subordinated debentures  said IFR  a Thomson Reuters service.     The size of the deal was increased from an originally planned $150 million.     Bank of America Merrill Lynch  Citigroup  UBS  and Wells Fargo were the joint bookrunning managers for the sale.  BORROWER: DTE ENERGY CO   AMT $200 MLN    COUPON 5.25 PCT    MATURITY    12/1/2062 TYPE JR DEBS    ISS PRICE 25       FIRST PAY   12/1/2012  MOODY'S Baa3    YIELD,topStory
DTY,DTE Energy Company,20120925,New Issue-DTE Energy sells $200 mln debentures ,Sept 25 DTE Energy Co on Tuesday sold $200 million of 2012 junior subordinated debentures  said IFR  a Thomson Reuters service.     The size of the deal was increased from an originally planned $150 million.     Bank of America Merrill Lynch  Citigroup  UBS  and Wells Fargo were the joint bookrunning managers for the sale.  BORROWER: DTE ENERGY CO   AMT $200 MLN    COUPON 5.25 PCT    MATURITY    12/1/2062 TYPE JR DEBS    ISS PRICE 25       FIRST PAY   12/1/2012  MOODY'S Baa3    YIELD,topStory
EC,Ecopetrol SA,20120925,Colombia Ecopetrol to issue bonds to substitute bank debt-finmin ,BOGOTA  Sept 25 Colombia's state-run Ecopetrol oil company will issue bonds this year and use the resources to substitute outstanding bank credit  Finance Minister Mauricio Cardenas said on Tue sday.,topStory
ERJ,Embraer-Empresa Brasileira de Aeronautica,20120925,UPDATE 1-Brazil's Embraer still seeing business jet cancellations-CEO ,* Embraer "struggling" to keep order backlog stable in 2012,topStory
ERJ,Embraer-Empresa Brasileira de Aeronautica,20120925,Brazil's Embraer still seeing business jet cancellations - CEO ,GENEVA  Sept 25 Brazilian planemaker Embraer  is still seeing some cancellations of business jet orders and expects the sector to take a few more years for orders to return to 2007-2008 levels  chief executive Frederico Curado told Reuters on Tuesday.,normal
EMR,Emerson Electric Company,20120925,Emerson orders decline on weakness in telecom sector ,Sept 25 Emerson Electric Co warned on Tuesday that weak demand from the telecommunications sector hurt its network power equipment  driving the diversified U.S. manufacturer's overall orders down 5 percent in the three months ended in August.,topStory
ENB,Enbridge Inc,20120925,Enbridge  Gateway pipeline foe spar over impact ,* Opponent says her analysis is based on Enbridge's reports,topStory
FDS,FactSet Research Systems Inc,20120925,FactSet revenue growth slows as clients slash costs ,Financial information provider FactSet Research Systems Inc  reported its slowest revenue growth in eight quarters and provided a forecast for the current quarter that fell short of expectations as the banking industry continues to cut costs.,topStory
FDS,FactSet Research Systems Inc,20120925,UPDATE 2-FactSet revenue growth slows as clients slash costs ,Sept 25 Financial information provider FactSet Research Systems Inc reported its slowest revenue growth in eight quarters and provided a forecast for the current quarter that fell short of expectations as the banking industry continues to cut costs.,normal
FDS,FactSet Research Systems Inc,20120925,FactSet profit rises on new customers ,Sept 25 Financial information provider FactSet Research Systems Inc reported a higher f ourth-quarter profit  helped by an addition of 57 new clients.,normal
F,Ford Motor Company,20120925,UPDATE 2-CAW  Chrysler "incredibly far apart" in talks -union ,* CAW says Chrysler wants to change lump-sum payment plan,topStory
F,Ford Motor Company,20120925,Ford offers European workers severance pay ,BERLIN Ford Motor Co  which expects to lose more than $1 billion in Europe this year  is offering severance packages to "a few hundred" white-collar European workers as the automaker struggles to rein in costs amid plunging vehicle sales.,normal
F,Ford Motor Company,20120925,UPDATE 1-Ford offers European workers severance pay ,BERLIN  Sept 25 Ford Motor Co  which expects to lose more than $1 billion in Europe this year  is offering severance packages to "a few hundred" white-collar European workers as the automaker struggles to rein in costs amid plunging vehicle sales.,normal
F,Ford Motor Company,20120925,Ford offers severance pay to European workers ,BERLIN  Sept 25 Ford Motor Co is offering severance packages to "a few hundred" European workers as the carmaker struggles to rein in costs amid plunging vehicle sales  a spokeswoman said.,normal
F,Ford Motor Company,20120925,RPT-CAW  Chrysler still far apart in contract talks  union says ,TORONTO  Sept 25 The Canadian Auto Workers union remains far apart from Chrysler Group LLC in talks over a new contract  with Chrysler wanting to eliminate a cost of living increase and adjust lump sum payments negotiated with General Motors and Ford last week  the head of the union said on Tuesday.,normal
F,Ford Motor Company,20120925,CAW  Chrysler still far apart in contract talks  union says ,TORONTO  Sept 25 The Canadian Auto Workers union remains far apart from Chrysler Group LLC in talks over a new contract  with Chrysler wanting to eliminate a cost of living increase and adjust lump sum payments negotiated with General Motors and Ford last week  the head of the union said on Tuesday.,normal
F,Ford Motor Company,20120925,TEXT-Fitch: Fiat  Peugeot credit profiles still stronger than Ford  GM in 2005-2008 ,Link to Fitch Ratings' Report: Fiat and PSA Compared With Ford and GMSept 25 - Fitch Ratings has identified several similarities between Peugeot S.A. (PSA  'BB-'/Negative) and Fiat S.p.A ('BB'/Negative) since 2008  and the US manufacturers  downgraded gradually from 'BB+' to the 'B' category in 2005-2006 and then to 'CCC' in 2008. GM was further downgraded to 'D' in June 2009. However  the agency also sees some key differences  notably in the magnitude of the deterioration  which currently suppo,normal
GM,General Motors Company,20120925,Ally non-U.S. operations draw interest from GM  banks: source ,Ally Financial Inc's international operations have drawn interest from more than 15 bidders  including banks and General Motors Co   according to a source familiar with the matter.,topStory
GM,General Motors Company,20120925,Ally non-U.S. operations draw interest from GM  banks-source ,Sept 25 Ally Financial Inc's international operations have drawn interest from more than 15 bidders  including banks and General Motors Co  according to a source familiar with the matter.,normal
GM,General Motors Company,20120925,UPDATE 2-CAW  Chrysler "incredibly far apart" in talks -union ,* CAW says Chrysler wants to change lump-sum payment plan,normal
GM,General Motors Company,20120925,RPT-CAW  Chrysler still far apart in contract talks  union says ,TORONTO  Sept 25 The Canadian Auto Workers union remains far apart from Chrysler Group LLC in talks over a new contract  with Chrysler wanting to eliminate a cost of living increase and adjust lump sum payments negotiated with General Motors and Ford last week  the head of the union said on Tuesday.,normal
GM,General Motors Company,20120925,CAW  Chrysler still far apart in contract talks  union says ,TORONTO  Sept 25 The Canadian Auto Workers union remains far apart from Chrysler Group LLC in talks over a new contract  with Chrysler wanting to eliminate a cost of living increase and adjust lump sum payments negotiated with General Motors and Ford last week  the head of the union said on Tuesday.,normal
GM,General Motors Company,20120925,GM  Peugeot to make small cars in Brazil: union ,SOCHAUX  France PSA Peugeot Citroen  and General Motors  are working on plans to build small cars together in Brazil  a French union official said.,normal
GM,General Motors Company,20120925,TEXT-Fitch: Fiat  Peugeot credit profiles still stronger than Ford  GM in 2005-2008 ,Link to Fitch Ratings' Report: Fiat and PSA Compared With Ford and GMSept 25 - Fitch Ratings has identified several similarities between Peugeot S.A. (PSA  'BB-'/Negative) and Fiat S.p.A ('BB'/Negative) since 2008  and the US manufacturers  downgraded gradually from 'BB+' to the 'B' category in 2005-2006 and then to 'CCC' in 2008. GM was further downgraded to 'D' in June 2009. However  the agency also sees some key differences  notably in the magnitude of the deterioration  which currently suppo,normal
GM,General Motors Company,20120925,GM  Peugeot to make small cars in Brazil - union ,SOCHAUX  France  Sept 25 PSA Peugeot Citroen  and General Motors are working on plans to build small cars together in Brazil  a French union official said.,normal
GFI,Gold Fields Limited,20120925,RPT-Gold Fields strike spreads to Beatrix ,JOHANNESBURG  Sept 25 World No. 4 bullion producer Gold Fields said workers reneged on a deal to end a two-week strike at its KDC West operation in South Africa and miners at its Beatrix mine had also downed tools.,topStory
GFI,Gold Fields Limited,20120925,Gold Fields strike spreads to Beatrix ,JOHANNESBURG World No. 4 bullion producer Gold Fields  said workers reneged on a deal to end a two-week strike at its KDC West operation in South Africa and miners at its Beatrix mine had also downed tools.,normal
GFI,Gold Fields Limited,20120925,UPDATE 2-Gold Fields strike spreads to Beatrix ,JOHANNESBURG  Sept 25 World No. 4 bullion producer Gold Fields said workers reneged on a deal to end a two-week strike at its KDC West operation in South Africa and miners at its Beatrix mine had also downed tools.,normal
GFI,Gold Fields Limited,20120925,Gold Fields says KDC strike spreads to Beatrix ,JOHANNESBURG  Sept 25 World No. 4 bullion producer Gold Fields said on Tuesday workers remained on an illegal strike at its KDC West operation in South Africa despite an agreement reached Friday and employees at its Beatrix mine had also downed tools.,normal
GS,Goldman Sachs Group Inc (The),20120925,UPDATE 1-Onex set to buy German KraussMaffei Tech-sources ,* Deal close to signing  source says  no financial details,topStory
GTN,Gray Television Inc,20120925,TEXT-S&P raises Gray TV's term loan rating to 'B+' ,Sept 25 - Standard & Poor's Ratings Services today revised its recovery rating on Atlanta  Ga.-based TV broadcaster Gray Television Inc.'s  proposed senior secured term loan B due 2019 to '2'  indicating our expectation of substantial (70% to 90%) recovery in the event of a payment default  from '3' (50% to 70% recovery expectation). In addition  we raised our issue-level rating on the proposed term loan to 'B+'--one notch higher than our 'B' corporate credit rating on the  company--from 'B'  in,topStory
HPQ,HP Inc,20120925,Cisco CEO suggests Whitman will have hard time turning around HP ,Meg Whitman faces a daunting task in trying to turn around Hewlett Packard -at least in the opinion of one of her chief rivals  Cisco Chief Executive John Chambers.,topStory
HPQ,HP Inc,20120925,Cisco CEO suggests Whitman will have hard time turning around HP ,Sept 25 Meg Whitman faces a daunting task in trying to turn around Hewlett Packard -at least in the opinion of one of her chief rivals  Cisco Chief Executive John Chambers.,normal
IBM,International Business Machines Corporation,20120925,CEO Rometty succeeds Palmisano on IBM's board ,SAN FRANCISCO  Sept 25 International Business Machines Corp Chief Executive Virginia Rometty will take over from Sam Palmisano as chairman of the board in October  adding the title after less than a year as CEO.,topStory
ITUB,Itau Unibanco Banco Holding SA,20120925,UPDATE 2-Itaú Unibanco sees credit card rates  default risk down ,SAO PAULO  Sept 25 Itaú Unibanco Holding  Brazil's largest private sector bank  said on Tuesday it expects to lower monthly interest rates on credit cards to below 10 percent by the end of this year as new products reduce default risks and mitigate declining revenue.,topStory
ITUB,Itau Unibanco Banco Holding SA,20120925,Itaú Unibanco sees credit growth slowing in coming months ,SAO PAULO  Sept 25 Itaú Unibanco  Brazil's largest bank by market value expects credit growth to slow in coming months due to climbing consumer debt levels  Chief Executive Roberto Egydio Setubal said on Tuesday.,normal
ITUB,Itau Unibanco Banco Holding SA,20120925,Itau Unibanco says to keep Redecard independent after buyout ,SAO PAULO  Sept 25 Itau Unibanco Holding   Brazil's largest private sector bank  plans to keep card payment processor Redecard independent after taking the company private  Chief Executive Roberto Egydio Setubal said on Tuesday.,normal
ITUB,Itau Unibanco Banco Holding SA,20120925,Analysis: Itau may change Brazil card industry with Redecard buy ,SAO PAULO Itau Unibanco's  takeover of Redecard  will help Brazil's most profitable bank vie for a bigger share of the fast-growing credit card business and could alter the relationship between banks and card users.,normal
JPM,J P Morgan Chase & Co,20120925,New Issue-EIB prices $3.0 bln 2017 bond ,September 25 (Reuters) -Following are terms and conditions,topStory
JBL,Jabil Inc,20120925,UPDATE 2-Jabil Circuit gives weak forecast on demand worries ,* Sees Q1 core earnings of $0.51-$0.62/shr vs est $0.67/shr,topStory
JBL,Jabil Inc,20120925,Jabil Circuit quarterly profit dips on higher costs ,Sept 25 Contract electronics maker Jabil Circuit Inc posted a lower quarterly profit as costs rose.,normal
K,Kellogg Company,20120925,STOCKS NEWS SINGAPORE-Index rises slightly  led by Wilmar International ,Singapore shares were slightly higher  led by Wilmar International Ltd  after the palm oil giant entered into a joint venture with U.S. cereal maker Kellogg Co to expand in China's fast-growing breakfast and snack foods market.,topStory
K,Kellogg Company,20120925,STOCKS NEWS SINGAPORE-Wilmar rises after JV with Kellogg in China ,Shares of Wilmar International Ltd jumped more than 2 percent after the palm oil firm entered into a joint venture with U.S. cereal maker Kellogg Co to expand in China's fast-growing breakfast and snack foods market.,normal
LEN,Lennar Corporation,20120925,Lennar's new home orders climb  analysts cautious ,Lennar Corp  posted quarterly profit growth that recalled the go-go years of the housing boom  but analysts saw possible problems ahead for the homebuilder as its shares fell.,topStory
LEN,Lennar Corporation,20120925,REFILE-UPDATE 5-Lennar's new home orders climb  analysts cautious ,Sept 24 Lennar Corp posted quarterly profit growth that recalled the go-go years of the housing boom  but analysts saw possible problems ahead for the homebuilder as its shares fell.,normal
LNC,Lincoln National Corporation,20120925,Special Report: As Peregrine teetered  founder went on shopping binge ,By P.J. Huffstutter and Ann Saphir and Tom Polansek and David Sheppard,topStory
MCD,McDonald&#39;s Corporation,20120925,NY state senator loses election after backing gay marriage ,NEW YORK A Republican state senator whose vote was crucial to legalizing gay marriage in New York has lost his primary election while a Senate colleague who also broke with the party's stance against same-sex unions narrowly escaped defeat.,topStory
MTL,Mechel PAO,20120925,Russia's Mechel says may sell mining division stake ,MOSCOW  Sept 25 Russia's New-York-listed steel and coal miner Mechel  may sell a minority stake in its mining division  Mechel Mining OAO  to a strategic partner  the company said on Tuesday.,topStory
MRK,Merck & Company Inc,20120925,Merck agrees to settle Coppertone class action lawsuit ,Merck & Co has agreed to pay between $3 million and $10 million to settle a nearly decade old class-action lawsuit that alleged the company made false claims about the benefits of its Coppertone sunscreen products.,topStory
MRK,Merck & Company Inc,20120925,Merck agrees to settle Coppertone class action suit ,Sept 25 Merck & Co has agreed to pay between $3 million and $10 million to settle a nearly decade old class-action lawsuit that alleged the company made false claims about the benefits of its  Coppertone sunscreen products.,normal
MBT,Mobile TeleSystems OJSC,20120925,BRIEF-Moody's:MTS's loss of its business in Uzbekistan is rating neutral ,* Moody's has today said that the Ba2 corporate family rating (CFR) and stable outlook of Mobile TeleSystems OJSC (MTS) are unaffected by the recent confiscation of assets of its wholly-owned Uzbek subsidiary Uzdunrobita LLC. At the same time  Moody's views the loss of cash-generating Uzbek business as moderately credit negative for MTS.,topStory
MCO,Moody&#39;s Corporation,20120925,BRIEF-Moody's assigns MIG 1 rating to Middletown Township's (NJ) $11.44 million Bond Anticipation Notes  Series 2012 ,Sept 26 Moody's assigns MIG 1 rating to Middletown Township's (NJ) $11.44 million Bond Anticipation Notes  Series 2012,topStory
MCO,Moody&#39;s Corporation,20120925,BRIEF-Moody's assigns A1 rating to the City of Port Washington's (WI) $2.7 million Sewer System Revenue Refunding Bonds  Series 2012 ,Sept 26 Moody's assigns A1 rating to the City of Port Washington's (WI) $2.7 million Sewer System Revenue Refunding Bonds  Series 2012,normal
MCO,Moody&#39;s Corporation,20120925,BRIEF-Moody's assigns A1 rating to the City of Proctor's (MN) $2.3 million GO Bonds  Series 2012A ,Sept 26 Moody's assigns A1 rating to the City of Proctor's (MN) $2.3 million GO Bonds  Series 2012A,normal
MCO,Moody&#39;s Corporation,20120925,BRIEF-Moody's affirms Terrebonne general medical center's (la) a2 rating; outlook remains stable ,Sept 25 Terrebonne General Medical Center:  * Moody's affirms Terrebonne general medical center's (la) a2 rating; outlook,normal
MCO,Moody&#39;s Corporation,20120925,BRIEF-Moody's assigns ba3 to savers' acquisition term loan; cfr affirmed ,Sept 25 Savers Inc :  * Moody's assigns ba3 to savers' acquisition term loan; cfr affirmed  * Rpt-moody's assigns ba3 to savers' acquisition term loan; cfr affirmed,normal
MCO,Moody&#39;s Corporation,20120925,BRIEF-Moody's: Univar's ratings unaffected by term loan increase ,Sept 25 Univar Inc:  * Moody's says univar's ratings unaffected by $550mm increase in term loan,normal
MCO,Moody&#39;s Corporation,20120925,BRIEF-Moody's says arbitration panel won't impact Seneca rtg ,Sept 25 Moody's says the appointment of arbitration panel to examine dispute has no rating impact on Seneca Gaming,normal
MCO,Moody&#39;s Corporation,20120925,BRIEF-Moody's: healthy fundamentals  lower leverage for multifamily reits ,Sept 25 U.S. multifamily REITs:  * Moody's: healthy fundamentals  lower leverage for multifamily reits,normal
MCO,Moody&#39;s Corporation,20120925,BRIEF-Moody's: Staples' European restructurings a short-term credit negative ,Sept 25 Staples Inc :  * Moody's says staples' European restructurings a short-term credit negative  * Rpt-moody's says staples' european restructurings a short-term credit,normal
MCO,Moody&#39;s Corporation,20120925,BRIEF-Moody's: Royalty Pharma loan repricing is credit positive ,Sept 25 Royalty Pharma:  * Moody's: royalty pharma's term loan repricing is credit positive,normal
MS,Morgan Stanley,20120925,New Issue-EIB prices $3.0 bln 2017 bond ,September 25 (Reuters) -Following are terms and conditions,topStory
MS,Morgan Stanley,20120925,UPDATE 1-M.Stanley no longer bookrunner on Iraqi Asiacell IPO ,DUBAI  Sept 25 Morgan Stanley has ceased to be a bookrunner on Iraqi telecommunications firm Asiacell's initial public offer of shares  a source familiar with the matter said on Tuesday  signalling the IPO will increasingly rely on local investors.,normal
MS,Morgan Stanley,20120925,Morgan Stanley quits as bookrunner on Iraqi Asiacell IPO: source ,DUBAI Morgan Stanley  has quit as a bookrunner on Iraqi telco Asiacell's initial public offering  a source familiar with the matter said on Tuesday  signaling the flotation on the Iraqi bourse will increasingly rely on local investors.,normal
MS,Morgan Stanley,20120925,M.Stanley quits as bookrunner on Iraqi Asiacell IPO-source ,DUBAI  Sept 25 Morgan Stanley has quit as a bookrunner on Iraqi telco Asiacell's initial public offering  a source familiar with the matter said on Tuesday  signalling the flotation on the Iraqi bourse will increasingly rely on local investors.,normal
MS,Morgan Stanley,20120925,Morgan Stanley fund unit aims to double Japan assets to $50 bln-exec ,TOKYO  Sept 25 Morgan Stanley Investment Management (MSIM) is eyeing a doubling of its assets in Japan to $50 billion over the next five years  banking on pension funds there increasingly seeking emerging markets exposure and on retail investors flocking to high-yielding products.,normal
