ACIW,ACI Worldwide Inc,20110831,UPDATE 1-S1 tells shareholders to sit tight on ACI offer , Aug 31 Payment processing technology provider S1 Corp has advised shareholders to take no action  a day after larger rival ACI Worldwide went hostile with a more than $500 million bid.,topStory
RYAAY,Ryanair Holdings plc,20110831,UPDATE 3-Aer Lingus sees FY profit as bookings rise , * H1 operating loss of 27.8 mln eur  vs 19 mln year-ago loss,topStory
SINA,Sina Corporation,20110831,Deals of the day -- mergers and acquisitions , Aug 31 The following bids  mergers  acquisitions and disposals involving European  U.S. and Asian companies were reported by 1400 GMT on Wednesday:,topStory
SIRI,Sirius XM Holdings Inc,20110831,Factbox: When M&A deals slam into regulatory roadblocks ,NEW YORK (Reuters) -The Obama administration on Wednesday sued to block AT&T Inc's $39 billion acquisition of T-Mobile  launching its biggest challenge yet to a takeover and dealing the carrier a potentially costly blow.,topStory
SIRI,Sirius XM Holdings Inc,20110831,FACTBOX-When M&A deals slam into regulatory roadblocks , NEW YORK  Aug 31 (Reuters) -The Obama administration on Wednesday sued to block AT&T Inc's  $39 billion acquisition of T-Mobile  launching its biggest challenge yet to a takeover and dealing the carrier a potentially costly blow. [ID:nN1E77U1VX],normal
VOD,Vodafone Group Plc,20110831,Instant view: U.S. government to block AT&T bid for T-Mobile ,NEW YORK The Obama administration on Wednesday filed to block AT&T Inc's $39 billion acquisition of T-Mobile USA from Deutsche Telekom due to anti-competitive concerns.,topStory
VOD,Vodafone Group Plc,20110831,AT&T vows to bring back 5 000 U.S. jobs if merger approved ,LOS ANGELES Telecommunications giant AT&T Inc  whose proposed buy of T-Mobile USA is under scrutiny by U.S. regulators  promised to bring 5 000 wireless call-center jobs back to the United States if the deal wins approval.,normal
VOD,Vodafone Group Plc,20110831,AT&T vows to bring back 5 000 US jobs if merger OK'd , LOS ANGELES  Aug 31 Telecommunications giant AT&T Inc   whose proposed buy of T-Mobile USA is under scrutiny by U.S. regulators  promised to bring 5 000 wireless call-center jobs back to the United States if the deal wins approval.,normal
WYNN,Wynn Resorts Limited,20110831,UPDATE 3-Galaxy's underlying profit beats f'cast on Macau might , * One-off expenses for new casino opening dent net profit,topStory
WYNN,Wynn Resorts Limited,20110831,CORRECTED-UPDATE 2-Galaxy's underlying profit beats expectations  shares up , * One-off expenses for new casino opening dent net profit,normal
XOMA,XOMA Corporation,20110831,UPDATE 1-XOMA says CEO Steve Engle resigns , Aug 31 Xoma Ltd said its Chief Executive  Steve Engle  chose to resign  effective Aug. 31.,topStory
YNDX,Yandex NV,20110831,UPDATE 3-Russia's Mail.ru raises 2011 growth forecasts , * Internet investment group sees 50 pct sales growth in 2011,topStory
YNDX,Yandex NV,20110831,Russia's Mail.ru raises 2011 growth forecasts ,MOSCOW Russian internet investment group Mail.ru raised its full-year revenue growth forecast to 50 percent from 40 percent on Wednesday after sales and profit rose at its social network  online gaming and e-mail activities in the first half.,normal
ZUMZ,Zumiez Inc,20110831,Zumiez forecasts Q3 below Street  shares slip ,Zumiez Inc  forecast a third-quarter profit below Wall Street estimates  and posted market-lagging August same-store sales  sending its shares down 4 percent in extended trading.,topStory
ZUMZ,Zumiez Inc,20110831,CORRECTED-BRIEF-Zumiez Q2 results , Aug 31 Zumiez Inc : * AUTO ALERT - Zumiez Inc August same store sales rose 4.3 pct * Zumiez Inc announces fiscal 2011 second quarter results and august 2011 	   sales * auto alert - Zumiez Inc Q2 shr $0.08 	  * auto alert - Zumiez Inc Q2 sales $112.5 mln vs i/b/e/s view 	   $112.3 mln * auto alert - Zumiez Inc sees Q3 2011 shr about $0.37 to $0.39 * auto alert - Zumiez Inc Q2 shr view $0.05 -- Thomson Reuters 	   I/B/E/S * August same-store sales view up 4.4 percent -- Thomson Reute,normal
ANF,Abercrombie & Fitch Company,20110831,Americans not scrimping on clothes this fall - study , BANGALORE  Aug 31 Shoppers may not be feeling too good about the economy  but that is not stopping them from adding clothes and shoes to their wardrobes  a recent study shows.,topStory
AFL,Aflac Incorporated,20110831,UPDATE 1-Aflac to exchange $850 mln of senior notes , Aug 31 Japan's No.1 foreign insurer Aflac Inc  commenced a private offer to exchange its outstanding $850 million of 8.5 percent senior notes due 2019 for new senior notes due 2022.,topStory
AEM,Agnico Eagle Mines Limited,20110831,Insight: Arctic has great riches  but greater challenges ,IQALUIT  Nunavut/BAKER LAKE  Nunavut At the rim of the Arctic Circle in Canada  gold mining firm Agnico-Eagle is learning how tough it is to operate in a remote region with temptingly large  but frustratingly inaccessible  reserves of oil  gas and minerals.,topStory
AEM,Agnico Eagle Mines Limited,20110831,Arctic has great riches  but greater challenges ,IQALUIT  Nunavut/BAKER LAKE  Nunavut At the rim of the Arctic Circle in Canada  gold mining firm Agnico-Eagle  is learning how tough it is to operate in a remote region with temptingly large  but frustratingly inaccessible  reserves of oil  gas and minerals.,normal
AGN,Allergan plc,20110831,FDA eyes registry for breast implants problems ,GAITHERSBURG  Maryland U.S. health regulators said they would consider setting up a registry that tracks safety problems with breast implants  after too many patients dropped out of company-funded studies.,topStory
AGN,Allergan plc,20110831,US FDA eyes registry for breast implants problems , * Advisory panel urges registry to counter study dropouts,normal
AGN,Allergan plc,20110831,RPT-Consumer groups: Stop sale of J&J silicone breast implants , GAITHERSBURG  Md.  Aug 30 Consumer advocates asked U.S. health regulators to take silicone breast implants made by Johnson & Johnson  off the market because the company has not been able to provide enough long-term safety data.,normal
AGN,Allergan plc,20110831,Consumer groups: Stop sale of J&J breast implants ,GAITHERSBURG  Maryland Consumer advocates asked health regulators to take silicone breast implants made by Johnson & Johnson off the market because the company has not been able to provide enough long-term safety data.,normal
ALL,Allstate Corporation (The),20110831,Insurers escape Irene's wrath  economy does not ,NEW YORK Hurricane Irene may heap billions of dollars of extra costs on the already fragile U.S. economy  but insurance companies are likely to emerge relatively unscathed.,topStory
ALL,Allstate Corporation (The),20110831,INSIGHT-Insurers escape Irene's wrath  economy does not , NEW YORK  Aug 31 Hurricane Irene may heap billions of dollars of extra costs on the already fragile U.S. economy  but insurance companies are likely to emerge relatively unscathed.,normal
ALL,Allstate Corporation (The),20110831,Insurance lawsuits to follow Irene ,NEW YORK As the water recedes from Hurricane Irene  lawyers are expecting disputes over insurance coverage to pour in.,normal
ALL,Allstate Corporation (The),20110831,Insurance lawsuits to follow Irene , NEW YORK  Aug 31 As the water recedes from Hurricane Irene  lawyers are expecting disputes over insurance coverage to pour in.,normal
ALL,Allstate Corporation (The),20110831,Special report: Irene wallops flood insurance program ,NEW YORK The only thing worse than getting flooded out of your home once is getting flooded out of it twice. Or  for that matter  over and over again.,normal
AMOV,America Movil SAB de CV,20110831,New Issue-America Movil sells $2.75 bln in two parts ,  Aug 31 America Movil   on Wednesday sold $2.75 billion of senior notes in two parts  said IFR  a Thomson Reuters service.,topStory
AMOV,America Movil SAB de CV,20110831,Regulators open door to tighter grip on Telmex , MEXICO CITY  Aug 31 Mexico's antitrust watchdog has declared tycoon Carlos Slim's fixed-line telephone operator  Telmex   dominant in one of the markets in which it operates  leaving the door open for new rules to curb the company's power.,normal
AMX,America Movil SAB de CV,20110831,New Issue-America Movil sells $2.75 bln in two parts ,  Aug 31 America Movil   on Wednesday sold $2.75 billion of senior notes in two parts  said IFR  a Thomson Reuters service.,topStory
AMX,America Movil SAB de CV,20110831,ADR Report-Rally helps European bank shares cut some losses , NEW YORK  Aug 31 Shares of European banks traded in the United States rose on Wednesday as hopes of new stimulus measures from the U.S. Federal Reverse helped world equities rally into the end of August.,normal
AMX,America Movil SAB de CV,20110831,Regulators open door to tighter grip on Telmex , MEXICO CITY  Aug 31 Mexico's antitrust watchdog has declared tycoon Carlos Slim's fixed-line telephone operator  Telmex   dominant in one of the markets in which it operates  leaving the door open for new rules to curb the company's power.,normal
AEO,American Eagle Outfitters Inc,20110831,Americans not scrimping on clothes this fall: study ,BANGALORE Shoppers may not be feeling too good about the economy  but that is not stopping them from adding clothes and shoes to their wardrobes  a recent study shows.,topStory
AEO,American Eagle Outfitters Inc,20110831,Americans not scrimping on clothes this fall - study , BANGALORE  Aug 31 Shoppers may not be feeling too good about the economy  but that is not stopping them from adding clothes and shoes to their wardrobes  a recent study shows.,normal
AIG,American International Group Inc,20110831,SEC examining mutual funds' use of derivatives ,WASHINGTON U.S. securities regulators voted to seek public comment on whether to write new rules to better address the risks posed by mutual funds  exchange-traded funds and other investment companies that use derivatives.,topStory
AIG,American International Group Inc,20110831,UPDATE 2-US SEC examining mutual funds' use of derivatives , * SEC concerned about leverage  disclosure on swaps use,normal
AIG,American International Group Inc,20110831,US SEC examining mutual funds' use of derivatives , * SEC concerned about leverage  disclosure on swaps use,normal
AIG,American International Group Inc,20110831,Exclusive: Bank of America kept AIG legal threat under wraps ,NEW YORK Top Bank of America Corp lawyers knew as early as January that American International Group Inc was prepared to sue the bank for more than $10 billion  seven months before the lawsuit was filed  according to sources familiar with the matter.,normal
AIG,American International Group Inc,20110831,Nevada  U.S. regulator challenge BofA on mortgages ,NEW YORK Bank of America Corp's mortgage practices came under fresh fire as state and federal regulators questioned whether the largest U.S. bank is doing what it must to address perceived harm to homeowners and investors.,normal
AIG,American International Group Inc,20110831,BofA sued over $1.75 billion Countrywide mortgage pool ,NEW YORK/CHARLOTTE  North Carolina Bank of America Corp  was sued by the trustee of a $1.75 billion mortgage pool  which seeks to force the bank to buy back the underlying loans because of alleged misrepresentations in how they were made.,normal
AIG,American International Group Inc,20110831,UPDATE 5-Nevada  US regulator challenge BofA on mortgages , * Nevada says seeks to exit 2008 accord that bank violated,normal
AIG,American International Group Inc,20110831,UPDATE 3-BofA sued over $1.75 bln Countrywide mortgage pool , * Misrepresentations said to be made in Countrywide loans,normal
AEUA,Anadarko Petroleum Corporation,20110831,Anadarko pulls Gulf of Mexico workers on storm threat , HOUSTON  Aug 31 Anadarko Petroleum Corp  has evacuated non-essential workers from its Gunnison  Nansen and Boomvang platforms in the Gulf of Mexico because of the threat of a tropical storm later this week  the company said on Wednesday.,topStory
APC,Anadarko Petroleum Corporation,20110831,Anadarko pulls Gulf of Mexico workers on storm threat , HOUSTON  Aug 31 Anadarko Petroleum Corp  has evacuated non-essential workers from its Gunnison  Nansen and Boomvang platforms in the Gulf of Mexico because of the threat of a tropical storm later this week  the company said on Wednesday.,topStory
APA,Apache Corporation,20110831,Oil firms start U.S. Gulf evacuations due to weather ,HOUSTON BP Plc on Wednesday became the first major oil producer to say it was evacuating some workers from Gulf of Mexico oil and gas platforms because of a tropical disturbance that could become a named storm this week.,topStory
APA,Apache Corporation,20110831,UPDATE 2-Oil firms start US Gulf evacuations due to weather , * Other oil producers monitoring weather system  (Updates with Anadarko evacuating workers  adds details  background  bylines),normal
ADM,Archer-Daniels-Midland Company,20110831,ADM to acquire nine Wisconsin grain elevators , * Storage capacity of 10 elevators about 20 mln bushels,topStory
AGO,Assured Guaranty Ltd,20110831,BofA sued over $1.75 billion Countrywide mortgage pool ,NEW YORK/CHARLOTTE  North Carolina Bank of America Corp  was sued by the trustee of a $1.75 billion mortgage pool  which seeks to force the bank to buy back the underlying loans because of alleged misrepresentations in how they were made.,topStory
AGO,Assured Guaranty Ltd,20110831,UPDATE 3-BofA sued over $1.75 bln Countrywide mortgage pool , * Misrepresentations said to be made in Countrywide loans,normal
AZN,Astrazeneca PLC,20110831,Data on Astra's Crestor drug vs Lipitor seen soon , * Trial completed  AZ aims for full presentation in Nov,topStory
T,AT&T Inc,20110831,AT&T's Stephenson is backed into corner on T-Mobile , NEW YORK  Aug 31 AT&T Inc  Chief Executive Randall Stephenson has bet the house with his $39 billion deal to buy T-Mobile USA -- and now he has no choice but to double down on his wager.,topStory
T,AT&T Inc,20110831,AT&T T-Mobile left in dark about antitrust lawsuit ,WASHINGTON AT&T CEO Randall Stephenson appeared on cable television early on Wednesday to tout his $39 billion deal to buy T-Mobile USA and how it could bring back 5 000 jobs to the United States from overseas once done.,normal
T,AT&T Inc,20110831,AT&T T-Mobile left in dark about antitrust lawsuit , WASHINGTON  Aug 31 AT&T CEO Randall Stephenson appeared on cable television early on Wednesday to tout his $39 billion deal to buy T-Mobile USA and how it could bring back 5 000 jobs to the United States from overseas once done.,normal
T,AT&T Inc,20110831,U.S. moves to block AT&T  T-Mobile deal ,WASHINGTON/NEW YORK The Obama administration sued to block AT&T Inc's $39 billion acquisition of wireless rival T-Mobile on concerns it would harm competition  launching its biggest challenge yet to a takeover and dealing the carrier a potentially costly blow. | Video ,normal
T,AT&T Inc,20110831,Court battle looms between U.S. and AT&T  T-Mobile ,NEW YORK/WASHINGTON The Justice Department made a bold move when it sued to block AT&T Inc's $39 billion acquisition of T-Mobile. Now comes the hard part: going to court.,normal
T,AT&T Inc,20110831,AT&T economic model failed to sway antitrust chiefs ,WASHINGTON AT&T Inc employed a small army of economists to promote its plan to buy smaller rival T-Mobile but the Justice Department viewed the deal as snuffing out a plucky competitor to the detriment of consumers.,normal
T,AT&T Inc,20110831,AT&T economic model failed to sway antitrust chiefs , * AT&T engaged economists with Washington connections,normal
T,AT&T Inc,20110831,Factbox: When M&A deals slam into regulatory roadblocks ,NEW YORK (Reuters) -The Obama administration on Wednesday sued to block AT&T Inc's $39 billion acquisition of T-Mobile  launching its biggest challenge yet to a takeover and dealing the carrier a potentially costly blow.,normal
T,AT&T Inc,20110831,FACTBOX-When M&A deals slam into regulatory roadblocks , NEW YORK  Aug 31 (Reuters) -The Obama administration on Wednesday sued to block AT&T Inc's  $39 billion acquisition of T-Mobile  launching its biggest challenge yet to a takeover and dealing the carrier a potentially costly blow. [ID:nN1E77U1VX],normal
T,AT&T Inc,20110831,Court battle looms between U.S. and AT&T  T-Mobile ,NEW YORK/WASHINGTON The U.S. Justice Department made a bold move when it sued to block AT&T Inc's $39 billion acquisition of T-Mobile. Now comes the hard part: going to court.,normal
BBVA,Banco Bilbao Viscaya Argentaria SA,20110831,TEXT-S&P: Ups Banco Bilbao Vizcaya Argentaria Paraguay To 'BB-/B' , -- Paraguay's improving credit quality may have positive spillover effects on its banking system  but it is still early to assess the full magnitude of that impact.,topStory
BCH,Banco De Chile,20110831,Chile bank system profits down 16.8 pct July vs June , SANTIAGO  Aug 31 Chile's banking sector profit fell 16.79 percent in July compared to June amid a gradual economic slowdown but rose 4.12 percent during the January-July period  the banking regulator said on Wednesday.,topStory
BSAC,Banco Santander Chile,20110831,Chile bank system profits down 16.8 pct July vs June , SANTIAGO  Aug 31 Chile's banking sector profit fell 16.79 percent in July compared to June amid a gradual economic slowdown but rose 4.12 percent during the January-July period  the banking regulator said on Wednesday.,topStory
SAN,Banco Santander SA,20110831,UPDATE 3-UK's Cable attacks banks for trying to slow reform , * Barclays expects "pragmatic" proposals from ICB report,topStory
SAN,Banco Santander SA,20110831,Chile bank system profits down 16.8 pct July vs June , SANTIAGO  Aug 31 Chile's banking sector profit fell 16.79 percent in July compared to June amid a gradual economic slowdown but rose 4.12 percent during the January-July period  the banking regulator said on Wednesday.,normal
SAN,Banco Santander SA,20110831,UPDATE 2-UK's Cable attacks banks for trying to slow reform , * Barclays expects "pragmatic" proposals from ICB report   (Adds comments from Barclays and sector analyst),normal
SAN,Banco Santander SA,20110831,Banks must not jeopardise UK economy - Cameron , LONDON  Aug 31 Banks must not take risks that could jeopardise the British economy and need to do more to support business  Prime Minister David Cameron said on Wednesday.,normal
BAC,Bank of America Corporation,20110831,BofA to exit correspondent mortgage business ,CHARLOTTE  North Carolina Bank of America Corp  is looking to sell its correspondent mortgage business  continuing a push to shed parts of its home loans division  a company spokesman said on Wednesday.,topStory
BAC,Bank of America Corporation,20110831,UPDATE 1-BofA to exit correspondent mortgage business , * If deal not found  BofA will wind down unit  (Adds BofA spokesman comment  details on home loans business  dateline),normal
BAC,Bank of America Corporation,20110831,Deals of the day -- mergers and acquisitions , Aug 31 The following bids  mergers  acquisitions and disposals involving European  U.S. and Asian companies were reported by 1400 GMT on Wednesday:,normal
BAC,Bank of America Corporation,20110831,US STOCKS-Stocks set for higher open on Fed stimulus hopes , * European equities gain on hopes for more Fed stimulus,normal
BAC,Bank of America Corporation,20110831,Finland picks banks to lead new benchmark bond ,HELSINKI Finland state treasury said on Wednesday it has picked five banks to lead a new five-year euro benchmark bond  which is expected to raise around 3-5 billion euros ($4.3-$7.2 billion).,normal
BAC,Bank of America Corporation,20110831,Finland picks banks to lead new benchmark bond , HELSINKI  Aug 31  Finland state treasury said on Wednesday it has picked five banks to lead a new five-year euro benchmark bond  which is expected to raise around 3-5 billion euros ($4 3-$7 2 billion).,normal
BAC,Bank of America Corporation,20110831,CCB says two-thirds of BofA stake sale went to institutional investors , HONG KONG  Aug 31 About a third of the stake  or 4.93 billion shares  in China Construction Bank Corp  that Bank of America Corp sold on Monday went to overseas funds  the Chinese lender said on Wednesday.,normal
BAC,Bank of America Corporation,20110831,Deals of the day -- mergers and acquisitions , Aug 31 The following bids  mergers  acquisitions and disposals involving European  U.S. and Asian companies were reported by 0915 GMT on Wednesday:,normal
BAC,Bank of America Corporation,20110831,BofA names Cai  Wang co-heads of China IB -memo , HONG KONG  Aug 31 Bank of America has named Catherine Cai and Bing Wang as co-heads of China investment banking  according to a memo seen by Reuters on Wednesday.,normal
BAC,Bank of America Corporation,20110831,PRESS DIGEST - Wall Street Journal - Aug 31 , Aug 31 The following were the top stories in The Wall Street Journal on Wednesday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
BMO,Bank Of Montreal,20110831,FACTBOX-Wealth management earnings at Canadian banks , Aug 31 Canadian banks have made wealth management a major focus in recent years as they compete for the savings and investments of retiring baby boomers in North America and try to tap growing wealth abroad.,topStory
BK,Bank Of New York Mellon Corporation (The),20110831,BNY Mellon CEO Robert Kelly steps down ,BANGALORE Bank of New York Mellon Corp  said Robert Kelly  who has held the company's top job since 2008  has stepped down as chairman and chief executive officer  following differences in approach to managing the company.,topStory
BK,Bank Of New York Mellon Corporation (The),20110831,UPDATE 2-BNY Mellon CEO Robert Kelly steps down , BANGALORE  Aug 31 Bank of New York Mellon Corp  said Robert Kelly  who has held the company's top job since 2008  has stepped down as chairman and chief executive officer  following differences in approach to managing the company.,normal
BK,Bank Of New York Mellon Corporation (The),20110831,Nevada  U.S. regulator challenge BofA on mortgages ,NEW YORK Bank of America Corp's mortgage practices came under fresh fire as state and federal regulators questioned whether the largest U.S. bank is doing what it must to address perceived harm to homeowners and investors.,normal
BK,Bank Of New York Mellon Corporation (The),20110831,UPDATE 5-Nevada  US regulator challenge BofA on mortgages , * Nevada says seeks to exit 2008 accord that bank violated,normal
BNS,Bank of Nova Scotia (The),20110831,CANADA STOCKS-TSX trims August losses with bank-driven rally , TORONTO  Aug 31 Toronto's main stock index rose for a fourth straight day on Wednesday  trimming August's sharp losses  as strong results from one of Canada's big banks helped lift the heavyweight financial sector.,topStory
BNS,Bank of Nova Scotia (The),20110831,REFILE-CANADA STOCKS-TSX hits near one-month high as banks rally , (Refiles to remove the word CORRECTED from the headine. The report is not corrected),normal
BNS,Bank of Nova Scotia (The),20110831,FACTBOX-Wealth management earnings at Canadian banks , Aug 31 Canadian banks have made wealth management a major focus in recent years as they compete for the savings and investments of retiring baby boomers in North America and try to tap growing wealth abroad.,normal
BNS,Bank of Nova Scotia (The),20110831,CORRECTED - CANADA STOCKS-TSX near one-month high; CIBC lifts banks , (Corrects to show market rallied for fourth straight day  not fifth),normal
BNS,Bank of Nova Scotia (The),20110831,CORRECTED - CANADA STOCKS-TSX near one-month high; CIBC results lift banks , (Corrects to show market rallied for fourth straight day  not fifth),normal
BNS,Bank of Nova Scotia (The),20110831,CORRECTED - CANADA STOCKS-TSX may open higher  helped by copper , (Corrects to show market rallied for fourth straight day  not fifth),normal
BNS,Bank of Nova Scotia (The),20110831,PRESS DIGEST - CANADA - Aug 31 , Aug 31 The following are top stories from selected Canadian newspapers. Reuters has not verified these stories and does not vouch for their accuracy.,normal
BCS,Barclays PLC,20110831,UK banking reform to stall until 2015 -- FT , LONDON  Sept 1 Britain's biggest banks are set to escape any major immediate restructuring following the Independent Commission on Banking's (ICB) final report on Sept. 12  the Financial Times reported on Thursday.,topStory
BCS,Barclays PLC,20110831,Exclusive: BarCap buys stake in metals warehouse firm ,LONDON Commodities heavyweight Barclays Capital has bought a stake in a small metals warehouse  a source said  as the bank scrambles to catch up with rivals by securing a foothold in the profitable storage business.,normal
BCS,Barclays PLC,20110831,MOVES-RBS  Jefferies  Standard Chartered  JP Morgan , Aug 31 The following financial service industry appointments were announced on Wednesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
BCS,Barclays PLC,20110831,BarCap buys stake in metals warehouse firm -source , * Warehouse firm seeking LME registration  approval seen mid-Sept. -source,normal
BCS,Barclays PLC,20110831,UPDATE 3-UK's Cable attacks banks for trying to slow reform , * Barclays expects "pragmatic" proposals from ICB report,normal
BCS,Barclays PLC,20110831,UPDATE 2-UK's Cable attacks banks for trying to slow reform , * Barclays expects "pragmatic" proposals from ICB report   (Adds comments from Barclays and sector analyst),normal
BCS,Barclays PLC,20110831,EU mergers and takeovers (Aug 31) , BRUSSELS  Aug 31 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal
BCS,Barclays PLC,20110831,Banks must not jeopardise UK economy - Cameron , LONDON  Aug 31 Banks must not take risks that could jeopardise the British economy and need to do more to support business  Prime Minister David Cameron said on Wednesday.,normal
BCS,Barclays PLC,20110831,Barclays expects ICB to set pragmatic bank reforms , LONDON  Aug 31 British bank Barclays  expects next month's report from the UK Independent Commission on Banking (ICB)  which could set out the future shape of the industry for years to come  to result in a pragmatic set of new rules for the sector.,normal
BCS,Barclays PLC,20110831,TEXT-Fitch: No SF rtg action from Barclays direct debit indemnity amendments , (The following statement was released by the rating agency),normal
ABX,Barrick Gold Corporation,20110831,CORRECTED - CANADA STOCKS-TSX rallies to 2-wk high on commodities , (Corrects Tuesday report to show market rallied for third straight day  not fourth),topStory
BHP,BHP Billiton Limited,20110831,Rio Tinto picks ex-BHP CFO for board , MELBOURNE  Sep 1 Global miner Rio Tinto   has snared the former chief financial officer of arch rival BHP Billiton as the latest appointment to the board  it said on Thursday.,topStory
BHP,BHP Billiton Limited,20110831,AT&T  T-Mobile banks could lose $150 million in fees ,LONDON Advisers to AT&T and Deutsche Telekom's T-Mobile USA stand to lose $150 million in fees if the $39 billion deal collapses in what would be a massive blow to the increasingly fragile deals market.,normal
BHP,BHP Billiton Limited,20110831,AT&T  T-Mobile banks could lose $150 mln in fees , LONDON  Aug 31 Advisers to AT&T  and Deutsche Telekom's  T-Mobile USA stand to lose $150 million in fees if the $39 billion deal collapses in what would be a massive blow to the increasingly fragile deals market.,normal
BHP,BHP Billiton Limited,20110831,BHP approves $367 mln to expand Australian coal port , MELBOURNE  Aug 31 Global miner BHP Billiton   has approved plans to invest $367 million to expand the Newcastle coal port in Australia  the company said on Wednesday.,normal
BBL,BHP Billiton plc,20110831,Rio Tinto picks ex-BHP CFO for board , MELBOURNE  Sep 1 Global miner Rio Tinto   has snared the former chief financial officer of arch rival BHP Billiton as the latest appointment to the board  it said on Thursday.,topStory
BBL,BHP Billiton plc,20110831,AT&T  T-Mobile banks could lose $150 million in fees ,LONDON Advisers to AT&T and Deutsche Telekom's T-Mobile USA stand to lose $150 million in fees if the $39 billion deal collapses in what would be a massive blow to the increasingly fragile deals market.,normal
BBL,BHP Billiton plc,20110831,AT&T  T-Mobile banks could lose $150 mln in fees , LONDON  Aug 31 Advisers to AT&T  and Deutsche Telekom's  T-Mobile USA stand to lose $150 million in fees if the $39 billion deal collapses in what would be a massive blow to the increasingly fragile deals market.,normal
BBL,BHP Billiton plc,20110831,BHP approves $367 mln to expand Australian coal port , MELBOURNE  Aug 31 Global miner BHP Billiton   has approved plans to invest $367 million to expand the Newcastle coal port in Australia  the company said on Wednesday.,normal
BLK,BlackRock Inc,20110831,Nevada  U.S. regulator challenge BofA on mortgages ,NEW YORK Bank of America Corp's mortgage practices came under fresh fire as state and federal regulators questioned whether the largest U.S. bank is doing what it must to address perceived harm to homeowners and investors.,topStory
BLK,BlackRock Inc,20110831,UPDATE 5-Nevada  US regulator challenge BofA on mortgages , * Nevada says seeks to exit 2008 accord that bank violated,normal
BA,Boeing Company (The),20110831,UPDATE 2-Some US firms paid more to CEOs than taxes -study , * Call for hearings in Congress on executive pay  (Adds eBay comment  additional study),topStory
BA,Boeing Company (The),20110831,UPDATE 5-Bombardier stock sinks on dim regional jet outlook , * May be tough to meet 2011 commercial jet delivery f'cast,normal
BA,Boeing Company (The),20110831,Some U.S. firms paid more to CEOs than taxes: study ,WASHINGTON Twenty-five of the 100 highest paid U.S. CEOs earned more last year than their companies paid in federal income tax  a pay study by a Washington think tank said on Wednesday.,normal
BA,Boeing Company (The),20110831,CORRECTED - Study: Some US firms paid more to CEOs than taxes , (Corrects Boeing CEO Jim McNerney pay to $13.8 million  not billion  in 11th paragraph),normal
BP,BP plc,20110831,Katia almost a hurricane; storm fears in Gulf ,MIAMI Tropical Storm Katia was expected to strengthen into a hurricane over the Atlantic on Wednesday  while another mass of thunderstorms that could become a named storm this week triggered evacuations of some oil workers from the Gulf of Mexico.,topStory
BP,BP plc,20110831,UPDATE 1-Katia almost a hurricane; storm fears in Gulf , * Gulf weather system prompts oil worker evacuations  (Recasts  adds details of Gulf of Mexico evacuations),normal
BP,BP plc,20110831,Oil firms start U.S. Gulf evacuations due to weather ,HOUSTON BP Plc on Wednesday became the first major oil producer to say it was evacuating some workers from Gulf of Mexico oil and gas platforms because of a tropical disturbance that could become a named storm this week.,normal
BP,BP plc,20110831,UPDATE 2-Oil firms start US Gulf evacuations due to weather , * Other oil producers monitoring weather system  (Updates with Anadarko evacuating workers  adds details  background  bylines),normal
BP,BP plc,20110831,Canada crude-Talk of US refinery work pressures synthetic , CALGARY  Alberta  Aug 31 The premium on Canadian synthetic oil has narrowed despite upcoming oil sands upgrader work on talk of a U.S. Midwest refiner planning to take a processing unit down  industry sources said on Wednesday.,normal
BP,BP plc,20110831,BP pulls some US Gulf rig workers on storm caution , HOUSTON  Aug 31 BP Plc   began pulling non-essential workers from Gulf of Mexico platforms on Wednesday due to the threat of a tropical storm forming later this week.,normal
BP,BP plc,20110831,UPDATE 2-BP's US Gulf Destin gas line declares force majeure , * Onshore receipts not affected by force majeure outage,normal
BP,BP plc,20110831,New blow for BP in Russia as office raided ,MOSCOW Black-clad special forces raided BP's Moscow offices on Wednesday  deepening the British company's problems in Russia after its attempts to salvage an oil exploration agreement in the Russian Arctic collapsed. | Video ,normal
BP,BP plc,20110831,UPDATE 1-BP Whiting delays start of new crude unit -sources , HOUSTON  Aug 31 BP Plc   has pushed back the start date for a replacement crude distillation unit at its 405 000 barrel per day (bpd) Whiting  Indiana  refinery to October 2012 from August 2012  according to sources familiar with refinery operations.,normal
BP,BP plc,20110831,BP Whiting delays start of new crude unit -sources , HOUSTON  Aug 31 BP Plc   has pushed back the start date for a replacement crude distillation unit at its 405 000 barrel per day (bpd) Whiting  Indiana  refinery to October 2012 from August 2012  according to sources familiar with refinery operations.,normal
BTI,British American Tobacco plc,20110831,UPDATE 1-Bulgaria picks VTB unit for Bulgartabak stake , * Sale contract to be signed in 15 days  pending approval,topStory
BTI,British American Tobacco plc,20110831,Bulgaria picks VTB unit for Bulgartabak stake , * Sale contract to be signed in 15 days  pending approval,normal
BC,Brunswick Corporation,20110831,Deals of the day -- mergers and acquisitions , Aug 31 The following bids  mergers  acquisitions and disposals involving European  U.S. and Asian companies were reported by 1400 GMT on Wednesday:,topStory
BG,Bunge Limited,20110831,RPT-INSIGHT-Argentine grains industry fears more intervention , * World crisis could hit local economy during her 2nd term,topStory
