AMCX,AMC Networks Inc,20121102,DIARY-NON S&P WEEK AHEAD - Part II ,** For events before Nov. 8 - please click on or .       - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -  DATE     GMT/MP  COMPANY NAME AND PERIOD                   SYMBOL     EPS     No.OF   YEAR AGO                                                                     ESTIMATE   EST     EPS 08 Nov           Q3 2012 AAON                                  0.23     1     0.23 08 Nov    BMO    Q3 2012 Advance Auto Parts                       1.22    20   ,topStory
CCO,Clear Channel Outdoor Holdings Inc,20121102,Clear Channel Outdoor posts surprise profit  revenue misses estimates ,Nov 2 Clear Channel Outdoor Holdings Inc  posted a surprise quarterly profit  but revenue missed analysts' estimates as the outdoor advertising firm's international business slipped 6 percent.,normal
CLX,Clorox Company (The),20121102,BRIEF-Clorox sees flat commodity cost environment for the fiscal year ,CHICAGO  Nov 2 The Clorox Co :  * Clorox co sees flat commodity cost environment for the fiscal year,topStory
CEO,CNOOC Limited,20121102,Canada extends review of CNOOC-Nexen deal to December 10 ,Canada said it has extended its review of a $15.1 billion bid by China's CNOOC Ltd  for Canadian energy producer Nexen Inc  by a month to December 10.,topStory
ED,Consolidated Edison Inc,20121102,ConEd restores parts of Lower East Side in Manhattan after Sandy ,Nov 2 New York power company Consolidated Edison Inc said Friday afternoon it restored power to about 67 000 customers in parts of the Lower East Side of Manhattan.,topStory
ED,Consolidated Edison Inc,20121102,Con Ed-570 000 customers still without power after Sandy in NY ,Nov 2 New York power company Consolidated Edison Inc said on Friday about 570 000 homes and businesses in New York City and Westchester County were still without power four days after the major storm Sandy blasted across the U.S. East Coast.,normal
CTB,Cooper Tire & Rubber Company,20121102,Cooper Tire profit jumps on lower rubber costs ,Cooper Tire & Rubber Co's  quarterly profit soared on higher margins due to lower raw material costs.,topStory
CTB,Cooper Tire & Rubber Company,20121102,Cooper Tire profit jumps on lower rubber costs ,Nov 2 Cooper Tire & Rubber Co's  quarterly profit soared on higher margins due to lower raw material costs.,normal
CVA,Covanta Holding Corporation,20121102,TEXT-S&P rates Covanta Holding Corp. notes 'BB-' ,Overview      -- U.S. energy-from-waste generator Covanta Holding Corp. (Covanta) is  restructuring its debt profile by replacing project-level amortizing debt with  bullet maturity debt at the holding company level.       -- The senior unsecured revenue bonds would be structurally senior to the  existing senior unsecured debt at the holding company because Covanta Energy  Corp. (CEC) is guaranteeing the new bonds.       -- We are assigning our 'BB-' rating to the $335 million senior unsecured  ,topStory
DAL,Delta Air Lines Inc,20121102,Delta  JetBlue see Sandy hurting fourth-quarter results ,Delta Air Lines  and JetBlue Airways  on Friday said flight cancellations as a result of superstorm Sandy will hurt their fourth-quarter results  denting both revenues and earnings.,topStory
DAL,Delta Air Lines Inc,20121102,UPDATE 3-Delta  JetBlue see Sandy hurting 4th-quarter results ,* US Airways  United  American load extra fuel as precaution,normal
DAL,Delta Air Lines Inc,20121102,Delta's key revenue measure up in October  but storm hurt ,Delta Air Lines  said on Friday that a key revenue measure improved in October  helped by corporate travel and cancellations in the wake of superstorm Sandy.,normal
DAL,Delta Air Lines Inc,20121102,Delta says key revenue measure up in October  but storm hurt ,Delta Air Lines said on Friday that a key revenue measure improved in October  helped by corporate travel and cancellations in the wake of superstorm Sandy.,normal
DAL,Delta Air Lines Inc,20121102,Delta says key revenue measure up in October  but storm hurt ,Nov 2 Delta Air Lines said on Friday that a key revenue measure improved in October  helped by corporate travel and cancellations in the wake of superstorm Sandy.,normal
DB,Deutsche Bank AG,20121102,Sri Lanka's CPC loses $60 mln hedging case vs Deutsche Bank ,COLOMBO  Nov 2 Sri Lanka's state-run oil company has lost a $60 million  hedging case against Deutsche Bank  after a U.S.-based arbitrator ruled in favour of the bank  officials said on Friday.,topStory
DB,Deutsche Bank AG,20121102,Deutsche  Commerzbank ready for SIFI capital rules ,FRANKFURT  Nov 2 Deutsche Bank on Friday signalled it was well prepared for new rules which force it to add an extra capital cushion after regulators said it was among four global banks which can threaten the international financial system.,normal
DB,Deutsche Bank AG,20121102,UPDATE 3-Four banks must hold most extra capital-regulators ,Nov 1 Citigroup Inc  Deutsche Bank   HSBC and JPMorgan Chase & Co will need to hold the most extra capital of 28 banks considered so large and complex they need an extra buffer to absorb potential losses  global regulators said on Thursday.,normal
EIX,Edison International,20121102,Cost of San Onofre nuclear outage in California reaches $317 million: Edison ,The cost for the prolonged outage at the damaged San Onofre nuclear power plant in California has topped $317 million for the year  the plant's primary owner  utility Southern California Edison  said Thursday.,topStory
EIX,Edison International,20121102,Cost of San Onofre nuclear outage in Calif reaches $317 mln -Edison ,Nov 1 The cost for the prolonged outage at the damaged San Onofre nuclear power plant in California has topped $317 million for the year  the plant's primary owner  utility Southern California Edison  said Thursday.,normal
E,ENI SpA,20121102,UPDATE 1-Turkey signs $350 mln Iraq oil drilling deal ,* Turkey plans public offerings of state energy companies,topStory
GD,General Dynamics Corporation,20121102,TEXT-S&P rates General Dynamics proposed notes 'A' ,Nov 1 - As we previously announced  Standard & Poor's Ratings Services on Nov. 1  2012  assigned its 'A' rating to General Dynamics Corp.'s     proposed issuance of senior unsecured notes due 2017  2022  and 2042. The company will issue the notes as a drawdown on its existing shelf registration and plans to use the proceeds to redeem its $1 billion  4.25% notes due 2013; $1 billion  5.25% notes due 2014; and $400 million  5.375% notes due 2015; and for general corporate purposes.  Our ratings on,topStory
GD,General Dynamics Corporation,20121102,TEXT-Fitch rates proposed General Dynamics notes 'A' ,Nov 2 () - Fitch Ratings has assigned an 'A' rating to General Dynamics Corporation's (GD) planned issuance of:  --$900 million 1% senior unsecured notes maturing 2017; --$1 billion 2.25% senior unsecured notes maturing 2022; --$500 million 3.6% senior unsecured notes maturing 2042.  Proceeds will be used to redeem a total of $2.4 billion of senior unsecured notes maturing from 2013 to 2015 and for general corporate purposes. The Rating Outlook is Stable. A full rating list appears at the end of,normal
GM,General Motors Company,20121102,GM's Opel to hire former VW manager as CEO - sources ,* Neumann on course to sign Opel contract next year - source,topStory
GM,General Motors Company,20121102,Auto lender Ally Financial swings to profit on strong demand ,Nov 2 Ally Financial Inc  the auto lender 74 percent-owned by the U.S. government  swung to a third-quarter profit  helped by strong auto-lending revenue.,normal
GM,General Motors Company,20121102,Auto supplier collapse threatens GM  Ford production in Australia ,CANBERRA The closure of Australia's Autodom Ltd   a top Australian auto parts supplier  could shut down production at local units of Ford and General Motors by next week and executives are working frantically to save the company.,normal
GM,General Motors Company,20121102,UPDATE 1-Auto supplier collapse threatens GM  Ford production in Australia ,* Sept vehicle sales gains fail to offset production cuts,normal
GM,General Motors Company,20121102,Auto supplier collapse threatens GM  Ford production in Australia ,* Sept vehicle sales gains fail to offset production cuts,normal
GG,Goldcorp Inc,20121102,CANADA STOCKS-TSX ends lower  Goldcorp leads broad retreat ,TORONTO  Nov 2 Toronto's main stock index finished nearly 1 percent lower on Friday with Goldcorp Inc leading a retreat in resource stocks following a slide in bullion and crude prices.    The Toronto Stock Exchange's S&P/TSX composite index  closed down 119.35 points  or 0.95 percent  12 380.41.,topStory
GS,Goldman Sachs Group Inc (The),20121102,Goldman urges Supreme Court to end mortgage class-action ,WASHINGTON Goldman Sachs Group Inc  has urged the U.S. Supreme Court to throw out a mortgage securities class-action lawsuit that it said could cost Wall Street tens of billions of dollars.,topStory
GS,Goldman Sachs Group Inc (The),20121102,Goldman urges US Supreme Court to end mortgage class-action ,WASHINGTON  Nov 2 Goldman Sachs Group Inc  has urged the U.S. Supreme Court to throw out a mortgage securities class-action lawsuit that it said could cost Wall Street tens of billions of dollars.,normal
GS,Goldman Sachs Group Inc (The),20121102,Potbelly Sandwich hires banks for 2013 IPO: sources ,NEW YORK Potbelly Sandwich Shop  a restaurant chain that sells submarine sandwiches and shakes  has hired bankers for a potential initial public offering next year  according to people familiar with the matter.,normal
GS,Goldman Sachs Group Inc (The),20121102,Potbelly Sandwich hires banks for 2013 IPO -sources ,NEW YORK  Nov 2 Potbelly Sandwich Shop  a restaurant chain that sells submarine sandwiches and shakes  has hired bankers for a potential initial public offering next year  according to people familiar with the matter.,normal
HES,Hess Corporation,20121102,Hess profit soars on Bakken; stations open post-Sandy ,Hess Corp's  quarterly profit nearly doubled as production from the Bakken oil field rose and the company resumed operations in Libya.,topStory
HES,Hess Corporation,20121102,Hess gets OK on barge to move gasoline out of Port Reading ,NEW YORK Hess Corp  said it received approval from regulatory authorities to use a barge without all necessary pollution controls to move gasoline from its 70 000 barrel-per-day Port Reading refinery  downed by Hurricane Sandy.,normal
HES,Hess Corporation,20121102,Hess gets OK on barge to move gasoline out of Port Reading ,NEW YORK  Nov 2 Hess Corp said it received approval from regulatory authorities to use a barge without all necessary pollution controls to move gasoline from its 70 000 barrel-per-day Port Reading refinery  downed by Hurricane Sandy.,normal
HES,Hess Corporation,20121102,UPDATE 1-Hess profit soars on Bakken; stations open post-Sandy ,Nov 2 Hess Corp's quarterly profit nearly doubled as production from the Bakken oil field rose and the company resumed operations in Libya.,normal
HES,Hess Corporation,20121102,BRIEF-Hess says 177 of its 186 stations in NYC  Long Island  New Jersey open ,Nov 2 Hess Corp :  * CEO says has opened  supplying 177 of its 186 filling stations in nyc  Long,normal
HES,Hess Corporation,20121102,Hess Corp profit soars on Libya  Bakken output ,Nov 2 Hess Corp's third-quarter profit nearly doubled as production from the Bakken oil field rose and the company resumed operations in Libya.,normal
HMC,Honda Motor Company Ltd,20121102,UPDATE 2-Japan automakers China slump accelerates on islands row ,* South Korea's Hyundai sales up 37 pct in Oct vs yr earlier   (Adds analyst comments),topStory
HMC,Honda Motor Company Ltd,20121102,UPDATE 1-Honda China sales fall by half in Oct on island dispute ,BEIJING  Nov 2 Honda Motor Co Ltd's  China car sales plunged 54 percent in October from a year earlier  marking the second monthly sales slump as Japanese automakers continue to suffer the backlash from a territorial dispute between Beijing and Tokyo.,normal
HMC,Honda Motor Company Ltd,20121102,Honda says Oct China auto sales down 54 pct yr-on-yr ,BEIJING  Nov 2 Honda Motor Co Ltd and its China joint ventures sold 24 115 vehicles in the country in October  down 54 percent from a year earlier  the Japanese automaker said on Friday.,normal
HUN,Huntsman Corporation,20121102,Huntsman profit beats on higher polyurethane prices ,Chemical maker Huntsman Corp  posted a higher-than-expected quarterly profit  as it successfully raised prices on polyurethane used in foam insulation  sending shares up more than 6 percent.,topStory
HUN,Huntsman Corporation,20121102,UPDATE 2-Huntsman profit beats on higher polyurethane prices ,* Third-quarter adj profit $0.70/ share vs est $0.52/share,normal
HUN,Huntsman Corporation,20121102,UPDATE 1-Huntsman profit beats on higher polyurethane prices ,* Third-quarter adj profit $0.70/ share vs est $0.52/share,normal
HUN,Huntsman Corporation,20121102,Huntsman posts 3rd-qtr profit on strong polyurethane demand ,Nov 2 Chemical maker Huntsman Corp  reported a quarterly profit in the third quarter  driven by strong demand for polyurethanes used in foam insulation.,normal
ICL,Israel Chemicals Shs,20121102,PRESS DIGEST - Financial Times - Nov 2 ,Excessive deference and hierarchy is damaging the Bank of England's effectiveness  according to three independent reviews that criticise the central bank's culture.,topStory
ITT,ITT Inc,20121102,ITT beats forecasts as demand picks up in emerging markets ,ITT Corp  reported stronger-than-expected quarterly earnings and sales on Friday  helped by U.S. industrial demand and sales to energy markets in emerging economies  lifting its shares 1.6 percent to their highest level since May.,topStory
ITT,ITT Inc,20121102,UPDATE 2-ITT beats forecasts as demand picks up in emerging markets ,* Third-quarter adjusted earnings $0.44  beat estimates by 5 cents,normal
ITT,ITT Inc,20121102,Demand in emerging markets helps ITT beat forecasts ,ITT Corp  reported stronger-than-expected quarterly earnings and sales on Friday  helped by U.S. industrial demand and sales to energy markets in emerging economies.,normal
ITT,ITT Inc,20121102,Emerging markets lift ITT third-quarter sales ,Nov 2 ITT Corp reported a lower quarterly net profit on Friday  reflecting the company's breakup a year ago  but earnings from continuing operations were up  helped by U.S. industrial demand and sales to energy markets in emerging economies.,normal
JPM,J P Morgan Chase & Co,20121102,MetLife to sell mortgage servicing portfolio to JPMorgan ,MetLife Inc   the largest U.S. life insurer  said it will sell MetLife Bank's mortgage servicing portfolio to a unit of JPMorgan Chase & Co  for an undisclosed amount  as it looks to exit its bank holding structure.,topStory
JPM,J P Morgan Chase & Co,20121102,MetLife to sell mortgage servicing portfolio to JPMorgan ,Nov 2 MetLife Inc  the largest U.S. life insurer  said it will sell MetLife Bank's mortgage servicing portfolio to a unit of JPMorgan Chase & Co for an undisclosed amount  as it looks to exit its bank holding structure.,normal
JPM,J P Morgan Chase & Co,20121102,Global manufacturing downturn eases on U.S. support: PMI ,LONDON The global manufacturing downturn eased last month as North American economies outperformed euro zone countries and much of Asia  a business survey showed on Friday.,normal
JPM,J P Morgan Chase & Co,20121102,Global manufacturing downturn eases on US support -PMI ,LONDON  Nov 2 The global manufacturing downturn eased last month as North American economies outperformed euro zone countries and much of Asia  a business survey showed on Friday.,normal
JNJ,Johnson & Johnson,20121102,UPDATE 1-J&J drug wins wider approval for leg and lung clots ,Nov 2 U.S. regulators on Friday approved expanded use of Johnson & Johnson's Xarelto blood thinner to treat blood clots in the legs and lungs and to reduce the risk of such clots recurring after initial treatment.,topStory
JNJ,Johnson & Johnson,20121102,J&J drug wins wider approval  to treat  prevent  leg  lung clots ,Nov 2 U.S. regulators on Friday said they had approved expanded use of Johnson & Johnson's Xarelto blood thinner  to treat blood clots in the legs and lungs and to reduce the risk of such clots recurring after initial treatment.,normal
KMT,Kennametal Inc,20121102,BRIEF - Moody's rates Kennametal Inc proposed notes Baa2 ,Nov 2 Moody's assigns a Baa2 rating to Kennametal's  proposed senior unsecured notes,topStory
KMT,Kennametal Inc,20121102,TEXT-Fitch rates Kennametal's proposed notes 'BBB' ,Nov 2 - Fitch Ratings has assigned a 'BBB' rating to Kennametal Inc.'s  new $400 million of seven-year senior unsecured notes. Kennametal will use a portion of net proceeds to repay outstanding borrowings under the company's credit facilities  which Fitch estimates at approximately $290 million  and any remainder for general corporate purposes.  The Rating Outlook is Stable. A full rating list follows at the end of this release.  The ratings have incorporated Kennametal's capacity to make modest,normal
KKR,KKR & Co LP,20121102,UPDATE 4-Warren Buffett buys toy and party-supplies company ,Nov 2 Warren Buffett's Berkshire Hathaway Inc  said it would buy Oriental Trading Co  a toy and party supplies company that is partially owned by private equity firm KKR & Co LP  for an undisclosed sum.,topStory
KSS,Kohl&#39;s Corporation,20121102,Obama  Romney take aim at key Midwestern swing states ,HILLIARD  Ohio President Barack Obama and Republican Mitt Romney made late pitches in the political battlegrounds of the upper Midwest on Friday  a region likely to decide the winner in next week's closely fought election for the White House. | Video ,topStory
MRO,Marathon Oil Corporation,20121102,UPDATE 2-New York cancels Sunday marathon in wake of deadly storm ,* Some people had protested race in light of storm damage   (Adds reaction  quotes),topStory
MRO,Marathon Oil Corporation,20121102,NY discussing whether to go ahead with marathon-city official ,NEW YORK  Nov 2 New York authorities were discussing whether or not to go ahead with the city's marathon on Sunday  which attracts more than 40 000 runners  as recovery from the effects of deadly superstorm Sandy continues  a city official said.,normal
MET,MetLife Inc,20121102,MetLife to sell mortgage servicing portfolio to JPMorgan ,MetLife Inc   the largest U.S. life insurer  said it will sell MetLife Bank's mortgage servicing portfolio to a unit of JPMorgan Chase & Co  for an undisclosed amount  as it looks to exit its bank holding structure.,topStory
MET,MetLife Inc,20121102,MetLife to sell mortgage servicing portfolio to JPMorgan ,Nov 2 MetLife Inc  the largest U.S. life insurer  said it will sell MetLife Bank's mortgage servicing portfolio to a unit of JPMorgan Chase & Co for an undisclosed amount  as it looks to exit its bank holding structure.,normal
MS,Morgan Stanley,20121102,ON THE MOVE-UBS lands veteran Morgan Stanley broker in Atlanta ,Nov 2 UBS AG's  American wealth management division expanded its broker force in Georgia with a veteran hire from rival brokerage Morgan Stanley Wealth Management.,topStory
MSI,Motorola Solutions Inc,20121102,Groupon responds to SEC inquiry on accounting ,SAN FRANCISCO Groupon Inc  responding to regulators' inquiries into a controversial revision of its fourth-quarter results and handling of refunds  has promised to shore up disclosure but stopped short of agreeing to outline the performance of individual products from travel to concert deals.,topStory
MSI,Motorola Solutions Inc,20121102,RPT-Microsoft vs Google trial raises concerns over courtroom secrecy ,SAN FRANCISCO  Nov 2 Two weeks before trial in a high-stakes lawsuit pitting Google's Motorola Mobility unit against Microsoft  Google made what has become a common request for a tech company fighting for billions of dollars: a public court proceeding conducted largely in secret.,normal
MSI,Motorola Solutions Inc,20121102,Microsoft vs Google trial raises concerns over courtroom secrecy ,SAN FRANCISCO  Nov 1 Two weeks before trial in a high-stakes lawsuit pitting Google's Motorola Mobility unit against Microsoft  Google made what has become a common request for a tech company fighting for billions of dollars: a public court proceeding conducted largely in secret.,normal
NYT,New York Times Company (The),20121102,PRESS DIGEST-New York Times business news - Nov 2 ,Nov 2 The following are the top stories on the New York Times business pages on Friday. Reuters has not verified these stories and does not vouch for their accuracy.,topStory
NEM,Newmont Mining Corporation,20121102,Newmont Mining profit drops as Indonesia output plunges ,Newmont Mining Corp   the world's second-largest gold producer  reported a lower-than-expected quarterly profit after a steep fall in production and a sharp rise in costs at its big Batu Hijau copper and gold mine in Indonesia.,topStory
NEM,Newmont Mining Corporation,20121102,UPDATE 3-Newmont Mining profit drops as Indonesia output plunges ,Nov 1 Newmont Mining Corp  the world's second-largest gold producer  reported a lower-than-expected quarterly profit after a steep fall in production and a sharp rise in costs at its big Batu Hijau copper and gold mine in Indonesia.,normal
OXY,Occidental Petroleum Corporation,20121102,Occidental Petroleum says faced cyber attack on email in 2009-10 ,Nov 2 Occidental Petroleum Corp  the fourth-largest U.S. oil company said on Friday it faced an attack on its email system a few years ago  at a time when the energy industry emerged as a prime hacking target.,topStory
OZM,Och-Ziff Capital Management Group LLC,20121102,UPDATE 2-Och-Ziff profit tops view; Oz fund net returns 9.4 pct ,Nov 2 Och-Ziff Capital Management  one of only a handful of publicly traded hedge fund firms  on Friday reported quarterly earnings that beat Wall Street's forecasts  fueled by higher performance fees and lower taxes.,topStory
OZM,Och-Ziff Capital Management Group LLC,20121102,Och-Ziff reports higher distributable income  beats forecasts ,Och-Ziff Capital Management  reported on Friday a higher quarterly profit which beat Wall Street's forecasts  as the investment manager paid lower taxes and cut compensation costs but earned higher performance fees on its hedge funds.,normal
OZM,Och-Ziff Capital Management Group LLC,20121102,UPDATE 1-Och-Ziff reports higher distributable income  beats forecasts ,Nov 2 Och-Ziff Capital Management  reported on Friday a higher quarterly profit which beat Wall Street's forecasts  as the investment manager paid lower taxes and cut compensation costs but earned higher performance fees on its hedge funds.,normal
OCN,Ocwen Financial Corporation,20121102,BRIEF-Moody's affirms Ocwen's ratings and stable outlook ,Nov 2 Ocwen Financial Corp :  * Moody's affirms ocwen's ratings and stable outlook  * Rpt-moody's affirms ocwen's ratings and stable outlook,topStory
PAG,Penske Automotive Group Inc,20121102,Penske profit beats but stock falls ,Penske Automotive Group Inc   the No. 2 U.S. car dealership group  posted a stronger-than-expected quarterly profit on Friday  but shares fell more than 2 percent as gross margins and vehicle pricing disappointed.,topStory
PAG,Penske Automotive Group Inc,20121102,UPDATE 2-Penske profit beats but stock falls ,* Op earnings of 60 cts/share beat Street view by 3 cents,normal
PAG,Penske Automotive Group Inc,20121102,Penske posts higher-than-expected profit ,Penske Automotive Group Inc   the No. 2 U.S. car dealership group  posted a stronger-than-expected quarterly profit on Friday  helped by a 24 percent jump in retail sales of vehicles.,normal
PAG,Penske Automotive Group Inc,20121102,Penske posts stronger-than-expected profit ,Nov 2 Penske Automotive Group Inc  the No. 2 U.S. dealership group  on Friday posted a stronger-than-expected quarterly profit  helped by a 24 percent jump in retail sales of vehicles.,normal
PFE,Pfizer Inc,20121102,Nestle: Pfizer baby food deal cleared by Chinese authorities ,LAUSANNE Nestle SA's  $11.9 billion purchase of Pfizer Inc's  baby food business has won approval in China  taking the Swiss group a step towards sealing a deal which still rests on months of bargaining with antitrust authorities.,topStory
PFE,Pfizer Inc,20121102,Nestle says Pfizer baby food deal cleared by Chinese authorities ,* Nestle buying Pfizer infant nutrition unit for $11.85 bln,normal
PSX,Phillips 66,20121102,UPDATE 3-NJ Bayway refinery may be shut for weeks; Hess still idle ,NEW YORK  Nov 2 Phillips 66's Bayway refinery in New Jersey  the second largest in the region  could be shut for weeks due to heavy damage caused by salt water flooding  a source familiar with operations said on Friday.,topStory
PKX,POSCO,20121102,POSCO consortium open to resuming Arrium bid: source ,SEOUL A consortium including South Korean steelmaker POSCO  may resume $1.2 billion bid talks with Australian mining firm Arrium Ltd   a source with direct knowledge of the matter told Reuters on Friday.,topStory
PX,Praxair Inc,20121102,TEXT-S&P rates Praxair senior secured debt 'A' ,Nov 2 - Standard & Poor's Ratings Services said today that it assigned its 'A' rating to Danbury  Conn.-based Praxair Inc.'s proposed senior unsecured notes due 2017 and senior unsecured notes due 2042. Praxair will use proceeds of the note offering to repay short-term debt and for general corporate purposes. The existing ratings on Praxair  including the 'A' long-term corporate credit rating and 'A-1' short-term rating  are unchanged. The outlook is stable.  The ratings on Praxair Inc.  a leadi,topStory
PEG,Public Service Enterprise Group Incorporated,20121102,PSEG restores power to 1 million  Bayway refinery  Buckeye pipeline ,NEW YORK Public Service Enterprise Group Inc said on Friday that it still had 690 000 customers without power but had restored power to more than 1 million.,topStory
PEG,Public Service Enterprise Group Incorporated,20121102,PSEG restores power to 1 mln  Bayway refinery  Buckeye pipeline ,NEW YORK  Nov 2 Public Service Enterprise Group Inc said on Friday that it still had 690 000 customers without power but had restored power to more than 1 million.,normal
RL,Ralph Lauren Corporation,20121102,Ralph Lauren profit beats as sales hold up ,Clothing company Ralph Lauren Corp  reported higher-than-expected quarterly earnings on Friday as revenue held up despite growing anxiety about luxury sales.,topStory
RL,Ralph Lauren Corporation,20121102,UPDATE 2-Ralph Lauren profit beats as sales hold up ,* Quarterly earnings of $2.45 a share beat Wall St view of $2.15,normal
RL,Ralph Lauren Corporation,20121102,BRIEF-Ralph Lauren CFO says 12 stores still closed because of hurricane sandy  says only "modest" impact on Q3 revenue ,Nov 2 Ralph Lauren Corp :  * CFO says 12 stores still closed because of hurricane sandy  says only,normal
RL,Ralph Lauren Corporation,20121102,Ralph Lauren lowers full-year sales view  Q2 results fall ,Nov 2 Ralph Lauren Corp reported lower quarterly earnings and lowered its full-year sales forecast because of its ongoing closures of distribution points in China  the discontinuation of its American Living brand and the impact of currency.,normal
RCI,Rogers Communication Inc,20121102,CIBC and Rogers to launch mobile wallet Nov. 16 ,TORONTO  Nov 2 Canadian Imperial Bank of Commerce and Rogers Communications Inc will roll out their "mobile wallet" on Nov. 16  opening the door for Canadians to pay for purchases with a quick tap of their smartphone  the companies said Friday.,topStory
RBS,Royal Bank Scotland plc (The),20121102,Forward Calendar - U.S. corporate bond new issues ,Nov 2  The following are lists of upcoming high-grade and high-yield corporate bond offerings in the United States. The information was gathered from Thomson Reuters U.S. new issues team  and other market sources:   *Denotes 144a private placement debt offering.  HIGH-GRADE BOND SALES EXPECTED FOR WEEK OF 10/29/2012                            COMPANY           AMT       MAT/DEBT  RTGS           MGRS                 PRICED Aetna             $500 mln   5-yr     Baa1/A-/A-     GS/UBS   ,topStory
RBS,Royal Bank Scotland plc (The),20121102,Forward Calendar - U.S. corporate bond new issues ,Nov 2  The following are lists of upcoming high-grade and high-yield corporate bond offerings in the United States. The information was gathered from Thomson Reuters U.S. new issues team  and other market sources:   *Denotes 144a private placement debt offering.  HIGH-GRADE BOND SALES EXPECTED FOR WEEK OF 10/29/2012                            COMPANY           AMT       MAT/DEBT  RTGS           MGRS                 PRICED Aetna             $500 mln   5-yr     Baa1/A-/A-     GS/UBS   ,normal
RBS,Royal Bank Scotland plc (The),20121102,RBS braced for fines to settle Libor probe ,LONDON Royal Bank of Scotland faces fines for its part in a global interest rate rigging scandal and wants to reach a settlement as soon as possible. | Video ,normal
RBS,Royal Bank Scotland plc (The),20121102,UPDATE 4-RBS braced for fines to settle Libor probe ,LONDON  Nov 2 Royal Bank of Scotland  faces fines for its part in a global interest rate rigging scandal and wants to reach a settlement as soon as possible.,normal
RBS,Royal Bank Scotland plc (The),20121102,BRIEF-RBS expects news on Libor settlements by Feb 2013 ,LONDON  Nov 2 RBS :  * CEO says 400 million STG increase is best 'guestimate' for ppi  can't say,normal
RBS,Royal Bank Scotland plc (The),20121102,UPDATE 1-Direct Line says half-way towards cost cut target ,LONDON  Nov 2 Direct Line Group  the British motor and home insurer spun off by Royal Bank of Scotland  said it was halfway towards achieving its 100 million pounds ($161.40 million) cost cutting target as it reported a drop in quarterly profit.,normal
RBS,Royal Bank Scotland plc (The),20121102,BRIEF-RBS says expects to enter Libor settlement talks soon ,LONDON  Nov 2 RBS :  * Says expects to enter into negotiations to settle some libor investigations,normal
RBS,Royal Bank Scotland plc (The),20121102,UK's RBS lifts Q3 profit  restructuring on track ,LONDON  Nov 2 Royal Bank of Scotland  reported an increase in third-quarter operating profit benefiting from a decline in bad debt charges and said its restructuring would be complete in the next 18 months.,normal
RBS,Royal Bank Scotland plc (The),20121102,RBS to report profit uplift amid UK share sale hope ,LONDON Royal Bank of Scotland  reports third quarter results on Friday amid heightened speculation that Britain could begin selling shares in the part-nationalized bank before the next election in 2015.,normal
RBS,Royal Bank Scotland plc (The),20121102,RBS to report profit uplift amid UK share sale hope ,LONDON  Nov 2 Royal Bank of Scotland  reports third quarter results on Friday amid heightened speculation that Britain could begin selling shares in the part-nationalised bank before the next election in 2015.,normal
SNE,Sony Corp Ord,20121102,BRIEF-Moody's comments on Sony's 1H2012 results ,* Moody's says that weak economic conditions and structural changes continue to pressure earnings from Sony Corporation's (Baa2/Prime-2  negative) electronics business  following the announcement of its 1H2012 financial results.,topStory
SNE,Sony Corp Ord,20121102,Sony rises after it posts small profit  keeps annual guidance ,TOKYO Shares of Sony Corp climbed 3.6 percent to 948 yen on Friday after the consumer electronics maker posted a small operating profit in the second quarter and kept its full-year profit guidance.,normal
SWJ,Stanley Black & Decker Inc,20121102,New Issue- Stanley Black & Decker sells $800 mln in notes ,Nov 2 Stanley Black & Decker Inc on Thursday sold $800 million of notes  said IFR  a Thomson Reuters service.      Citigroup  Credit Suisse  Goldman Sachs and J.P. Morgan were the joint bookrunning managers for the sale.  BORROWER: STANLEY BLACK & DECKER  AMT $800 MLN    COUPON 2.9 PCT    MATURITY    11/01/2022    TYPE NTS        ISS PRICE 99.914  FIRST PAY   05/01/2013  MOODY'S Baa1    YIELD 2.91 PCT    SETTLEMENT  11/06/2012    S&P SINGLE-A    SPREAD 120 BPS    PAY FREQ    SEMI-ANN,topStory
SWK,Stanley Black & Decker Inc,20121102,New Issue- Stanley Black & Decker sells $800 mln in notes ,Nov 2 Stanley Black & Decker Inc on Thursday sold $800 million of notes  said IFR  a Thomson Reuters service.      Citigroup  Credit Suisse  Goldman Sachs and J.P. Morgan were the joint bookrunning managers for the sale.  BORROWER: STANLEY BLACK & DECKER  AMT $800 MLN    COUPON 2.9 PCT    MATURITY    11/01/2022    TYPE NTS        ISS PRICE 99.914  FIRST PAY   05/01/2013  MOODY'S Baa1    YIELD 2.91 PCT    SETTLEMENT  11/06/2012    S&P SINGLE-A    SPREAD 120 BPS    PAY FREQ    SEMI-ANN,topStory
SWP,Stanley Black & Decker Inc,20121102,New Issue- Stanley Black & Decker sells $800 mln in notes ,Nov 2 Stanley Black & Decker Inc on Thursday sold $800 million of notes  said IFR  a Thomson Reuters service.      Citigroup  Credit Suisse  Goldman Sachs and J.P. Morgan were the joint bookrunning managers for the sale.  BORROWER: STANLEY BLACK & DECKER  AMT $800 MLN    COUPON 2.9 PCT    MATURITY    11/01/2022    TYPE NTS        ISS PRICE 99.914  FIRST PAY   05/01/2013  MOODY'S Baa1    YIELD 2.91 PCT    SETTLEMENT  11/06/2012    S&P SINGLE-A    SPREAD 120 BPS    PAY FREQ    SEMI-ANN,topStory
