AMZN,Amazoncom Inc,20121109,Amazon unveils wine marketplace in some U.S. states ,SAN FRANCISCO Amazon.com Inc unveiled a new online wine marketplace on Thursday  in the company's second attempt to crack a sector curtailed by a tangle of complex regulations.,topStory
BP,BP plc,20121109,Plaintiffs  BP urge judge to approve $7.8 bln spill settlement ,NEW ORLEANS  Nov 8 BP Plc and lawyers representing over 100 000 individuals and businesses claiming economic and medical damages from the 2010 Gulf of Mexico oil spill on Thursday urged a U.S. judge to approve a proposed $7.8 billion class-action settlement.,normal
BAK,Braskem SA,20121109,Brazil's Braskem sees resin demand down 8 pct in 4th qtr ,SAO PAULO  Nov 9 Brazil's Braskem SA  Latin America's largest petrochemical company  expects demand for plastic resins to decline about 8 percent in the fourth quarter from the prior quarter due to seasonal effects  Chief Executive Carlos Fadigas said on a Friday conference call.,topStory
BTI,British American Tobacco plc,20121109,TEXT-S&P upgrades British American Tobacco to 'A-'; outlook stable ,-- We consider that U.K.-based tobacco manufacturer British American  Tobacco PLC (BAT) is sufficiently cash flow generative to be able to maintain  its credit metrics at levels we view as commensurate with an 'A-' rating.,topStory
BAM,Brookfield Asset Management Inc,20121109,UPDATE 1-Brookfield Asset Management reports Q3 EPS of $0.48 ,TORONTO  Nov 9 Brookfield Asset Management Inc's  profit rose in the third quarter as a raft of strong acquisitions and client appetite for the Canadian investor's property and infrastructure assets fueled revenues.,topStory
CAT,Caterpillar Inc,20121109,UPDATE 1-Caterpillar sells Russian Bucyrus units to Barloworld ,* shares fall more than 2 percent   (Adds details  shares),topStory
CAT,Caterpillar Inc,20121109,BRIEF-Barloworld buys Caterpillar's Bucyrus distribution business in Russia ,JOHANNESBURG  Nov 9 Barloworld Ltd :  * Says entered into an agreement with Caterpillar to buy bucyrus,normal
SNP,China Petroleum & Chemical Corporation,20121109,BRIEF-Moody's assigns first-time Aa3 rating to Sinopec Corp ,Nov 09 China Petroleum and Chemical Corporation (Sinopec Corp),topStory
CHU,China Unicom (Hong Kong) Ltd,20121109,China Unicom expects to start selling iPhone 5 by year-end ,BEIJING China Unicom  the country's second-largest mobile carrier  expects to begin selling Apple Inc's latest iPhones this year and has set an ambitious target of having 100 million 3G users by end-2012 as it tries to attract high-end users to lift profits.,topStory
CHU,China Unicom (Hong Kong) Ltd,20121109,UPDATE 1-China Unicom expects to start selling iPhone 5 by yr-end ,BEIJING  Nov 9 China Unicom  the country's second-largest mobile carrier  expects to begin selling Apple Inc's latest iPhones this year and has set an ambitious target of having 100 million 3G users by end-2012 as it tries to attract high-end users to lift profits.,normal
CHU,China Unicom (Hong Kong) Ltd,20121109,China Unicom says aims for 100 mln 3G users by year-end ,BEIJING  Nov 9 China Unicom  the country's second-largest mobile carrier  aims to have 100 million 3G users by year-end  its chairman Chang Xiaobing said on Friday.,normal
C,Citigroup Inc,20121109,Citigroup to pay former executives more than $15 million each ,Former Citigroup Inc  CEO Vikram Pandit  who resigned last month under pressure from company directors  and former chief operating officer John Havens will receive more than $15 million each  the company said on Friday.,topStory
C,Citigroup Inc,20121109,UPDATE 1-Citigroup to pay former executives more than $15 mln each ,Nov 9 Former Citigroup Inc CEO Vikram Pandit  who resigned last month under pressure from company directors  and former chief operating officer John Havens will receive more than $15 million each  the company said on Friday.,normal
C,Citigroup Inc,20121109,Citigroup to pay former executives more than $15 million each ,Nov 9 Former Citigroup Inc CEO Vikram Pandit  who resigned last month under pressure from company directors  and former chief operating officer John Havens will receive more than $15 million each  the company said on Friday.,normal
CEO,CNOOC Limited,20121109,Deals of the day -- mergers and acquisitions ,Nov 9 The following bids  mergers  acquisitions and disposals were reported by 2100 GMT on Friday:,topStory
CEO,CNOOC Limited,20121109,UPDATE 3-CNOOC confident of Nexen deal approval despite extension ,BEIJING  Nov 9 CNOOC Ltd  China's top offshore oil and gas producer  said it is confident of winning regulatory approval from Canada this year for its $15.1 billion bid for Nexen Inc  even though Ottawa has extended its review of the deal twice.,normal
CEO,CNOOC Limited,20121109,CNOOC says confident Nexen deal will go through ,BEIJING CNOOC Ltd   China's top offshore oil and gas producer  said on Friday it is confident of winning regulatory approval from Canada this year for its $15.1 billion bid for Nexen Inc .,normal
CEO,CNOOC Limited,20121109,UPDATE 1-CNOOC says confident Nexen deal will go through ,BEIJING  Nov 9 CNOOC Ltd  China's top offshore oil and gas producer  said on Friday it is confident of winning regulatory approval from Canada this year for its $15.1 billion bid for Nexen Inc .,normal
CEO,CNOOC Limited,20121109,CNOOC says confident its Nexen deal with go through ,BEIJING  Nov 9 CNOOC Ltd  China's top offshore oil and gas producer  said on Friday it is confident of winning regulatory approval from Canada this year for its $15.1 billion bid for energy producer Nexen .,normal
CB,D/B/A Chubb Limited New,20121109,Chubb suspends share buybacks due to uncertainty on Sandy losses ,Property insurer Chubb Corp  a major player in the U.S. Northeast  has suspended share buybacks because it is unsure how large its losses will be from Superstorm Sandy.,topStory
CB,D/B/A Chubb Limited New,20121109,Chubb suspends share buybacks due to uncertainty on Sandy losses ,Nov 9 Property insurer Chubb Corp  a major player in the U.S. Northeast  has suspended share buybacks because it is unsure how large its losses will be from Superstorm Sandy.,normal
DLX,Deluxe Corporation,20121109,TEXT-S&P rates Deluxe Corp. notes 'BB-' ,Overview      -- Deluxe Corp. is issuing $200 million of new senior unsecured notes due  2020 to refinance existing debt.      -- We are assigning our 'BB-' issue-level rating with a '4' recovery  rating to the proposed notes.      -- We affirmed all other ratings  including the 'BB-' corporate credit  rating.      -- The stable outlook reflects our expectation that Deluxe will maintain  sufficient flexibility within its financial profile to accommodate potential  weakness in operating performan,topStory
DLX,Deluxe Corporation,20121109,BRIEF - Moody's rates Deluxe Corp senior unsecured notes Ba2 ,Nov 9 Moody's rates Deluxe Corp senior unsecured notes Ba2,normal
DB,Deutsche Bank AG,20121109,New Issue-CFF Corp prices 1.0 bln euro 2022 bond ,Borrower                Compagnie de Financement Foncier SA,topStory
DB,Deutsche Bank AG,20121109,New Issue-CFF Corp prices 1.0 bln euro 2022 bond , ,normal
DB,Deutsche Bank AG,20121109,Deutsche Bank says it will never need state aid ,HAMBURG Deutsche Bank   on a international regulator's list of four banks that would pose the greatest risk to the global financial system if they collapsed  will never need to be bailed out  its co-chief executive said.,normal
DEO,Diageo plc,20121109,TEXT - Fitch affirms Diageo plc ,Nov 9 - Fitch Ratings has affirmed Diageo plc's (Diageo) Long-Term Issuer Default Rating (IDR) and senior unsecured rating at 'A-' and Short-Term IDR at 'F2'. The Outlook on the Long-term IDR is Stable.  Diageo's subsidiaries Diageo Finance BV  Diageo Finance plc  Diageo Capital plc  and Diageo Investment Corporation's senior unsecured ratings are also affirmed  at 'A-'/'F2'.   The affirmation follows Diageo's announcement that it will be buying between  25.1% and 53.4% of leading Indian spirits,topStory
DEO,Diageo plc,20121109,Diageo does $2.1 billion deal for India's United Spirits ,MUMBAI/LONDON Diageo Plc  has agreed to buy a majority stake in United Spirits Ltd  controlled by Indian businessman Vijay Mallya  for $2.1 billion  fuelling a push by the world's biggest spirits group into fast-growing markets.,normal
DEO,Diageo plc,20121109,UPDATE 4-Diageo does $2.1 bln deal for India's United Spirits ,* Shares in Mallya-controlled companies rise in down market,normal
DEO,Diageo plc,20121109,BRIEF-Diageo makes appointments to executive committee ,LONDON  Nov 9 Diageo PLC :  * John Kennedy is appointed president  Diageo western Europe. John will report,normal
DEO,Diageo plc,20121109,Diageo agrees to buy 53.4 percent stake in United Spirits ,MUMBAI Diageo Plc  said on Friday it has agreed to buy a 53.4 percent stake in India's United Spirits  for 111.67 billion rupees ($2.05 billion).,normal
DEO,Diageo plc,20121109,Diageo agrees to buy 53.4 pct stake in United Spirits ,MUMBAI  Nov 9 Diageo Plc said on Friday it has agreed to buy a 53.4 percent stake in India's United Spirits for 111.67 billion rupees ($2.05 billion).,normal
DEO,Diageo plc,20121109,India's Kingfisher shares jump on United Spirits  Diageo deal ,MUMBAI India's debt-laden Kingfisher Airlines  extended gains after Reuters reported its chairman Vijay Mallya clinched a deal to sell a stake in United Spirits  to Diageo   on hopes the money raised could be used to revive the carrier.,normal
DEO,Diageo plc,20121109,India's Kingfisher shares jump on United Spirits  Diageo deal ,MUMBAI India's debt-laden Kingfisher Airlines extended gains after Reuters reported its chairman Vijay Mallya clinched a deal to sell a stake in United Spirits to Diageo  on hopes the money raised could be used to revive the carrier.,normal
DEO,Diageo plc,20121109,Diageo to buy 53.4 pct stake in United Spirits for over $2 bln-memo ,HONG KONG  Nov 9 Diageo Plc has agreed to buy a 53.4 percent stake in Indian liquor baron Vijay Mallya's United Spirits Ltd for more than $2 billion  according to an internal memo related to the deal obtained by Reuters.,normal
ENR,Energizer Holdings Inc,20121109,Energizer to cut more than 10 percent of workforce ,Energizer Holdings Inc  said on Thursday that it would cut more than 10 percent of its workforce  or about 1 500 people  as it tries to rev up results in its battery business.,topStory
ENR,Energizer Holdings Inc,20121109,UPDATE 2-Energizer to cut more than 10 percent of workforce ,* Adjusted earnings of $1.76 per share top Street view $1.55,normal
ERF,Enerplus Corporation,20121109,UPDATE 2-Enerplus posts loss  expects slower growth in 2013 ,* Cuts 2012 average production forecast by 2 pct to 82 000 boe/d,topStory
ERF,Enerplus Corporation,20121109,Enerplus posts loss  sees growth slowing in 2013 ,Canadian oil and gas producer Enerplus Corp  reported a third-quarter loss due to certain asset impairments and said it expects growth to slow down next year as it cuts 2013 capital spending by 20 percent.,normal
ERF,Enerplus Corporation,20121109,Enerplus posts loss  expects growth to slow down in 2013 ,Nov 9 Canadian oil and gas producer Enerplus Corp reported a third-quarter loss due to certain asset impairments and said it expects growth to slow down next year as it cuts capital spending by 20 percent.,normal
E,ENI SpA,20121109,CORRECTED-UPDATE 1-Eni declares force majeure on Nigerian Brass oil exports ,(Changes name of oil grade in para 5 from Qua Iboe to Forcados),topStory
XOM,Exxon Mobil Corporation,20121109,Celtic Exploration posts wider loss on lower natural gas prices ,Oil and gas producer Celtic Exploration Ltd   which is being acquired by Exxon Mobil Corp   reported a wider third-quarter loss due to lower natural gas prices.,topStory
XOM,Exxon Mobil Corporation,20121109,Celtic Exploration posts wider loss on lower natural gas prices ,Nov 9 Oil and gas producer Celtic Exploration Ltd  which is being acquired by Exxon Mobil Corp   reported a wider third-quarter loss due to lower natural gas prices.,normal
XOM,Exxon Mobil Corporation,20121109,UPDATE 1-INSIGHT-After Sandy  Big Oil's pumps fail motorists ,* NY lawmaker pushes generator mandates to avert next crisis,normal
XOM,Exxon Mobil Corporation,20121109,LUKOIL says looks into Exxon offer on Iraqi oil: report ,MOSCOW Russia's second largest crude producer LUKOIL  said on Friday it will study an offer from Exxon  to take over the West Qurna-1 oilfield in Iraq  Interfax news agency said.,normal
XOM,Exxon Mobil Corporation,20121109,UPDATE 2-LUKOIL says looks into Exxon offer on Iraqi oil-report ,* LUKOIL has indicated it won't be able to develop West Qurna-1,normal
XOM,Exxon Mobil Corporation,20121109,Iraq says expects Exxon to finish West Qurna sale by December ,BAGHDAD Iraq expects Exxon Mobil to complete the sale of its shares in West Qurna-1 oilfield by the end of December and the U.S. company has told Baghdad it is already in talks with other oil majors  a senior official said on Friday.,normal
XOM,Exxon Mobil Corporation,20121109,Iraq says expects Exxon to finish West Qurna sale by December ,BAGHDAD  Nov 9 Iraq expects Exxon Mobil to complete the sale of its shares in West Qurna-1 oilfield by the end of December and the U.S. company has told Baghdad it is already in talks with other oil majors  a senior official said on Friday.,normal
XOM,Exxon Mobil Corporation,20121109,UPDATE 1-Iraq warns Russia's Gazprom over Kurdistan oil deals ,BAGHDAD  Nov 9 Iraq has warned Russia's Gazprom Neft to quit oil deals with the country's autonomous Kurdistan or pull out of its contract for the Badra oilfield  a spokesman for Deputy Prime Minister for Energy Hussain Shahristani said on Friday.,normal
XOM,Exxon Mobil Corporation,20121109,RPT-UPDATE 1-LUKOIL says looks into Exxon offer on Iraqi oil-report ,* LUKOIL has indicated it won't be able to develop West Qurna-1,normal
FCN,FTI Consulting Inc,20121109,New Issue - FTI Consulting sells $300 mln in notes ,Nov 9 FTI Consulting Inc on Friday sold $300 million of senior notes in the 144a private placement market  said IFR  a Thomson Reuters service.      J.P. Morgan  Bank of America Merrill Lynch  Goldman Sachs and HSBC were the joint bookrunning managers for the sale.  BORROWER: FTI CONSULTING   AMT $300 MLN    COUPON 6 PCT       MATURITY    11/15/2022    TYPE SR NTS     ISS PRICE 100      FIRST PAY   05/15/2013  MOODY'S Ba2     YIELD 6 PCT        SETTLEMENT  11/27/2012    S&P DOUBLE-B ,topStory
FCN,FTI Consulting Inc,20121109,TEXT - S&P revises FTI Consulting outlook to negative ,Overview      -- West Palm Beach  Florida-based FTI Consulting plans to issue $300 million of senior unsecured notes due 2022. The company also plans to enter into a new $350 million revolving credit facility due 2017.       -- We expect weakened operating performance and modest leverage reduction  over the next 12 months  following a peak in leverage at year-end 2012.      -- We are revising our rating outlook on FTI Consulting to negative from  stable and affirming the corporate credit rating ,normal
FCN,FTI Consulting Inc,20121109,BRIEF - Moody's rates FTI Consulting new notes Ba2 ,Nov 9 Moody's rates FTI Consulting new notes Ba2; raises liquidity rating to SGL-1,normal
GM,General Motors Company,20121109,Exclusive: Ally near $4 billion unit sale  GM seen in lead ,NEW YORK Ally Financial Inc is nearing a deal to sell its auto financing operations in Europe and Latin America for around $4 billion  with General Motors Co emerging as the lead bidder if the company decides to sell those operations as a whole  two sources familiar with the situation said.,topStory
GSK,GlaxoSmithKline PLC,20121109,UPDATE 2-Setback for first malaria vaccine in African trial ,* Modest reduction of 30 percent in malaria risk in babies,topStory
GSK,GlaxoSmithKline PLC,20121109,UPDATE 1-Malaria vaccine disappoints in trial in African babies ,* Modest reduction of 30 percent in malaria risk in babies,normal
GS,Goldman Sachs Group Inc (The),20121109,Ex-Goldman trader accused of $118 million loss denies fraud ,NEW YORK A lawyer for a former Goldman Sachs Group Inc  trader denied on Friday U.S. civil accusations that his client had defrauded the Wall Street bank of $118 million.,topStory
GS,Goldman Sachs Group Inc (The),20121109,Ex-Goldman trader accused of $118 mln loss denies fraud ,NEW YORK  Nov 9 A lawyer for a former Goldman Sachs Group Inc trader denied on Friday U.S. civil accusations that his client had defrauded the Wall Street bank of $118 million.,normal
GS,Goldman Sachs Group Inc (The),20121109,Ex-Goldman trader's fraud caused $118 million loss: U.S. regulator ,NEW YORK U.S. regulators on Thursday accused a former Goldman Sachs Group Inc trader of defrauding the Wall Street bank of $118 million in a scheme of fabricated trades and fake entries.,normal
GS,Goldman Sachs Group Inc (The),20121109,UPDATE 2-Ex-Goldman trader's fraud caused $118 mln loss: U.S. regulator ,NEW YORK  Nov 8 U.S. regulators on Thursday accused a former Goldman Sachs Group Inc trader of defrauding the Wall Street bank of $118 million in a scheme of fabricated trades and fake entries.,normal
GS,Goldman Sachs Group Inc (The),20121109,Ex-Goldman trader's fraud caused $118 mln loss: U.S. regulator ,NEW YORK  Nov 8 U.S. regulators on Thursday accused a former Goldman Sachs Group Inc trader of defrauding the Wall Street bank of $118 million in a scheme of fabricated trades and fake entries.,normal
HES,Hess Corporation,20121109,UPDATE 1-INSIGHT-After Sandy  Big Oil's pumps fail motorists ,* NY lawmaker pushes generator mandates to avert next crisis,topStory
HES,Hess Corporation,20121109,INSIGHT-In Sandy crisis  motorists stranded at Big Oil's pumps ,* NY lawmaker pushes generator mandates to avert next crisis,normal
HSBC,HSBC Holdings plc,20121109,UK taxman probes HSBC accounts after data leak ,LONDON HSBC   Europe's biggest bank  is at the center of an investigation by British tax authorities into leaked data that a newspaper said showed it provided accounts in the tax haven of Jersey for alleged criminals.,topStory
HSBC,HSBC Holdings plc,20121109,UPDATE 4-UK taxman probes HSBC accounts after data leak ,* HSBC says investigating alleged loss of data for Jersey clients,normal
HSBC,HSBC Holdings plc,20121109,Reliance  Jet deny Indian anti-corruption activist claims ,MUMBAI  Nov 9 Reliance Industries and Jet Airways  two of India's biggest companies  denied allegations from an anti-corruption activist who accused executives of holding undeclared Swiss bank accounts.,normal
HSBC,HSBC Holdings plc,20121109,New Issue-EIB prices 200 mln stg 2017 FRN ,Notes                   Launched under issuer's EMTN programme,normal
HSBC,HSBC Holdings plc,20121109,HSBC probes reported loss of Jersey client data ,LONDON  Nov 9 HSBC Holdings said it was investigating a report of an alleged loss of client data for thousands of its offshore account clients in Jersey but had not been notified of any investigation by tax authorities into the holdings.,normal
HSBC,HSBC Holdings plc,20121109,UK taxman probing HSBC Jersey accounts: report ,LONDON British tax authorities are examining details of more than 4 000 British clients of HSBC  in Jersey after a whistle-blower handed them a list of names  addresses and account balances this week  the Daily Telegraph reported in its Friday edition.,normal
HSBC,HSBC Holdings plc,20121109,UK taxman probing HSBC Jersey accounts -report ,LONDON  Nov 9 British tax authorities are examining details of more than 4 000 British clients of HSBC  in Jersey after a whistle-blower handed them a list of names  addresses and account balances this week  the Daily Telegraph reported in its Friday edition.,normal
HSEA,HSBC Holdings plc,20121109,UK taxman probes HSBC accounts after data leak ,LONDON HSBC   Europe's biggest bank  is at the center of an investigation by British tax authorities into leaked data that a newspaper said showed it provided accounts in the tax haven of Jersey for alleged criminals.,topStory
HSEA,HSBC Holdings plc,20121109,UPDATE 4-UK taxman probes HSBC accounts after data leak ,* HSBC says investigating alleged loss of data for Jersey clients,normal
HSEA,HSBC Holdings plc,20121109,Reliance  Jet deny Indian anti-corruption activist claims ,MUMBAI  Nov 9 Reliance Industries and Jet Airways  two of India's biggest companies  denied allegations from an anti-corruption activist who accused executives of holding undeclared Swiss bank accounts.,normal
HSEA,HSBC Holdings plc,20121109,New Issue-EIB prices 200 mln stg 2017 FRN ,Notes                   Launched under issuer's EMTN programme,normal
HSEA,HSBC Holdings plc,20121109,HSBC probes reported loss of Jersey client data ,LONDON  Nov 9 HSBC Holdings said it was investigating a report of an alleged loss of client data for thousands of its offshore account clients in Jersey but had not been notified of any investigation by tax authorities into the holdings.,normal
HSEA,HSBC Holdings plc,20121109,UK taxman probing HSBC Jersey accounts: report ,LONDON British tax authorities are examining details of more than 4 000 British clients of HSBC  in Jersey after a whistle-blower handed them a list of names  addresses and account balances this week  the Daily Telegraph reported in its Friday edition.,normal
HSEA,HSBC Holdings plc,20121109,UK taxman probing HSBC Jersey accounts -report ,LONDON  Nov 9 British tax authorities are examining details of more than 4 000 British clients of HSBC  in Jersey after a whistle-blower handed them a list of names  addresses and account balances this week  the Daily Telegraph reported in its Friday edition.,normal
HSEB,HSBC Holdings plc,20121109,UK taxman probes HSBC accounts after data leak ,LONDON HSBC   Europe's biggest bank  is at the center of an investigation by British tax authorities into leaked data that a newspaper said showed it provided accounts in the tax haven of Jersey for alleged criminals.,topStory
HSEB,HSBC Holdings plc,20121109,UPDATE 4-UK taxman probes HSBC accounts after data leak ,* HSBC says investigating alleged loss of data for Jersey clients,normal
HSEB,HSBC Holdings plc,20121109,Reliance  Jet deny Indian anti-corruption activist claims ,MUMBAI  Nov 9 Reliance Industries and Jet Airways  two of India's biggest companies  denied allegations from an anti-corruption activist who accused executives of holding undeclared Swiss bank accounts.,normal
HSEB,HSBC Holdings plc,20121109,New Issue-EIB prices 200 mln stg 2017 FRN ,Notes                   Launched under issuer's EMTN programme,normal
HSEB,HSBC Holdings plc,20121109,HSBC probes reported loss of Jersey client data ,LONDON  Nov 9 HSBC Holdings said it was investigating a report of an alleged loss of client data for thousands of its offshore account clients in Jersey but had not been notified of any investigation by tax authorities into the holdings.,normal
HSEB,HSBC Holdings plc,20121109,UK taxman probing HSBC Jersey accounts: report ,LONDON British tax authorities are examining details of more than 4 000 British clients of HSBC  in Jersey after a whistle-blower handed them a list of names  addresses and account balances this week  the Daily Telegraph reported in its Friday edition.,normal
HSEB,HSBC Holdings plc,20121109,UK taxman probing HSBC Jersey accounts -report ,LONDON  Nov 9 British tax authorities are examining details of more than 4 000 British clients of HSBC  in Jersey after a whistle-blower handed them a list of names  addresses and account balances this week  the Daily Telegraph reported in its Friday edition.,normal
INFY,Infosys Limited,20121109,TEXT-S&P summary: Infosys Ltd. ,Infosys' healthy and stable cash flows--with 98% revenues from repeat  business--support its "modest" financial risk profile. The company's EBITDA  has been consistently more than 30% despite high wage inflation in India. Its  EBITDA margins are higher than most rated IT peers'.,topStory
IBM,International Business Machines Corporation,20121109,Chemicals producer Avantor sues IBM over software project ,Nov 9 Avantor Performance Materials has filed a lawsuit against IBM for fraud and breach of contract over the implementation of a software project that resulted in a "disaster" for the chemicals manufacturer.,topStory
IGT,International Game Technology,20121109,IGT earnings top estimates on strong sales of slot machines ,LOS ANGELES  Nov 8 International Game Technology  reported better-than-expected fourth-quarter earnings on strong sales of replacement slot machines and sharply higher interactive revenues  sending its shares up 8 percent in after-hours trade.,topStory
JPM,J P Morgan Chase & Co,20121109,JPMorgan's Dimon says economy can "boom" if fiscal issues solved ,JPMorgan Chase & Co  Chief Executive Jamie Dimon said on Friday that federal government budget problems are holding back the power of the U.S. economy.,topStory
JPM,J P Morgan Chase & Co,20121109,JPMorgan's Dimon says economy can "boom" if fiscal issues solved ,Nov 9 JPMorgan Chase & Co Chief Executive Jamie Dimon said on Friday that federal government budget problems are holding back the power of the U.S. economy.,normal
JPM,J P Morgan Chase & Co,20121109,BRIEF-JPMorgan CEO Dimon: Economy 'can boom' if fiscal issues solved ,Nov 9 JPMorgan Chase & Co :  * CEO Jamie Dimon says economy 'can boom' if government fiscal issues solved  * JPMorgan CEO Dimon speaks on cnbc television  * Jpmorgan's Dimon: regulator calculations of bank capital should be modified  * Jpmorgan's Dimon: all signs on housing are 'flashing green'  * Jpmorgan's Dimon: housing could help drive the economy  * Jpmorgan's Dimon: mortgage lending standards are 'still too tight'  * Jpmorgan's Dimon: 'large pipeline of companies waiting' for I,normal
JCP,JC Penney Company Inc Holding Company,20121109,TEXT-S&P cuts J.C. Penney ratings on weak results ,Overview      -- U.S. retailer J.C. Penney Co. Inc.'s third-quarter and year-to-date  results remain extremely weak.      -- Credit metrics have deteriorated substantially and we believe that  they could erode further over the next few quarters.      -- We are lowering the corporate credit rating to 'B-' from 'B+'.      -- The stable outlook reflects our view that although performance may  weaken further over the next 12 months  we believe that liquidity will remain  "adequate."   Rating Action ,topStory
JCP,JC Penney Company Inc Holding Company,20121109,JC Penney's Johnson has backing to weather sales plunge ,NEW YORK J.C. Penney Co Inc  Chief Executive Ron Johnson has two key weapons in his arsenal as he tries to weather plunging sales while radically transforming the aged retailer - the backing of its top investor  and cash. | Video ,normal
JCP,JC Penney Company Inc Holding Company,20121109,UPDATE 4-JC Penney's Johnson has backing to weather sales plunge ,NEW YORK  Nov 9 J.C. Penney Co Inc Chief Executive Ron Johnson has two key weapons in his arsenal as he tries to weather plunging sales while radically transforming the aged retailer - the backing of its top investor  and cash.,normal
JCP,JC Penney Company Inc Holding Company,20121109,BRIEF-JC Penney says sales square per square foot $239 in new boutiques ,Nov 9 J C Penney Company Inc :  * CEO says traffic down 12 percent in Q3  * Penney CEO says will start showing manufacturers' suggested prices alongside,normal
JCP,JC Penney Company Inc Holding Company,20121109,BRIEF-J C Penney drops in premarket after Q3 results ,NEW YORK  Nov 9 J C Penney Company Inc :  * J C Penney Co drops 11.5 percent to $19.20 in premarket after Q3 results,normal
JCP,JC Penney Company Inc Holding Company,20121109,J.C. Penney same-store sales plummet 26.1 percent ,Nov 9 J.C. Penney Co Inc reported a 26.1 percent decline in third-quarter sales at stores open at least a year  a steeper drop than the 17.9 percent that Wall Street analysts were expecting.,normal
JKS,JinkoSolar Holding Company Limited,20121109,JinkoSolar products to attract U.S. anti-dumping duties ,Nov 9 Chinese solar company JinkoSolar Holding Co Ltd said its imports into the United States will begin to attract anti-dumping duties  following a ruling by the U.S. International Trade Commission.,topStory
PHG,Koninklijke Philips NV,20121109,Philips  LG Electronics  others face EU cartel fines ,BRUSSELS Six top electronics firms including Philips and LG Electronics face hefty European Union fines at the end of the month for fixing prices of TV cathode-ray tubes  four people with knowledge of the matter said.,topStory
PHG,Koninklijke Philips NV,20121109,UPDATE 1-Philips  LG Electronics  others face EU cartel fines ,* Samsung SDI  Thomson  Matsushita  Toshiba also face fines,normal
PHG,Koninklijke Philips NV,20121109,Philips  LG Electronics  others face EU cartel fines Nov 28 -sources ,BRUSSELS  Nov 9 Philips  LG Electronics   Samsung SDI and three other firms will receive hefty EU fines at the end of the month for fixing prices of TV cathode-ray tubes  four people with knowledge of the matter said on Friday.,normal
LM,Legg Mason Inc,20121109,Little gain for Legg Mason investors in break up: analyst ,Money manager Legg Mason Inc might be better off staying intact  after all.,topStory
LM,Legg Mason Inc,20121109,Little gain for Legg Mason investors in break up - analyst ,Nov 9 Money manager Legg Mason Inc might be better off staying intact  after all.,normal
LMHA,Legg Mason Inc,20121109,Little gain for Legg Mason investors in break up: analyst ,Money manager Legg Mason Inc might be better off staying intact  after all.,topStory
LMHA,Legg Mason Inc,20121109,Little gain for Legg Mason investors in break up - analyst ,Nov 9 Money manager Legg Mason Inc might be better off staying intact  after all.,normal
LMHB,Legg Mason Inc,20121109,Little gain for Legg Mason investors in break up: analyst ,Money manager Legg Mason Inc might be better off staying intact  after all.,topStory
LMHB,Legg Mason Inc,20121109,Little gain for Legg Mason investors in break up - analyst ,Nov 9 Money manager Legg Mason Inc might be better off staying intact  after all.,normal
LYG,Lloyds Banking Group Plc,20121109,Bank chiefs to appear before UK standards inquiry ,LONDON The bosses of two of the lenders who will be most affected by changes to rules governing British banks will appear before Parliament's ongoing investigation into standards next week.,topStory
LYG,Lloyds Banking Group Plc,20121109,Bank chiefs to appear before UK standards inquiry ,LONDON  Nov 9 The bosses of two of the lenders who will be most affected by changes to rules governing British banks will appear before Parliament's ongoing investigation into standards next week.,normal
LYG,Lloyds Banking Group Plc,20121109,TEXT - Fitch affirms Scottish Widows plc ratings ,Nov 9 - Fitch Ratings has affirmed Scottish Widows plc's (SW) Insurer Financial Strength (IFS) rating at 'A' and Long-term Issuer Default Rating (IDR) at 'A'  both with Stable Outlooks. Fitch has also affirmed Clerical Medical Investment Group Ltd's (CMIG) IFS rating at 'A' and upgraded its Long-term IDR to 'A' from 'A-'  both with Stable Outlooks. The agency has also affirmed SW's subordinated debt rating at 'BBB+' and upgraded the ratings of Clerical Medical Finance plc's subordinated debt  wh,normal
LMT,Lockheed Martin Corporation,20121109,Pentagon clears possible sale of Lockheed planes to Saudi Arabia ,WASHINGTON The Pentagon on Friday said it had approved the potential sale of 25 C-130J transport and refueling planes built by Lockheed Martin Corp to Saudi Arabia for up to $6.7 billion.,topStory
LMT,Lockheed Martin Corporation,20121109,Pentagon clears possible sale of Lockheed planes to Saudi Arabia ,WASHINGTON  Nov 9 The Pentagon on Friday said it had approved the potential sale of 25 C-130J transport and refueling planes built by Lockheed Martin Corp to Saudi Arabia for up to $6.7 billion.,normal
LMT,Lockheed Martin Corporation,20121109,Incoming Lockheed CEO resigns over ethics violation ,WASHINGTON Christopher Kubasik  the incoming chief executive of Lockheed Martin  resigned on Friday after he admitted to an improper relationship with a subordinate  the company said.,normal
LMT,Lockheed Martin Corporation,20121109,Lockheed CEO Stevens says company "not in crisis" ,WASHINGTON The departing chief executive of Lockheed Martin said on Friday the company was "not in crisis" after the resignation of his planned successor over an ethics scandal.,normal
LMT,Lockheed Martin Corporation,20121109,Lockheed CEO Stevens says company "not in crisis" ,WASHINGTON  Nov 9 The departing chief executive of Lockheed Martin said on Friday the company was "not in crisis" after the resignation of his planned successor over an ethics scandal.,normal
LMT,Lockheed Martin Corporation,20121109,UPDATE 1-Incoming Lockheed CEO resigns over ethics violation ,* Kubasik asked to resign after improper relationship with subordinate,normal
LMT,Lockheed Martin Corporation,20121109,Lockheed fires incoming CEO Kubasik for alleged ethics violation ,WASHINGTON  Nov 9 Christopher Kubasik  the incoming chief executive of Lockheed Martin  resigned on Friday after an internal ethics investigation revealed he had had an improper relationship with a subordinate  the company said.,normal
