SHLM,A Schulman Inc,20150807,BRIEF-CBR suspends Pharmacy Chain 36.6 additional share issue ,* The Central Bank of Russia (CBR) has suspended additional share issue of Pharmacy Chain 36.6  conducted under the merger with A.v.e Group  CBR said on Thursday,topStory
PRU,Prudential Financial Inc,20150807,Deals of the day- Mergers and acquisitions ,Aug 7 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Friday:,topStory
PRU,Prudential Financial Inc,20150807,Prudential unit buys Deutsche India fund management business ,MUMBAI Prudential Financial Inc's  Pramerica Investment Management is buying Deutsche Asset Management's Indian unit for an undisclosed sum  betting on a revival of India's mutual fund industry.,normal
SNY,Sanofi,20150807,Sanofi links with Evotec to tap stem cells for diabetes care ,French drugmaker Sanofi is linking with Evotec to develop stem cell-based treatments for diabetes  under a deal that could earn the German biotech firm more than 300 million euros ($327 million).,topStory
SNY,Sanofi,20150807,BRIEF-Sanofi  Evotec enter diabetes partnership ,* to develop beta cell-modulating diabetes treatments  which may reduce or eliminate the need for insulin injections  Source text for Eikon:  Further company coverage:,normal
SNY,Sanofi,20150807,BRIEF-Evotec  Sanofi to cooperate on diabetes therapy ,* Sanofi and Evotec align forces to develop next generation therapies in diabetes,normal
SSL,Sasol Ltd,20150807,UPDATE 2-Lower currency  higher sales volumes to prop up Sasol's 2015 earnings ,* Sasol cites higher sales volumes  lower rand   (Adds analyst comment  share price rise),topStory
SSL,Sasol Ltd,20150807,South Africa's Sasol flags lower FY earnings on softer oil price ,JOHANNESBURG  Aug 7 South African petrochemicals company Sasol said on Friday it expected full-year profits to fall by up to 19 percent due to softer oil prices.,normal
SLB,Schlumberger NV,20150807,‘Frack now  pay later ’ top services companies say amid oil crash ,HOUSTON Business is so tough for oilfield giants Schlumberger NV and Halliburton Co that they have come up with a new sales pitch for crude producers halting work in the worst downturn in years. It amounts to this: "frack now and pay later.",topStory
SLB,Schlumberger NV,20150807,REFILE-RPT-'Frack now  pay later ' top services companies say amid oil crash ,HOUSTON  Aug 7 Business is so tough for oilfield giants Schlumberger NV and Halliburton Co that they have come up with a new sales pitch for crude producers halting work in the worst downturn in years. It amounts to this: "frack now and pay later.",normal
SLB,Schlumberger NV,20150807,REFILE-'Frack now  pay later ' top services companies say amid oil crash ,HOUSTON  Aug 7 Business is so tough for oilfield giants Schlumberger NV and Halliburton Co that they have come up with a new sales pitch for crude producers halting work in the worst downturn in years. It amounts to this: "frack now and pay later.",normal
SLF,Sun Life Financial Inc,20150807,Sun Life eyes bigger stake in India insurance venture ,TORONTO Canadian insurer Sun Life Financial Inc is interested in raising its stake in its Birla Sun Life Insurance joint venture in India as it weighs several acquisition opportunities in Asia and North America  its top executive said on Thursday.,topStory
TTM,Tata Motors Ltd,20150807,Tata Motors cuts sales  production targets for JLR in China ,MUMBAI/NEW DELHI Tata Motors Ltd  has cut prices  sales and production targets at its luxury Jaguar Land Rover (JLR) arm in China  a top executive said  as it struggles with high inventories in a slowing market.,topStory
TTM,Tata Motors Ltd,20150807,UPDATE 2-Tata Motors cuts sales  production targets for JLR in China ,* Strong JLR sales  mainly in China  has long helped Tata   (Adds CFO comments  details on China car market),normal
TTM,Tata Motors Ltd,20150807,India's Tata Motors Q1 profit nearly halves on weak China sales ,NEW DELHI  Aug 7 Quarterly profit at Tata Motors Ltd  India's top automaker by revenue  fell for the fourth consecutive quarter  as sales of its sleek Jaguar saloons and sporty Range Rovers dipped in China  the world's biggest car market.,normal
TI,Telecom Italia SPA,20150807,BRIEF-Telecom Italia board should discuss saving shares conversion in H2 - CEO ,* possible conversion of saving shares into ordinary ones should be addressed by the board in the second half  no decision yet   Further company coverage:    (Reporting by Milan newsroom),topStory
TI,Telecom Italia SPA,20150807,BRIEF-Telecom Italia CEO says needs to settle litigations ,* Needs to settle all litigations to create better relations with rivals,normal
TI,Telecom Italia SPA,20150807,BRIEF-Telecom Italia sees Italy margins benefitting from Wind-3 Italia merger ,* news of Wind and 3 Italia merger can only improve situation on domestic margins  Further company coverage: [TLIT.MI ]   (Reporting by Milan newsroom),normal
TI,Telecom Italia SPA,20150807,UPDATE 2-Telecom Italia steps up investment as broadband demand grows ,* H1 EBITDA 3.63 bln euros  missing expectations for 3.76 bln,normal
TI,Telecom Italia SPA,20150807,Italy - Factors to watch on August 7 ,The following factors could affect Italian markets on Friday.,normal
TI,Telecom Italia SPA,20150807,BRIEF-Telecom Italia CEO says TV deals lifting broadband demand ,* H1 investments up 25.7 percent; CEO says TV partnerships boosting demand for broadband connections  Further company coverage:    (Reporting by Milan newsroom),normal
TI,Telecom Italia SPA,20150807,Telecom Italia H1 profits hit by regulatory risk provisions ,MILAN  Aug 7 Core earnings at Telecom Italia  fell 16.4 percent in the first half  as 399 million euros ($436 million) in one-off charges to cover for regulatory and legal risks added to lower revenues in key markets Italy and Brazil.,normal
TEF,Telefonica SA,20150807,Orange raises prices in Spain after buying Jazztel ,MADRID  Aug 7 French telecom group Orange  said on Friday its Spanish unit would raise the price of mobile and fixed-line bundles from next month  following similar moves by competitors Telefonica and Vodafone .,topStory
TEF,Telefonica SA,20150807,CORRECTED-UPDATE 3-Hutchison  Vimpelcom to merge Italian mobile businesses ,MILAN/PARIS  Aug 6 Vimpelcom and Hutchison have agreed to combine their Italian mobile operations in a long-awaited deal that would cut the number of players in Europe's fourth-largest telecom market to three from four.,normal
TU,TELUS Corporation,20150807,UPDATE 2-Canada's Telus adds wireless customers; revenue up 5.1 pct ,TORONTO  Aug 7 Telus Corp  one of Canada's three big telecoms providers  reported a 5.1 percent rise in quarterly revenue on Friday  while gaining wireless  Internet and television customers during a tumultuous period for the industry.,topStory
TU,TELUS Corporation,20150807,Canadian telecom company Telus' profit falls 10.5 pct ,Aug 7 Canadian telecommunications company Telus Corp posted a 10.5 percent fall in quarterly profit  mainly due to an increase in costs and charges related to adjustments from higher corporate tax rates in Alberta.,normal
WFC,Wells Fargo & Company,20150807,UPDATE 3-Berkshire profit falls 37 pct on investment  insurance slump ,Aug 7 Warren Buffett's Berkshire Hathaway Inc   said on Friday its second-quarter profit fell 37 percent  reflecting a significant decline in investment gains and an underwriting loss from insurance operations  which include Geico.,normal
INT,World Fuel Services Corporation,20150807,EU mergers and takeovers (Aug 7) ,BRUSSELS  Aug 7 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
